Position,rho_true_mol_m3
0.0,51111.649503160144
0.01,50980.37779066595
0.02,50867.278164855656
0.03,50766.70143304945
0.04,50675.31221693
0.05,50591.074372220006
0.06,50512.24633971026
0.07,50437.834822815545
0.08,50366.97013177669
0.09,50299.02664650929
0.1,50233.55190526647
0.11,50170.141952337464
0.12,50108.52227241902
0.13,50048.446128259595
0.14,49989.72039757809
0.15,49932.19526091113
0.16,49875.7343208441
0.17,49820.23912131407
0.18,49765.62047232033
0.19,49711.80739951028
0.2,49658.74483298809
0.21,49606.38292056097
0.22,49554.68732088573
0.23,49503.627715928116
0.24,49453.18195282735
0.25,49403.33530594124
0.26,49354.07553190426
0.27,49305.398072257136
0.28,49257.30035792885
0.29,49209.78397487534
0.3,49162.85429794765
0.31,49116.517910789196
0.32,49070.78524821522
0.33,49025.66765393931
0.34,48981.1783650233
0.35000000000000003,48937.33224313371
0.36,48894.14455009851
0.37,48851.63183705354
0.38,48809.810829935035
0.39,48768.69850231169
0.4,48728.311862259376
0.41000000000000003,48688.66772097917
0.42,48649.78221955998
0.43,48611.67114528158
0.44,48574.34928736435
0.45,48537.83030526971
0.46,48502.12725171989
0.47000000000000003,48467.25113765803
0.48,48433.212298239276
0.49,48400.019287923584
0.5,48367.678857573315
0.51,48336.196954066334
0.52,48305.57681395473
0.53,48275.82089449466
0.54,48246.92961382932
0.55,48218.90143451675
0.56,48191.734025761885
0.5700000000000001,48165.42237562241
0.58,48139.960776893524
0.59,48115.341689572284
0.6,48091.55589651795
0.61,48068.593551168946
0.62,48046.44267183622
0.63,48025.09078147181
0.64,48004.52407118957
0.65,47984.72757956417
0.66,47965.685951673295
0.67,47947.38248675837
0.68,47929.800223423845
0.6900000000000001,47912.92146337741
0.7000000000000001,47896.72793324584
0.71,47881.20120005876
0.72,47866.3222690712
0.73,47852.07209306594
0.74,47838.431421814275
0.75,47825.38092364937
0.76,47812.90129344141
0.77,47800.97328992219
0.78,47789.57777063475
0.79,47778.69578403565
0.8,47768.3086468098
0.81,47758.39782342157
0.8200000000000001,47748.94526680748
0.8300000000000001,47739.93311661597
0.84,47731.343965057415
0.85,47723.16102141929
0.86,47715.367470876496
0.87,47707.948602602446
0.88,47700.889600581
0.89,47694.17917838372
0.9,47687.82764339078
0.91,47681.811346907736
0.92,47676.306841158264
0.93,47671.451108920555
0.9400000000000001,47667.813428495974
0.9500000000000001,47668.8617095983
0.96,47680.89624841858
0.97,47722.43672142612
0.98,47827.508901928355
0.99,48002.83867765598
1.0,48180.13477593595
