Position,y_CO2,y_H2O,y_N2,y_O2
0.0,0.085393847533086,0.08178658566574185,0.7501803595110889,0.08263920729008323
0.01,0.08240143210682063,0.09596552838117842,0.7401038514678112,0.08152918804418974
0.02,0.07979283864626584,0.10771729447262313,0.7318679396271971,0.080621927253914
0.03,0.07745613722180222,0.11777451244511433,0.724913516231675,0.07985583410140851
0.04,0.07532301912309344,0.1265825313457912,0.7189009539877854,0.07919349554333009
0.05,0.0733502479398514,0.1344129950350588,0.7136245099112442,0.07861224711384573
0.06,0.07150223354091513,0.14149244895484148,0.7089121768478136,0.07809314065642989
0.07,0.0697568362800018,0.14795933751794066,0.7046591907465061,0.07762463545555147
0.08,0.06809540821488874,0.1539294224723199,0.7007780742321397,0.07719709508065185
0.09,0.06650413589054113,0.1594888071357356,0.6972037106367496,0.07680334633697364
0.1,0.0649727359376763,0.16470011131061882,0.6938889567785478,0.07643819597315704
0.11,0.0634922716194857,0.169618317846914,0.6907923356184691,0.07609707491513124
0.12,0.06205634351584554,0.1742822105170746,0.6878846762459804,0.07577676972109942
0.13,0.060659332956764296,0.17872577400773362,0.6851404273539199,0.07547446568158235
0.14,0.05929677126019523,0.18297620563504857,0.6825391156301939,0.07518790747456236
0.15,0.05796511077952911,0.1870548446805298,0.6800647148722513,0.07491532966768986
0.16,0.05666118998415311,0.19098097900022348,0.6777026989413059,0.07465513207431765
0.17,0.05538262161471204,0.1947692337659157,0.6754420442712539,0.07440610034811854
0.18,0.05412727687165581,0.19843274616579795,0.6732728348163179,0.07416714214622841
0.19,0.05289342932297105,0.20198245624199304,0.6711867712165649,0.07393734321847105
0.2,0.05167969515381633,0.2054272853366594,0.6691770638801339,0.07371595562939051
0.21,0.0504848406197051,0.20877541720436343,0.6672374524341081,0.07350228974182342
0.22,0.04930795353189194,0.21203327366368843,0.6653629739594387,0.073295798844981
0.23,0.04814823160724069,0.21520668622851208,0.6635490982670232,0.0730959838972241
0.24,0.047005054346009364,0.21830058832026966,0.6617919403987321,0.07290241693498885
0.25,0.04587796151946819,0.22131905383713663,0.6600882452631245,0.07271473938027075
0.26,0.044766563047718776,0.22426583590459012,0.6584349835236645,0.07253261752402668
