0,1,2,3,4,5,6
1.0063383710128084,0.9174761443153678,0.8708565131911672,0.18534871819420173,0.8095064766930596,0.791875,1.0
0.9968004764159114,0.9213279267857512,0.8517807239973733,0.22044273625769398,0.8145038342217797,0.8021042235439687,1.0
0.987958946487981,0.9245964092119657,0.8340976641415123,0.2502222428076481,0.8185287139177038,0.8093657967413492,1.0
0.979629610227093,0.9274486485188203,0.8174389916197363,0.2762093120478786,0.8218881609584131,0.8148386363219027,1.0
0.9716978062712374,0.9299883781718474,0.8015753837080254,0.29934907110879383,0.8247634642646211,0.8191349306971872,1.0
0.9640866078275238,0.9322787860696071,0.786352986820598,0.3202172319550485,0.8272623381968126,0.8225997220058345,1.0
0.9567284726359034,0.9343758230171851,0.7716367164373575,0.33932356858853674,0.8294784327634747,0.8255183365148162,1.0
0.9495822696459545,0.9363130537810085,0.7573443104574593,0.35697389332559387,0.8314640156588583,0.8280168883108222,1.0
0.9426105234871807,0.9381196958352445,0.7434008181399117,0.3734344098197435,0.83326480381375,0.8302097870723139,1.0
0.9357855964109335,0.9398177062891057,0.7297509639874176,0.3889051717327022,0.8349137233276505,0.8321663914693627,1.0
0.9290864555573897,0.9414230017210227,0.7163526822803297,0.4035311967790567,0.8364341387489543,0.8339325518105319,1.0
0.9224940892207033,0.9429500395743604,0.703167949606957,0.41744420833168955,0.8378471110684649,0.8355480946732068,1.0
0.9159952591882351,0.9444088351663457,0.6901702895420205,0.4307354570586654,0.8391668314352536,0.8370363681507194,1.0
0.909577794386534,0.9458083832137317,0.6773353599386185,0.44348689482374015,0.8404060514883006,0.8384187403729596,1.0
0.9032322098883983,0.9471558994483799,0.6646441909423471,0.4557642649616444,0.8415748719423799,0.8397106673209993,1.0
0.8969510605488087,0.9484570015353763,0.6520818922631679,0.46761875064316727,0.842681124591278,0.8409238809735922,1.0
0.8907275912463386,0.9497168877487455,0.6396349536582275,0.4790977139205309,0.8437320470419293,0.8420689842385856,1.0
0.8845571128691085,0.9509394152036982,0.6272939969037676,0.4902362973989894,0.8447330074889173,0.8431534112842775,1.0
0.8784353806122536,0.9521281062860796,0.6150505323900576,0.5010665939273531,0.8456889250402212,0.8441840582932785,1.0
0.872359257525353,0.9532858828052617,0.6028982862162567,0.511615224435457,0.8466039025802645,0.8451664121279019,1.0
0.8663265221163946,0.954415092912397,0.5908328153983398,0.5219035831893561,0.8474812820525218,0.8461049431845619,1.0
0.8603352801359937,0.9555179272140969,0.5788503314375381,0.5319516290492879,0.8483241985061195,0.8470037832084999,1.0
0.8543846581905843,0.9565960509631304,0.5669490875467192,0.5417745343182588,0.8491351056642185,0.847866082418234,1.0
0.8484740228447931,0.9576509902931811,0.5551278168551366,0.551386203769834,0.8499162803955654,0.8486947953812225,1.0
0.8426033350648277,0.9586840170785731,0.5433864412952059,0.5607982255922931,0.8506696792608721,0.8494923837864475,1.0
0.8367730712018991,0.9596961501728708,0.5317259135693487,0.5700198826736725,0.851396943642056,0.8502609271041673,1.0
0.8309838955973524,0.9606883368547997,0.5201475623602553,0.5790598057756905,0.8520996277043041,0.8510023716477155,1.0
0.825237066770751,0.9616612799245956,0.5086539047070527,0.5879243981893874,0.8527789892221617,0.8517182681450592,1.0
