Position,Tl,Hl_CO2,Hl_MEA,Hl_H2O,Hl_T,Fl_T,Hlf,Hl_CO2_trn,Hl_H2O_trn,Hl_trn,ql,Hl_flux,dHlf_dz,dTl_dz,dHl_dT
0.0,323.80259067722386,-83999.99999,-53672.472302356015,-48058.28275704418,-50297.942825905775,88.98827257824414,-4475927.046316642,-55716.099979853374,275895.9258818032,-3123.2259492059047,-50072.68480500124,-53195.91075420714,53195.91075420714,223.56514614976692,82.44690219875172
0.01,325.8015336887119,-83999.99999,-53328.4528628415,-47907.7624312544,-50110.7260733798,89.26596716242798,-4473182.428151745,-51259.49860811412,230879.98162696988,-3151.8775947008066,-35681.240132673185,-38833.11772737399,38833.11772737399,177.93894594938368,82.51891890266263
0.02,327.4114855670815,-83999.99999,-53050.650873353785,-47786.51891772471,-49957.827091368745,89.49861660166584,-4471156.413102726,-47968.11077517947,198708.39930143795,-3023.7345297125944,-26643.226254279143,-29666.960783991737,29666.960783991737,146.45626676301978,82.58115510361083
0.03,328.7552643833652,-83999.99999,-52818.27886724088,-47685.309293212806,-49828.50539276314,89.69918287978436,-4469576.217851782,-45444.1594488787,174812.2103126025,-2853.4556095788403,-20674.818151989788,-23528.273761568627,23528.273761568627,123.76221598257176,82.63646533395345
0.04,329.90538570584846,-83999.99999,-52619.033461358085,-47598.67632297505,-49716.39852806926,89.87571349550917,-4468296.790137307,-43456.150003812654,156501.04943448585,-2680.884154460394,-16628.125752790154,-19309.009907250547,19309.009907250547,106.85888663313123,82.68657971298369
0.05,330.904935278725,-83999.99999,-52445.6015180991,-47523.377791922925,-49617.70923361142,90.03308214935062,-4467235.29149233,-41870.19194689286,142030.68904660884,-2517.64350170198,-13861.671083213252,-16379.314584915232,16379.314584915232,93.87435982754356,82.73255871915788
0.06,331.7913731053899,-83999.99999,-52291.5840676689,-47456.594106647135,-49529.131501115844,90.17560663828553,-4466319.479380539,-40573.16689408567,130471.21784341839,-2373.157294392232,-11839.010084262152,-14212.167378654383,14212.167378654383,83.68629419701463,82.77538286987843
0.07,332.5856062635433,-83999.99999,-52153.41788553246,-47396.751888090635,-49448.81050553285,90.30587474895925,-4465518.08799767,-39503.25444239027,121006.51671381391,-2244.667292630475,-10357.081260444505,-12601.74855307498,12601.74855307498,75.49808070583687,82.81558698338027
0.08,333.3059215255,-83999.99999,-52027.972121647515,-47342.4746506917,-49375.12138297713,90.4261324127715,-4464801.264073755,-38607.78096467123,113168.67375430591,-2132.079382798287,-9220.700796320556,-11352.780179118843,11352.780179118843,68.80307509888752,82.85366642362742
0.09,333.9654893310602,-83999.99999,-51912.990099495975,-47292.771014279686,-49306.8910516669,90.53806956168313,-4464150.73190615,-37849.39360589453,106596.87482290993,-2033.5816594589921,-8326.618622507138,-10360.20028196613,10360.20028196613,63.24652291382785,82.88997755950435
0.1,334.5736554995817,-83999.99999,-51806.870786342384,-47246.93752462408,-49243.28426105335,90.64290722368615,-4463554.4466642635,-37202.18491419424,101000.87560756152,-1946.5887523263762,-7611.028472832197,-9557.617225158572,9557.617225158572,58.55588906763929,82.92477647811684
0.11,335.13884442738595,-83999.99999,-51708.166121958035,-47204.339956253025,-49183.5476832401,90.7417548623131,-4463001.42713146,-36642.96391554943,96206.21137863802,-1870.1207993928801,-7019.823097535751,-8889.943896928631,8889.943896928631,54.560448471245266,82.95830029718849
0.12,335.66673257410145,-83999.99999,-51615.90209043498,-47164.55102479186,-49127.17258922887,90.83538078072603,-4462485.42882305,-36156.32026137476,92040.85674994013,-1802.0625971960435,-6527.036609242218,-8329.099206438263,8329.099206438263,51.10860256627159,82.99070669166088
0.13,336.16242059532027,-83999.99999,-51529.20122004181,-47127.18672691554,-49073.70137885741,90.92447386140488,-4462000.478304309,-35728.46895968353,88394.24511007812,-1741.3252807589427,-6107.747571062288,-7849.072851821231,7849.072851821231,48.099269017021015,83.0221414942846
0.14,336.62994877695195,-83999.99999,-51447.36825989405,-47091.94288976883,-49022.771647977155,91.00958785465347,-4461542.243175193,-35348.46745236081,85175.65364848368,-1686.8449712206034,-5746.562527742041,-7433.407498962644,7433.407498962644,45.4533703813494,83.05271949339907
0.15,337.07244983651117,-83999.99999,-51369.864388400674,-47058.583680788695,-48974.10222161058,91.09115362842881,-4461107.469283106,-35007.844348028586,82305.01457919487,-1637.4856310060725,-5432.257401993856,-7069.743032999928,7069.743032999928,43.10225706499402,83.08252974070045
0.16,337.4928188167717,-83999.99999,-51296.190525031125,-47026.89112526557,-48927.4334075717,91.16957042071522,-4460693.085556462,-34698.686443320315,79731.79437406996,-1592.7050976584142,-5155.050868190423,-6747.755965848837,6747.755965848837,41.00234547462257,83.1116555312826
0.17,337.8932029955669,-83999.99999,-51225.97711420049,-46996.70357433929,-48882.5730923789,91.24513575851242,-4460297.018039519,-34415.04072869009,77402.28503323032,-1551.6561918729562,-4909.012284900754,-6460.66847677371,6460.66847677371,39.10917491712072,83.14015686847104
0.18,338.27557001608847,-83999.99999,-51158.88492735415,-46967.872884276,-48839.345318234526,91.31812149824029,-4459917.269665053,-34151.385775039795,75280.02954790006,-1513.8532485905796,-4688.379761680224,-6202.233010270804,6202.233010270804,37.39229370870197,83.16808941704613
0.19,338.6415610321058,-83999.99999,-51094.631037794315,-46940.27549554017,-48797.60396902582,91.38875468046561,-4459552.258119815,-33902.999000469,73333.73161151847,-1478.8451945261158,-4489.1452682786285,-5967.990462804744,5967.990462804744,35.82632830206618,83.19549832720452
0.2,338.99251282100875,-83999.99999,-51032.98516662639,-46913.810773017845,-48757.230595474015,91.45721896761486,-4459200.714824758,-33665.93339389765,71533.83817113398,-1446.1411194361167,-4308.030462117886,-5754.171581554003,5754.171581554003,34.38739334189749,83.2224192736738
0.21,339.3296794024478,-83999.99999,-50973.73092135186,-46888.38429970344,-48718.114381034255,91.52368641243265,-4458861.423214804,-33436.415064409295,69861.24335460995,-1415.495929607503,-4142.119644449493,-5557.615574056996,5557.615574056996,33.06031851861564,83.24888560134436
0.22,339.6540422656874,-83999.99999,-50916.69925348216,-46863.92219130168,-48680.169614662766,91.58829007207177,-4458533.495425387,-33211.35507457016,68294.36225099715,-1386.5297798038587,-3989.3938296072774,-5375.923609411137,5375.923609411137,31.82815543016025,83.27492127044087
0.23,339.9665121582262,-83999.99999,-50861.73310502981,-46840.35588271516,-48643.31705741549,91.65115255575276,-4458216.072447037,-32987.837929435744,66818.02219073284,-1359.0143263204304,-3847.863071790701,-5206.877398111132,5206.877398111132,30.679097558702065,83.30054827930655
0.24,340.26787170434886,-83999.99999,-50808.69756684832,-46817.626457816375,-48607.48945595199,91.71237800103503,-4457908.446665593,-32763.26464950666,65418.7967714684,-1332.737128615077,-3716.0535739223756,-5048.7907025374525,5048.7907025374525,29.60295281200358,83.32578398364174
0.25,340.5587774568224,-83999.99999,-50757.47959144581,-46795.68449737232,-48572.631249121034,91.77205185931574,-4457610.033937756,-32535.37119911308,64083.43217039192,-1307.459755755357,-3592.681718867311,-4900.141474622667,4900.141474622667,28.589593297037474,83.35064136617197
0.26,340.83985108172163,-83999.99999,-50707.971995306696,-46774.48320334854,-48538.69017501676,91.83025446481572,-4457320.27016064,-32301.995652716454,62803.225270020615,-1283.0609518564593,-3476.5927898563295,-4759.653741712789,4759.653741712789,27.632623196505364,83.37513227252327
0.27,341.11159568886467,-83999.99999,-50660.0882340032,-46753.9847113769,-48505.62514723987,91.88704848123257,-4457038.729516923,-32061.302500078833,61568.01245323526,-1259.351133298067,-3366.930898309649,-4626.282031607716,4626.282031607716,26.724469299039093,83.39926399289779
0.28,341.37448223296707,-83999.99999,-50613.747223728984,-46734.15357502587,-48473.39807679633,91.94249167168785,-4456764.998974256,-31811.578073082364,60370.51267796002,-1236.2139718245498,-3262.8440284590574,-4499.058000283607,4499.058000283607,25.859816161935342,83.4230428184462
0.29,341.6289237430335,-83999.99999,-50568.87790864576,-46714.95871067937,-48441.97642495259,91.99663311454985,-4456498.732510037,-31551.298292076353,59204.22474243166,-1213.542102810034,-3163.6823135695,-4377.224416379534,4377.224416379534,25.034004027216216,83.44647270280117
0.3,341.8752743557692,-83999.99999,-50525.41946003749,-46696.37347154308,-48411.33321396823,92.04951289247379,-4456239.640821013,-31279.148031226996,58062.59487617998,-1191.212704461,-3068.8609655226364,-4260.073669983636,4260.073669983636,24.242233091166067,83.46955537556629
0.31,342.1138719624506,-83999.99999,-50483.31377571992,-46678.37243112362,-48381.44303170776,92.10116863180271,-4455987.443313272,-30993.918688221733,56941.38676829633,-1169.165963631765,-2977.852440602662,-4147.018404234427,4147.018404234427,23.48154473793355,83.4922919915932
0.32,342.34499811329937,-83999.99999,-50442.51257128402,-46660.934408803194,-48352.28584791532,92.15162937511167,-4455741.924896549,-30694.619993242337,55835.55771801995,-1147.3052029496052,-2890.254775047253,-4037.5599779968584,4037.5599779968584,22.74826773957218,83.51468141388327
0.33,342.5689187012698,-83999.99999,-50402.97021726835,-46644.039401082046,-48323.843096491255,92.2009217517617,-4455502.876084,-30380.386800563265,54741.58842711435,-1125.5741565323488,-2805.6656182533497,-3931.2397747856985,3931.2397747856985,22.03986770361662,83.53672201795686
0.34,342.7858721674796,-83999.99999,-50364.64583254373,-46627.66947186075,-48296.09884372347,92.24906826799362,-4455270.119312414,-30050.51457822545,53656.41071781649,-1103.922934679144,-2723.7785070925606,-3827.7014417717046,3827.7014417717046,21.354128558934388,83.55841107470263
0.35000000000000003,342.996068254469,-83999.99999,-50327.503516834186,-46611.808846985245,-48269.03983481299,92.29608708870977,-4455043.5042823,-29704.472751103687,52576.908347777004,-1082.292494165648,-2644.31386406412,-3726.606358229768,3726.606358229768,20.68868631138986,83.57974483333027
0.36,343.19970919688535,-83999.99999,-50291.508616223284,-46596.44231565524,-48242.65351864101,92.34199528636643,-4454822.883820157,-29341.853433633325,51501.34066144249,-1060.6624426242925,-2567.02237462712,-3627.6848172514124,3627.6848172514124,20.042214219549393,83.60071932705904
0.37,343.3969704902603,-83999.99999,-50256.63112930809,-46581.55668183712,-48216.929791956674,92.38680607748157,-4454608.142341045,-28962.428859383883,50427.481362801205,-1038.9900082850795,-2491.716553082946,-3530.7065613680256,3530.7065613680256,19.412906284064114,83.62132969758633
0.38,343.5880200096428,-83999.99999,-50222.84233532066,-46567.13932187666,-48191.85921892883,92.430531585112,-4454399.165680473,-28566.103549322735,49354.0525635009,-1017.2582688176402,-2418.207536872626,-3435.4658056902663,3435.4658056902663,18.799616291955797,83.64157094194228
0.39,343.7730135489633,-83999.99999,-50190.115587952634,-46553.17852128611,-48167.43340176738,92.473182386437,-4454195.8540481925,-28152.92920697879,48280.07544475933,-995.4550720340812,-2346.359154853132,-3341.8142268872134,3341.8142268872134,18.201365726260093,83.66143779618554
0.4,343.95209339267814,-83999.99999,-50158.426573530676,-46539.663582743735,-48143.64504979551,92.51476731973918,-4453998.119705944,-27723.110109892696,47204.511099883544,-973.5614380699978,-2276.0461903629307,-3249.6076284329283,3249.6076284329283,17.617019101309545,83.68092479954326
0.41000000000000003,344.1253989497983,-83999.99999,-50127.75143392662,-46526.58402372926,-48120.48707537843,92.55529495306067,-4453805.874546594,-27276.973213794256,46127.27967810457,-951.5861482313933,-2207.161971814354,-3158.748120045747,3158.748120045747,17.046129099586008,83.70002654503062
0.42,344.2930583292233,-83999.99999,-50098.068260996566,-46513.930212452615,-48097.95315557733,92.59477279175614,-4453619.044189213,-26814.990156910735,45047.89937280479,-929.5204938059724,-2139.632595881867,-3069.1530896878394,3069.1530896878394,16.487839805485358,83.71873773709422
0.43,344.4551961452721,-83999.99999,-50069.35571853485,-46501.69277889118,-48076.037185187226,92.63320801096512,-4453437.552918342,-26337.752240037604,43966.57029765454,-907.3749773412618,-2073.3814529909782,-2980.75643033224,2980.75643033224,15.94174646895475,83.73705318319065
