Position,Cv_CO2,Cv_H2O,Cv_N2,Cv_O2
0.0,3.5505030681365626,3.400520432413127,31.190978566317977,3.435970711099899
0.01,3.3791921986167996,3.9484557359042003,30.36927742494021,3.3454528375087134
0.02,3.239890112009659,4.398647032502989,29.75392687358886,3.277666363063644
0.03,3.1210804805940966,4.781998211023375,29.266796381630975,3.2240044973644895
0.04,3.0165145147737595,5.116774198395334,28.866381259264035,3.179895120359563
0.05,2.9225264683483223,5.41394223349371,28.529121028610195,3.1427428305690546
0.06,2.8362725251619585,5.682070520064394,28.236365594113256,3.1104931499023167
0.07,2.7561834041107747,5.926669056388162,27.97852472640595,3.0820896271438625
0.08,2.68096028208945,6.152115383279926,27.747509551417057,3.05664119905451
0.09,2.6097091668943313,6.361722584797309,27.53792256344318,3.033553281162651
0.1,2.541789931933146,6.557916315581003,27.346031261508966,3.012414704450192
0.11,2.476660409891601,6.7427803433537505,27.168630724824705,2.9928724176673476
0.12,2.413947671775601,6.917825753540562,27.003620648913795,2.9746950531239187
0.13,2.3533279154830113,7.084348185693482,26.849155873592203,2.9576793496001206
0.14,2.2945496244857124,7.24339282847436,26.703819706948966,2.9416692455635336
0.15,2.2374152045133044,7.395781940593109,26.56651688804545,2.9265440880343827
0.16,2.1817508263865912,7.542249145560851,26.436266506728717,2.9121958208146688
0.17,2.1274260832192744,7.6833585105670625,26.312341503523434,2.8985443516733285
0.18,2.0743254443529078,7.8196096916797755,26.194086689536746,2.8855175055793234
0.19,2.022355608730151,7.951420248759751,26.080963822660483,2.8730559902563564
0.2,1.9714414861090719,8.079130963699166,25.97253292428425,2.8611113380484485
0.21,1.9215164890821648,8.203051276490955,25.86839109608822,2.8496391660317504
0.22,1.8725305031568638,8.323426391793728,25.76822132228562,2.8386045520265673
0.23,1.824439366744566,8.440476510939115,25.67173341767576,2.8279755294869253
0.24,1.777208168738794,8.554388489139079,25.578680653839577,2.8177249190276155
0.25,1.7308099148927252,8.665316890934172,25.48885511951679,2.807829817327431
0.26,1.6852213332744828,8.773402910679978,25.402063994055766,2.798268983433316
0.27,1.6404267208742904,8.878759278817345,25.318150281769118,2.7890251228387033
0.28,1.5964130937214327,8.981487480938783,25.236968790167918,2.7800822412669675
0.29,1.553171782971207,9.081673827668988,25.158393289805428,2.7714264333934984
0.3,1.5106978070403267,9.179389703471145,25.082315043138735,2.7630457207863968
0.31,1.4689878959898242,9.274700287385077,25.008632230277275,2.754928887056248
0.32,1.4280421408245694,9.36765777369321,24.93725935203247,2.747066513687787
0.33,1.3878618389134247,9.458309026711612,24.868116553688136,2.739449803955853
0.34,1.3484500089177458,9.54669430148513,24.801132615984784,2.7320709124095846
0.35000000000000003,1.309811007289893,9.632847302321876,24.73624444237417,2.7249228883888312
0.36,1.2719498436114478,9.71679896751088,24.673392203034584,2.717999141093161
0.37,1.2348722615576335,9.798575472562483,24.61252323794201,2.711293869540736
0.38,1.198584366550678,9.878200589185786,24.553587646226664,2.7048015766957154
