Position,Nl_CO2,Nv_CO2,kv_CO2,a_eA,DF_CO2,fv_CO2,fl_CO2,Psi,H_CO2_mix
0.0,0.6802027130119445,-0.6802027130119445,2.6322568467097454e-05,72.97901510296398,8111.899245461083,9414.203359062047,1302.304113600963,104.76596374779363,2295.3413617031406
0.01,0.6277440308534523,-0.6277440308534523,2.6694976195670183e-05,73.06194401665608,7637.286476839492,9087.493234977808,1450.2067581383167,104.20053749309939,2368.3615762985946
0.02,0.58877292532791,-0.58877292532791,2.6998372488195485e-05,73.13121494700924,7234.815004222869,8799.986634509014,1565.1716302861448,104.4048109740542,2428.6260710187325
0.03,0.558765491515067,-0.558765491515067,2.725453313867246e-05,73.19085180404717,6886.27625294471,8540.825024108774,1654.5487711640633,105.16139352351344,2480.113598925674
0.04,0.5350572711146114,-0.5350572711146114,2.7476283135565184e-05,73.24330186738621,6579.639530453556,8303.164982967204,1723.5254525136475,106.33540877150865,2525.1782786816166
0.05,0.5161018381504419,-0.5161018381504419,2.7671229529708526e-05,73.29003923974176,6307.201520534832,8082.594512179479,1775.392991644648,107.85428461192306,2565.226690710498
0.06,0.5005687909402905,-0.5005687909402905,2.7845958934229127e-05,73.33238744988455,6061.495592668999,7875.344499625766,1813.8489069567665,109.641382178208,2601.477296223558
0.07,0.4877323992490563,-0.4877323992490563,2.800418314615055e-05,73.37110034916422,5838.152003667333,7679.115230507486,1840.963226840153,111.66137851707546,2634.618018940812
0.08,0.47696775155296195,-0.47696775155296195,2.81491313214697e-05,73.40684758390883,5633.124870447944,7491.92116412342,1858.7962936754761,113.87983190569665,2665.249449988559
0.09,0.467829639595111,-0.467829639595111,2.8283141768359872e-05,73.44012100208398,5443.3701996287145,7312.298452056388,1868.9282524276737,116.27257671840246,2693.8060336332164
0.1,0.46000857003429335,-0.46000857003429335,2.8407879440840265e-05,73.4712730145403,5266.6342730116585,7139.159158613328,1872.5248856016697,118.8246087785154,2720.5978451358314
0.11,0.4532255046301264,-0.4532255046301264,2.8524841162668775e-05,73.5006256340474,5100.845654398314,6971.548810283002,1870.7031558846882,121.52059678699838,2745.9039950197516
0.12,0.44729459826611223,-0.44729459826611223,2.8635042597172188e-05,73.5283974637585,4944.544364924664,6808.791712720461,1864.2473477957976,124.3520127156297,2769.913553255413
0.13,0.4420487926461084,-0.4420487926461084,2.8739392985388345e-05,73.55478647772134,4796.405989058787,6650.290125953966,1853.8841368951787,127.31057949377565,2792.796336979887
0.14,0.4373548905823352,-0.4373548905823352,2.8838613882795604e-05,73.57995051603267,4655.357491411088,6495.571166783464,1840.2136753723762,130.38981710201523,2814.6868119597407
0.15,0.43310939895376616,-0.43310939895376616,2.8933264880672418e-05,73.60401218296815,4520.542756790651,6344.261514446605,1823.7187576559547,133.5852323165656,2835.6893072045323
0.16,0.4292153148279357,-0.4292153148279357,2.9023861466315502e-05,73.62708555487194,4391.176226140624,6196.027711987309,1804.8514858466847,136.89200226947145,2855.9000019758123
