Position,Fl_CO2,Fl_MEA,Fl_H2O,Fl_T,Fl_CO2_true,Fl_MEA_true,Fl_H2O_true,Fl_MEAH_true,Fl_MEACOO_true,Fl_HCO3_true,Fl_CO3_true,Fl_H3O_true,Fl_OH_true
0.0,4.028415544317589,9.729875260332735,75.23774726911124,88.99603807376157,0.0009431408757161119,2.16178710070269,74.47367639638497,4.3046141342896975,3.2634740253403476,0.4869290890503165,0.27706928905121536,2.641412223444555e-08,7.246821072476973e-05
0.01,3.9892300468551363,9.729875260332735,75.55894655000256,89.27805185719043,0.0010244048578415376,2.230636169560384,74.83334398728512,4.23656150180586,3.2626775889664903,0.4772466462717531,0.2482814067590551,2.831861259557455e-08,7.448136811870546e-05
0.02,3.9528049450311307,9.729875260332735,75.83159802210432,89.51427822746818,0.0010840844543423672,2.293530521580175,75.13755506093473,4.178590386047075,3.257754352705484,0.4671733761077638,0.2267931317635576,2.979595860713701e-08,7.642350266973545e-05
0.03,3.918421964741479,9.729875260332735,76.06966592469605,89.71796314977027,0.0011276037685315162,2.3522631933435885,75.40262061206093,4.127284673027485,3.2503273939616615,0.45705493866275193,0.20991202834854356,3.0959002916574114e-08,7.831466498697382e-05
0.04,3.885630061888471,9.729875260332735,76.28179572239439,89.8973010446156,0.001158640941490884,2.4079071131448324,75.63849694056182,4.080715308103926,3.2412528390839763,0.4470548309140311,0.19616375094897337,3.1880783683395565e-08,8.01680887557873e-05
0.05,3.85412390981452,9.729875260332735,76.4732365271587,90.05723569730596,0.0011795036316561167,2.4611441030714554,75.85122279548058,4.037718456208137,3.2310127010531424,0.43723961654742594,0.18469208858681863,3.260554149671194e-08,8.199403947181411e-05
0.06,3.8236352844303636,9.729875260332735,76.64863604493527,90.20214658969837,0.001192587937246707,2.512558740046608,76.04602742628282,3.99739860846059,3.2199179118255357,0.427652640397343,0.17487214427319545,3.3178698908552095e-08,8.380087001933104e-05
0.07,3.7940001273948227,9.729875260332735,76.81077704091268,90.33465242864024,0.0011992507111553453,2.562493790082063,76.22605086982165,3.959221136638384,3.208160333612287,0.4183058438864088,0.16633469918497176,3.362493451807009e-08,8.559439467916047e-05
0.08,3.7650689008829166,9.729875260332735,76.96208001331725,90.4570241745329,0.0012007813016267,2.611254767448856,76.39399387523042,3.9227510976062896,3.1958693952775894,0.40920309212600947,0.15879563217768672,3.396790058335644e-08,8.73798152173142e-05
0.09,3.7367313730909166,9.729875260332735,77.10436334179681,90.57096997522046,0.0011981541758859819,2.659062410071049,76.55187613744104,3.8876776404448394,3.183135209816846,0.4003427143755593,0.15205529472262508,3.422520212342525e-08,8.916103238591702e-05
0.1,3.708903771570235,9.729875260332735,77.23894303636308,90.67772206826605,0.0011920806997159966,2.7060793815366817,76.7011622182722,3.853774030457731,3.1700218483383216,0.39171840975248945,0.14597143278247768,3.440945052258895e-08,9.094121141533619e-05
0.11,3.681510483548329,9.729875260332735,77.36701425333145,90.77839999721252,0.0011832243926810473,2.7524516093971085,76.84316988147883,3.8208480060442467,3.1565756448913778,0.38332355597312473,0.14042805829415989,3.453263828034567e-08,9.272312406257911e-05
0.12,3.6544992478202416,9.729875260332735,77.48940356903655,90.87377807718953,0.0011720491407052748,2.7982770372036896,76.97881543796109,3.7887646124549588,3.1428336106740864,0.37515064843229307,0.13534293958674873,3.4602892067918325e-08,9.450877797302229e-05
0.13,3.627822144527541,9.729875260332735,77.6068525447243,90.96454994958458,0.0011589758218741835,2.843644685624216,77.10891652453546,3.7574070918596587,3.1288234828488592,0.36719202810998147,0.13064765776001708,3.4627740153380244e-08,9.630000852316925e-05
0.14,3.6014422128434513,9.729875260332735,77.71995533776544,91.05127281094163,0.0011443479302002866,2.8886221557664027,77.23412796437201,3.726684480528753,3.1145686240375783,0.35944068887570874,0.12628855201279596,3.4613303958682704e-08,9.809820317794763e-05
0.15,3.5753308475815713,9.729875260332735,77.82917319435577,91.13437930227008,0.001128438564662089,2.9332603968341213,77.35495996729686,3.6965257425898925,3.1000891209087196,0.3518898244231052,0.1222234636876761,3.456441022439238e-08,9.990444712574753e-05
0.16,3.549462283146105,9.729875260332735,77.9349325834155,91.21427012689435,0.001111499349071076,2.9776051321019414,77.4718816049898,3.6668685687676508,3.0854015594631425,0.34453312455597324,0.11841609978072065,3.448562696402269e-08,0.00010171967272021934
0.17,3.523819277328121,9.729875260332735,78.03754856450317,91.29124310216403,0.001093726174810938,3.021685648764759,77.58524176558541,3.637667280790587,3.0705223307773886,0.3373650008296908,0.1148382195581965,3.4380450894071696e-08,0.00010354444756676208
0.18,3.4983864310881043,9.729875260332735,78.13730829356896,91.3655699849898,0.0010752963623012234,3.065527760766692,77.69535746677033,3.608881778424573,3.0554657211414686,0.33038011490182356,0.11146529869423506,3.425213312367315e-08,0.0001053792449447379
0.19,3.4731529396762593,9.729875260332735,78.23444908709044,91.43747728709943,0.0010563616124404241,3.109148698025125,77.80249111743154,3.5804806957823776,3.040245866525233,0.3235737840361528,0.10827692751393518,3.410347871916903e-08,0.00010722429660131246
