Position,kl_CO2,kv_CO2,kv_H2O,ul,uv,h_L,h_V,a_e,UT,P,Clp,Cvp,eps,a_p,A,Lp,d_h
0.0,2.5881400404203735e-05,2.6322568467097454e-05,3.484295315073719e-05,0.006410804621501209,1.5248842485563965,0.06015553434953245,0.9098444656504675,226.85490225810165,97.28860703795573,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.01,2.679551448122497e-05,2.6694976195670183e-05,3.526404275801212e-05,0.006432523564347212,1.5661430216900227,0.059433787174003494,0.9105662128259965,227.1126863701981,98.48405527042529,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.02,2.7553687560725367e-05,2.6998372488195485e-05,3.5606087605744596e-05,0.006450531486099491,1.59853293028886,0.058852837560555885,0.911147162439444,227.32801470961763,99.43445825574483,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.03,2.8202950364645164e-05,2.725453313867246e-05,3.589437543591075e-05,0.0064659189629964675,1.625139673390788,0.05836587470762221,0.9116341252923778,227.513395580478,100.22193106892564,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.04,2.8771606354431105e-05,2.7476283135565184e-05,3.614368450490048e-05,0.006479354147131188,1.6476825233358363,0.05794597850793073,0.9120540214920693,227.67643633918678,100.89317554018396,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.05,2.92765097357518e-05,2.7671229529708526e-05,3.6362745840313516e-05,0.006491236970628803,1.6671607886250914,0.05757712140649239,0.9124228785935076,227.8217192266382,101.47550827488442,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.06,2.9733047450660332e-05,2.7845958934229127e-05,3.655910843678282e-05,0.006501926808013114,1.6844459586808282,0.05724635538571168,0.9127536446142883,227.95335842537492,101.99262703796582,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.07,3.0149687663427746e-05,2.800418314615055e-05,3.673697870045835e-05,0.0065116317538431575,1.69996925777681,0.05694620795478368,0.9130537920452163,228.07369727853467,102.45696652446743,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.08,3.053408888595865e-05,2.81491313214697e-05,3.6900024593900805e-05,0.0065205351189261095,1.7141225530422222,0.05667046247182702,0.9133295375281729,228.18481737836805,102.87958160482935,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.09,3.0891811036431475e-05,2.8283141768359872e-05,3.7050885876721845e-05,0.006528773149141785,1.72716848205457,0.05641467325081985,0.9135853267491801,228.28824763180828,103.2681549866945,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.1,3.122679487203276e-05,2.8407879440840265e-05,3.7191436410743755e-05,0.006536443343763621,1.7392882886002348,0.056175655428335525,0.9138243445716645,228.38508350621615,103.6280652161504,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.11,3.1542684136191895e-05,2.8524841162668775e-05,3.732336139337054e-05,0.006543634991985664,1.7506451611261808,0.05595065366505109,0.9140493463349488,228.47632597667027,103.9641489846932,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.12,3.184190135743154e-05,2.8635042597172188e-05,3.74477981628009e-05,0.006550408945289602,1.761342767002307,0.05573776235953373,0.9142622376404662,228.56265456997548,104.27958201921933,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.13,3.212666451090646e-05,2.8739392985388345e-05,3.756576644832032e-05,0.006556820155803431,1.7714758756948195,0.055535319166462795,0.9144646808335372,228.64468468746588,104.57723487712694,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.14,3.2398731680293844e-05,2.8838613882795604e-05,3.76780734397391e-05,0.006562912622193016,1.7811171748010843,0.055342013327417595,0.9146579866725824,228.7229069742901,104.85934885369073,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.15,3.265945707808566e-05,2.8933264880672418e-05,3.778534413435609e-05,0.006568720409215575,1.7903224616638003,0.05515682040801722,0.9148431795919828,228.79770254522396,105.12765387616763,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.16,3.291011263665232e-05,2.9023861466315502e-05,3.788815468488097e-05,0.006574275281907036,1.7991433056832185,0.054978822763737736,0.9150211772362622,228.8694260060108,105.38374620609414,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.17,3.315162351304984e-05,2.9110786064104942e-05,3.798693100277759e-05,0.006579600727605493,1.8076168518286155,0.05480732878093044,0.9151926712190696,228.93833969650086,105.62879563154951,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.18,3.338484686553508e-05,2.919438758867201e-05,3.80820620460976e-05,0.006584718321758386,1.8157774491842615,0.05464171953758147,0.9153582804624185,229.00468499468485,105.86387642355356,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.19,3.361049237934367e-05,2.9274956159678104e-05,3.8173870547465375e-05,0.0065896460830451795,1.8236531531673534,0.054481483732369086,0.9155185162676309,229.06866306242782,106.08987629667027,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.2,3.382912906527571e-05,2.9352726823547314e-05,3.826261739539446e-05,0.006594398569597154,1.8312665942707314,0.054326204897089954,0.91567379510291,229.13043705680312,106.3075148347442,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.21,3.404129592190164e-05,2.9427919018451253e-05,3.834854621713495e-05,0.006598989508194215,1.838638968158743,0.05417550369343935,0.9158244963065606,229.19016063853095,106.5174655853963,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.22,3.4247401010927893e-05,2.9500702964064077e-05,3.843184506887253e-05,0.00660342950774083,1.8457863784220128,0.05402908329864394,0.915970916701356,229.2479528461196,106.72024909488802,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
