Position,Tl,Hl_CO2,Hl_MEA,Hl_H2O,Hl_T,Fl_T,Hlf,Hl_CO2_trn,Hl_H2O_trn,Hl_trn,ql,Hl_flux,dHlf_dz,dTl_dz,dHl_dT
0.0,323.8360797418149,-83999.99999,-53666.71704300129,-48055.761173671715,-50295.74539535282,88.99196402057967,-4475917.164611474,-56415.108650003145,278138.9711120897,-3146.7454088430686,-50310.87998741585,-53457.62539625892,53457.62539625892,225.03430369003974,82.4462576722209
0.01,325.84790842007976,-83999.99999,-53320.459864062395,-47904.270196008605,-50107.20913486105,89.27174893671112,-4473158.193806593,-51976.85228524675,232772.44518782324,-3177.7721880757317,-35872.017231014084,-39049.789419089815,39049.789419089815,179.06089805691897,82.51896970932304
0.02,327.4678754157724,-83999.99999,-53040.908833923095,-47782.27200953249,-49953.23266573691,89.50612675137334,-4471120.374620291,-48690.3993735733,200380.09697094324,-3050.07121284797,-26795.63257014325,-29845.703782991222,29845.703782991222,147.35850095992956,82.58185256773001
0.03,328.8198730591397,-83999.99999,-52807.094997236265,-47680.442869915554,-49822.98667955697,89.70819829224351,-4469530.3685615035,-46165.64152353007,176333.48588816958,-2879.5126883204284,-20798.626862956407,-23678.139551276836,23678.139551276836,124.51643544705713,82.63777209881265
0.04,329.97699649908594,-83999.99999,-52606.616664480876,-47593.281940347115,-49710.060426456694,89.88608285727126,-4468242.610332448,-44174.325081579766,157913.9808929913,-2706.4044625614943,-16731.13820825389,-19437.542670815386,19437.542670815386,107.5087302019263,82.68846656489325
0.05,330.98262254766655,-83999.99999,-52432.11140861265,-47517.52511643319,-49610.632132376966,90.04468850169339,-4467173.916731984,-42584.2375377003,143359.70541542568,-2542.4905810958453,-13949.527704704999,-16492.018285800845,16492.018285800845,94.44554726156085,82.73500135171909
0.06,331.8744633972744,-83999.99999,-52277.13702919274,-47450.333826673,-49521.3744936305,90.18836324727869,-4466251.71133607,-41282.74709492148,131734.3012736461,-2397.350303930272,-11915.493908384999,-14312.84421231527,14312.84421231527,84.1971982394499,82.77836199585744
0.07,332.67355241526985,-83999.99999,-52138.10877646239,-47390.12519410089,-49440.42192061996,90.31971003795894,-4465444.572024744,-40208.358517527595,122214.73719294477,-2268.2057393190044,-10425.002119930403,-12693.207859249407,12693.207859249407,75.96024652893203,82.81908595884988
0.08,333.39828056026926,-83999.99999,-52011.8778929957,-47335.51489346175,-49366.14065437957,90.44098710582182,-4464722.490386928,-39308.42037829516,114330.2301635314,-2154.992454702353,-9281.908813615542,-11436.901268317895,11436.901268317895,69.22484490503169,82.8576710363493
0.09,334.0618917946871,-83999.99999,-51896.175050983875,-47285.50601233286,-49297.351338856795,90.55389332809958,-4464067.094496685,-38545.5168291095,107717.80759121836,-2055.9031748621396,-8382.430393833589,-10438.333568695729,10438.333568695729,63.634050152911186,82.89447531159317
