Position,rho_true_mol_m3
0.0,51113.43183103504
0.01,50980.87416045301
0.02,50866.57316227917
0.03,50764.85303376125
0.04,50672.36235465363
0.05,50587.05553461662
0.06,50507.183314919406
0.07,50431.7481013533
0.08,50359.87679176835
0.09,50290.94152013993
0.1,50224.48857292147
0.11,50160.11304600528
0.12,50097.54024053608
0.13,50036.523459629454
0.14,49976.86998521818
0.15,49918.43074738575
0.16,49861.070212206694
0.17,49804.69112279541
0.18,49749.20558191979
0.19,49694.54408681592
0.2,49640.6532048311
0.21,49587.48477113893
0.22,49535.00628896629
0.23,49483.18931701958
0.24,49432.013641381134
0.25,49381.46651724129
0.26,49331.53768044115
0.27,49282.22454284265
0.28,49233.52648318644
0.29,49185.44697231337
0.3,49137.993183246246
0.31,49091.17344287088
0.32,49044.999742677
0.33,48999.484909182254
0.34,48954.64347422498
0.35000000000000003,48910.491388227354
0.36,48867.04490229768
0.37,48824.32122202755
0.38,48782.33761989812
0.39,48741.11134180679
0.4,48700.65939243035
0.41000000000000003,48660.99846109129
0.42,48622.144171612
0.43,48584.11168299847
0.44,48546.914872987036
0.45,48510.56622484196
0.46,48475.077512472766
0.47000000000000003,48440.45812907107
0.48,48406.716711449764
0.49,48373.85990614232
0.5,48341.89237931523
0.51,48310.81793428627
0.52,48280.63747394078
0.53,48251.351090819044
0.54,48222.956752008795
0.55,48195.45041733135
0.56,48168.8272469127
0.5700000000000001,48143.079705237185
0.58,48118.19957873991
0.59,48094.17685647705
0.6,48070.999910957806
0.61,48048.65652098105
0.62,48027.13245405442
0.63,48006.413031333075
0.64,47986.482359271664
0.65,47967.323520265236
0.66,47948.919260631505
0.67,47931.251174929086
0.68,47914.300657351436
0.6900000000000001,47898.04851319587
0.7000000000000001,47882.47512006802
0.71,47867.56075603274
0.72,47853.28533838562
0.73,47839.628787762595
0.74,47826.570960673125
0.75,47814.09176363303
0.76,47802.17118022812
0.77,47790.789426256684
0.78,47779.926859578096
0.79,47769.5641377338
0.8,47759.68228561646
0.81,47750.26251227675
0.8200000000000001,47741.28663603333
0.8300000000000001,47732.73669092261
0.84,47724.59523714186
0.85,47716.845517182206
0.86,47709.470771162836
0.87,47702.45642205522
0.88,47695.78780326806
0.89,47689.45382631125
0.9,47683.46509720279
0.91,47677.79817143165
0.92,47672.6304152239
0.93,47668.099619661385
0.9400000000000001,47664.77713333145
0.9500000000000001,47666.140721951
0.96,47678.50778835722
0.97,47720.439931979
0.98,47826.01789432581
0.99,48002.01049905736
1.0,48180.13477593607
