Position,kl_CO2,kv_CO2,kv_H2O,ul,uv,h_L,h_V,a_e,UT,P,Clp,Cvp,eps,a_p,A,Lp,d_h
0.0,2.7267951985405672e-05,2.632262887496086e-05,3.484303311209648e-05,0.006410421007368566,1.5248842485563965,0.0601597103531836,0.9098402896468164,226.85223745049527,97.28883030632304,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.01,2.8224184362460024e-05,2.669228176470753e-05,3.5261038139379845e-05,0.006431978085214939,1.5658692656932123,0.059443549423663214,0.9105564505763367,227.10792262072383,98.47612771815962,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.02,2.901722189848051e-05,2.6993444505372997e-05,3.5600577496869e-05,0.006449854970348842,1.598032854402361,0.058867181340106295,0.9111328186598937,227.32146695880834,99.41997153673887,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.03,2.9696223775010534e-05,2.724770094896904e-05,3.5886724801021286e-05,0.006465130644996102,1.624446066848345,0.058384172309762436,0.9116158276902375,227.50527409277962,100.20192909607353,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.04,3.0290793559872897e-05,2.7467772105863267e-05,3.6134141814609125e-05,0.0064784671524446445,1.6468187176109095,0.0579678033156046,0.9120321966843954,227.66689340776125,100.86838329596245,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.05,3.0818584274900375e-05,2.7661212599251434e-05,3.63515007475723e-05,0.0064902615158471035,1.6661447335551363,0.05760215444047718,0.9123978455595227,227.8108781440578,101.44648108648357,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.06,3.129570675430837e-05,2.783456410529005e-05,3.6546300153297764e-05,0.006500870462309058,1.6832907492581137,0.05727435806194045,0.9127256419380595,227.94131553326767,101.95977181738122,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.07,3.1731035880337416e-05,2.7991515477756244e-05,3.6722720897745075e-05,0.006510500796360174,1.6986855739243738,0.05697698726381362,0.9130230127361864,228.06053534017755,102.42061536220011,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.08,3.2132599315135344e-05,2.8135277245866677e-05,3.688441013768519e-05,0.006519334752022516,1.7127189443033548,0.0567038593952707,0.9132961406047293,228.17060758125336,102.84000346799625,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.09,3.2506225764374857e-05,2.8268174477715825e-05,3.703399294905397e-05,0.0065275077966767125,1.7256520721335267,0.05645055266597827,0.9135494473340217,228.27305275430177,103.22557523433532,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.1,3.285604997418142e-05,2.8391863791362378e-05,3.717333402742716e-05,0.006535116952219326,1.737665304750044,0.056213898035069744,0.9137861019649303,228.3689610328902,103.58268162537183,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.11,3.3185894529571796e-05,2.850783464161903e-05,3.730411044701293e-05,0.006542251066415009,1.748921020088497,0.0559911527926036,0.9140088472073964,228.45932850391821,103.91613466953712,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.12,3.349830309405404e-05,2.8617098204282668e-05,3.742745470351509e-05,0.006548970727950007,1.759522440379498,0.0557804195408567,0.9142195804591433,228.54483176070678,104.22909551012974,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
