Position,Nl_CO2,Nv_CO2,kv_CO2,a_eA,DF_CO2,fv_CO2,fl_CO2,Psi,H_CO2_mix
0.0,0.6716084363095612,-0.6716084363095612,2.632262887496086e-05,72.97815783678804,8119.841170137354,9414.203359062047,1294.3621889246924,103.24973354329435,2294.7133230933205
0.01,0.6187720510148422,-0.6187720510148422,2.669228176470753e-05,73.06041152279604,7650.02501029306,9091.167761756971,1441.1427514639113,102.42927490195524,2367.1562960790075
0.02,0.5796476115901583,-0.5796476115901583,2.6993444505372997e-05,73.12910854154723,7251.5649204839665,8807.176837269968,1555.6119167860015,102.42197853521095,2426.9309696197784
0.03,0.549590970518215,-0.549590970518215,2.724770094896904e-05,73.18823912886361,6906.429954657399,8551.387594012112,1644.957639354713,102.99089440522005,2477.9853952749363
0.04,0.5258848223997591,-0.5258848223997591,2.7467772105863267e-05,73.24023191505236,6602.72545101763,8316.97656778445,1714.2511167668204,103.99109030191117,2522.65693343186
0.05,0.5069552087821464,-0.5069552087821464,2.7661212599251434e-05,73.28655167336566,6332.8385443334655,8099.549390563363,1766.7108462298977,105.34421315538647,2562.343643492143
0.06,0.4914612749395414,-0.4914612749395414,2.783456410529005e-05,73.32851326248004,6089.391798363551,7895.350862025946,1805.9590636623952,106.96993153919183,2598.256594033563
0.07,0.4786709347324714,-0.4786709347324714,2.7991515477756244e-05,73.36686616560202,5868.071993641193,7702.092072872394,1834.0200792312007,108.83075644249365,2631.0799189273243
0.08,0.4679573854558947,-0.4679573854558947,2.8135277245866677e-05,73.40227630514023,5664.882511060601,7517.795682861835,1852.9131718012338,110.89071387773643,2661.4110917142402
0.09,0.4588752003465417,-0.4588752003465417,2.8268174477715825e-05,73.435232823852,5476.81749065872,7341.003899964372,1864.1864093056518,113.1246561271838,2689.6823409975827
0.1,0.45111513384547175,-0.45111513384547175,2.8391863791362378e-05,73.46608642957943,5301.651559796806,7170.632925817588,1868.9813660207824,115.51692105711122,2716.2023568547907
0.11,0.44439943242671903,-0.44439943242671903,2.850783464161903e-05,73.49515756256939,5137.337526310701,7005.7312232742115,1868.3936969635106,118.05170748877875,2741.2490140696964
0.12,0.4385433450000514,-0.4385433450000514,2.8617098204282668e-05,73.522663882276,4982.433261483722,6845.624526620232,1863.1912651365105,120.72022465188199,2765.0106641936927
0.13,0.4333812234873234,-0.4333812234873234,2.872056008513135e-05,73.54880256974458,4835.628983334056,6689.715710017082,1854.086726683025,123.5140206426999,2787.656542716732
0.14,0.42878130105413076,-0.42878130105413076,2.881893915467231e-05,73.57373087125494,4695.863141340639,6537.531563611043,1841.6684222704032,126.42655443349508,2809.3207101969792
0.15,0.4246413917791566,-0.4246413917791566,2.8912793400180953e-05,73.59757103266655,4562.288224202432,6388.697602815835,1826.4093786134033,129.45335641873638,2830.1072868755996
0.16,0.42086588003297665,-0.42086588003297665,2.9002636936441433e-05,73.62043680170903,4434.125483003536,6242.878757332712,1808.7532743291758,132.58968019101192,2850.112279927415
0.17,0.417382679800365,-0.417382679800365,2.90888515566765e-05,73.6424124118322,4310.776245602576,6099.824675719555,1789.0484301169786,135.83240500521507,2869.406693630721
0.18,0.41412487191715003,-0.41412487191715003,2.91717857916176e-05,73.66357539135763,4191.6960026046445,5959.3115068945335,1767.6155042898893,139.1783539189551,2888.055487924212
