Position,Tl,Tv
0.0,323.8360797418149,316.75
0.01,325.84790842007976,320.8620180785444
0.02,327.4678754157724,323.7823441469716
0.03,328.8198730591397,325.9838008613329
0.04,329.97699649908594,327.71224416544527
0.05,330.98262254766655,329.1063400422166
0.06,331.8744633972744,330.2807496665066
0.07,332.67355241526985,331.28619358610837
0.08,333.39828056026926,332.1686753726771
0.09,334.0618917946871,332.95608776561176
0.1,334.67377850280724,333.66686888552937
0.11,335.242406817309,334.3170332267187
0.12,335.7734790144628,334.915966642808
0.13,336.2721173787919,335.4722583507078
0.14,336.7423788025926,335.992119142106
0.15,337.1874070251307,336.48026184052964
0.16,337.61010706679383,336.94094510674677
0.17,338.0126324134811,337.3771531490198
0.18,338.39695575716934,337.7916538763455
0.19,338.76472202226705,338.1866485053712
0.2,339.1172701754733,338.563929663158
0.21,339.4558561614161,338.92515386246805
0.22,339.7814624167687,339.27158324982975
0.23,340.09500032013716,339.6044014199599
0.24,340.3972529460789,339.92459408910554
0.25,340.688877008273,340.2329936649153
0.26,340.9704943768859,340.5303791698091
0.27,341.24260849584886,340.8173712056667
0.28,341.50569067781936,341.0945563911354
0.29,341.76015468554147,341.36243680939293
0.3,342.00635567923484,341.62144668596636
0.31,342.24463280208636,341.87199612954527
0.32,342.4752695535392,342.11442295062477
0.33,342.6985339455481,342.3490489787835
0.34,342.9146672289022,342.57615660010276
0.35000000000000003,343.123882472413,342.7959962783054
0.36,343.326385563707,343.00880708750555
0.37,343.52235654256384,343.2147941997186
0.38,343.7119680128694,343.4141553392727
0.39,343.89538126212204,343.6070700206674
0.4,344.07274453184516,343.79370332053725
0.41000000000000003,344.24420351148405,343.9742152343661
0.42,344.40989332771767,344.14875107010164
0.43,344.5699457113375,344.31745307113937
0.44,344.7244891532545,344.48045608317756
0.45,344.87364664465565,344.63788944224336
0.46,345.0175410064443,344.78988062583
0.47000000000000003,345.1562919835439,344.93655208014906
0.48,345.2900177757916,345.07802534630446
0.49,345.4188370827692,345.2144198047859
0.5,345.5428663327227,345.34585347112363
0.51,345.6622227398504,345.4724439565596
0.52,345.77702323146633,345.5943079320254
0.53,345.8873837900112,345.71156198202624
0.54,345.9934218916554,345.82432243718125
0.55,346.0952535010031,345.9327055332315
0.56,346.19299542222143,346.0368274914993
0.5700000000000001,346.28676424994626,346.1368043920795
0.58,346.37667559850473,346.2327522685496
0.59,346.46284600974695,346.3247869102587
0.6,346.54539008303965,346.41302370929213
0.61,346.62442284231327,346.4975778666298
0.62,346.7000579523974,346.5785635868511
0.63,346.7724078448945,346.6560947102071
0.64,346.8415846943481,346.73028400296977
0.65,346.90769797604503,346.80124291835267
0.66,346.97085704442725,346.8690823403781
0.67,347.0311685371465,346.9339108147082
0.68,347.0887376309202,346.9958361383295
0.6900000000000001,347.14366807958476,347.05496407936806
0.7000000000000001,347.1960603361763,347.1113981812872
0.71,347.2460142661487,347.16524106674433
0.72,347.29362600048506,347.2165918805203
0.73,347.3389901054449,347.26554872653384
0.74,347.3821988954684,347.3122069770063
0.75,347.42334111304854,347.3566591691213
0.76,347.46250461188447,347.39899669693733
0.77,347.49977300368005,347.4393068164119
0.78,347.5352283630433,347.47767559492195
0.79,347.5689500865914,347.5141860288353
0.8,347.6010139964667,347.54891801517505
0.81,347.6314949706826,347.58195025902955
0.8200000000000001,347.66046312890506,347.6133569797163
0.8300000000000001,347.68798728235606,347.6432112309939
0.84,347.7141324695618,347.6715826071421
0.85,347.7389533604374,347.69853503528185
0.86,347.76251500060187,347.7241354896948
0.87,347.7848111336725,347.74842191318777
0.88,347.80585002571127,347.7714369313924
0.89,347.8254944406053,347.7931676192585
0.9,347.8425947657001,347.81322503255484
0.91,347.8576370593896,347.8318245939072
0.92,347.86154519944114,347.8456474916235
0.93,347.8471108486477,347.852097214282
0.9400000000000001,347.7864051612286,347.84082787188834
0.9500000000000001,347.51197999066983,347.74937792940375
0.96,346.71649265644294,347.46035885333197
0.97,344.47645996334205,346.59734618506104
0.98,338.95679361336187,344.2142085167103
0.99,329.2151940125135,339.0780768803342
1.0,318.1499999999999,331.28092942951355
