Position,Fv_CO2,Fv_H2O,Fv_N2,Fv_O2,Fv_T
0.0,1.7417130263823344,1.6681384637478156,15.300855296283519,1.6855287352087107,20.39623552162238
0.01,1.7039380104002801,1.982668372651665,15.300855296283519,1.6855287352087107,20.672990414544174
0.02,1.6688969686160526,2.2496013529579586,15.300855296283519,1.6855287352087107,20.904882353066238
0.03,1.635872733711071,2.482539298197895,15.300855296283519,1.6855287352087107,21.104796063401192
0.04,1.6044172970434536,2.6899399630611516,15.300855296283519,1.6855287352087107,21.280741291596833
0.05,1.5742291839977243,2.8769597468526094,15.300855296283519,1.6855287352087107,21.43757296234256
0.06,1.5450436023501934,3.0481648857309316,15.300855296283519,1.6855287352087107,21.579592519573353
0.07,1.516698898998984,3.206296979702711,15.300855296283519,1.6855287352087107,21.709379910193924
0.08,1.4890477475816652,3.353742616552293,15.300855296283519,1.6855287352087107,21.829174395626186
0.09,1.461981365505416,3.4922958872391385,15.300855296283519,1.6855287352087107,21.940661284236782
0.1,1.4354168713403663,3.6232577613079977,15.300855296283519,1.6855287352087107,22.045058664140594
0.11,1.4092793190066102,3.7478100350809314,15.300855296283519,1.6855287352087107,22.14347338557977
0.12,1.3835164280025882,3.8667717618298107,15.300855296283519,1.6855287352087107,22.23667222132463
0.13,1.3580801094202761,3.980878658095471,15.300855296283519,1.6855287352087107,22.325342799007974
0.14,1.3329328214312033,4.090721157592377,15.300855296283519,1.6855287352087107,22.41003801051581
0.15,1.3080450281759632,4.196759219739518,15.300855296283519,1.6855287352087107,22.491188279407712
0.16,1.2833899008984482,4.299418565716753,15.300855296283519,1.6855287352087107,22.56919249810743
0.17,1.2589487087868005,4.399015451764663,15.300855296283519,1.6855287352087107,22.64434819204369
0.18,1.2347044598686412,4.495838823839826,15.300855296283519,1.6855287352087107,22.716927315200696
0.19,1.2106444949122988,4.5901286448839524,15.300855296283519,1.6855287352087107,22.78715717128848
0.2,1.1867597287523004,4.68207809886617,15.300855296283519,1.6855287352087107,22.8552218591107
0.21,1.1630423519365038,4.771867536253135,15.300855296283519,1.6855287352087107,22.92129391968187
0.22,1.1394885286401433,4.859634511259489,15.300855296283519,1.6855287352087107,22.98550707139186
0.23,1.1160953546667423,4.945505246148875,15.300855296283519,1.6855287352087107,23.04798463230785
0.24,1.0928622318599812,5.029585282048312,15.300855296283519,1.6855287352087107,23.108831545400523
0.25,1.069790558298039,5.111959565447444,15.300855296283519,1.6855287352087107,23.168134155237713
0.26,1.0468824588057113,5.192707229877895,15.300855296283519,1.6855287352087107,23.225973720175833
0.27,1.0241423545978565,5.271887530624404,15.300855296283519,1.6855287352087107,23.28241391671449
0.28,1.0015752233994575,5.349554285584726,15.300855296283519,1.6855287352087107,23.33751354047641
0.29,0.9791873876107818,5.425751326508746,15.300855296283519,1.6855287352087107,23.391322745611756
0.3,0.9569863347742186,5.500512350670409,15.300855296283519,1.6855287352087107,23.443882716936855
0.31,0.9349799678701791,5.573868191385178,15.300855296283519,1.6855287352087107,23.495232190747586
0.32,0.9131774571073277,5.645839836581702,15.300855296283519,1.6855287352087107,23.545401325181256
0.33,0.8915882673170215,5.716445561190338,15.300855296283519,1.6855287352087107,23.594417859999588
0.34,0.8702225250054342,5.785698833187175,15.300855296283519,1.6855287352087107,23.64230538968484
0.35000000000000003,0.8490908769011706,5.8536082245033105,15.300855296283519,1.6855287352087107,23.68908313289671
0.36,0.8282041329896407,5.920181029553194,15.300855296283519,1.6855287352087107,23.734769194035064
0.37,0.807573498720395,5.985420207080972,15.300855296283519,1.6855287352087107,23.779377737293597
0.38,0.787210237417044,6.049327537036596,15.300855296283519,1.6855287352087107,23.82292180594587
0.39,0.7671256640724226,6.111903107718198,15.300855296283519,1.6855287352087107,23.865412803282847
0.4,0.7473310226292003,6.17314525292795,15.300855296283519,1.6855287352087107,23.906860307049378
0.41000000000000003,0.7278374896731628,6.2330520514106205,15.300855296283519,1.6855287352087107,23.947273572576012
0.42,0.7086558461164975,6.291620754926839,15.300855296283519,1.6855287352087107,23.986660632535564
0.43,0.6897967161248233,6.348848401066355,15.300855296283519,1.6855287352087107,24.025029148683405
0.44,0.6712702414253044,6.404732395272415,15.300855296283519,1.6855287352087107,24.062386668189948
0.45,0.653085986723022,6.459270389825947,15.300855296283519,1.6855287352087107,24.0987404080412
0.46,0.6352532584692231,6.512460455326279,15.300855296283519,1.6855287352087107,24.13409774528773
0.47000000000000003,0.6177803409068867,6.564302053440378,15.300855296283519,1.6855287352087107,24.168466425839494
0.48,0.6006751993689471,6.614795012413343,15.300855296283519,1.6855287352087107,24.201854243274518
0.49,0.583944934911637,6.663940769391075,15.300855296283519,1.6855287352087107,24.23426973579494
0.5,0.5675957331060373,6.711742138513411,15.300855296283519,1.6855287352087107,24.265721903111675
0.51,0.5516334022080615,6.75820271666367,15.300855296283519,1.6855287352087107,24.29622015036396
0.52,0.5360623742557177,6.803328601845228,15.300855296283519,1.6855287352087107,24.325775007593176
0.53,0.5208866820501852,6.847126519423216,15.300855296283519,1.6855287352087107,24.354397232965628
0.54,0.5061093284517929,6.889605294046143,15.300855296283519,1.6855287352087107,24.382098653990166
0.55,0.4917322844849115,6.9307755103708795,15.300855296283519,1.6855287352087107,24.40889182634802
0.56,0.47775711392341774,6.970648618433907,15.300855296283519,1.6855287352087107,24.434789763849555
0.5700000000000001,0.46418396414037155,7.00923872760523,15.300855296283519,1.6855287352087107,24.45980672323783
0.58,0.4510125910316455,7.046560578319331,15.300855296283519,1.6855287352087107,24.483957200843204
0.59,0.4382417734811958,7.082630880786388,15.300855296283519,1.6855287352087107,24.507256685759813
0.6,0.42586935217672234,7.11746791677565,15.300855296283519,1.6855287352087107,24.5297213004446
