Position,Cv_CO2,Cv_H2O,Cv_N2,Cv_O2
0.0,3.550503068136562,3.4005204324131264,31.19097856631797,3.4359707110998987
0.01,3.3833972324401858,3.936853714121023,30.381898371556453,3.3468431498654594
0.02,3.2477342657807218,4.3778061412664,29.776021513599407,3.280100289135798
0.03,3.132189941117897,4.753294347418773,29.296401891116982,3.2272658141989337
0.04,3.0306277488496387,5.081101225856396,28.902204387537143,3.1838413646001746
0.05,2.9394504860806485,5.3719501660138125,28.57024059476163,3.1472725257387353
0.06,2.855862126566611,5.634234942915312,28.282135907532805,3.1155351672924754
0.07,2.7783229681439563,5.873366524679336,28.02844897558014,3.0875892384360006
0.08,2.705556088384517,6.0936519798133855,27.8012053485746,3.0625562807487325
0.09,2.6366825431913643,6.298353603405298,27.595083636145315,3.0398500945570115
0.1,2.5710726534053423,6.489863072069692,27.406401172679708,3.019065000662392
0.11,2.508192166219449,6.670237506284259,27.231993596306854,2.9998524157498365
0.12,2.4476732168789037,6.840969493133313,27.06978605098488,2.98198377550629
0.13,2.389195707632678,7.003341066962713,26.91795391406939,2.9652580811092353
0.14,2.3325103546655432,7.158387358102959,26.775095368647175,2.949520909642896
0.15,2.2774206309071303,7.306924321491125,26.640125356290895,2.9346527320271485
0.16,2.2237531141374123,7.449681050006458,26.51207134344494,2.9205464148225766
0.17,2.1713768303609235,7.587219528241378,26.390211486115145,2.9071224403309217
0.18,2.1201752565515437,7.720038714983737,26.27389456964241,2.894309071319237
0.19,2.0700535239276077,7.848556712192715,26.162584935780497,2.8820473001471787
0.2,2.0209344947952523,7.9731161313268295,26.055843924397283,2.870288804401169
0.21,1.9727492965153994,8.094028828386108,25.953269433025056,2.8589892888277295
0.22,1.925445091937894,8.211543322408968,25.854544378642853,2.848113823840706
0.23,1.8789748497699787,8.325883570847664,25.75937814047351,2.837630394911402
0.24,1.8333005682389603,8.437240565896738,25.667523216972707,2.8275117374878134
0.25,1.7883920082784077,8.54577334093614,25.57877064762271,2.8177348326634566
0.26,1.7442225941698617,8.651627696193096,25.492926444051054,2.808278310850177
0.27,1.7007732656367178,8.75492096511358,25.40983244415606,2.799124749050239
0.28,1.6580276802774194,8.855759283402993,25.32934224056722,2.790258019156732
0.29,1.6159738758290412,8.954233389153957,25.251328550059785,2.781664099761788
0.3,1.5746037044684267,9.050418808627374,25.175681778933214,2.773330918119938
0.31,1.5339107887359564,9.144384743593811,25.102299324466156,2.765247171605819
0.32,1.4938924404865683,9.236186664949646,25.031095415455805,2.7574034117393174
0.33,1.4545472784496973,9.325874552450516,24.961990018256202,2.749790822084526
0.34,1.4158759717938356,9.4134910583867,24.894912208537693,2.742401589679795
0.35000000000000003,1.3778809052604433,9.499071558576391,24.829799636813313,2.7352288461605854
0.36,1.3405652566047406,9.582648389329838,24.766593391041294,2.7282661018282943
0.37,1.3039335873212454,9.664247841974241,24.705242516228182,2.721507743525748
0.38,1.2679909813075523,9.743893556447997,24.645698950306027,2.7149484767778977
0.39,1.2327430829886004,9.82160633231641,24.58791879047639,2.7085834652911567
0.4,1.1981958686338348,9.897404114862757,24.53186211656498,2.702408311494306
0.41000000000000003,1.164355521624244,9.971303588511594,24.477490652207855,2.696418798896826
0.42,1.1312279792010598,10.043320000108082,24.42476938801294,2.6906110708949385
0.43,1.0988192214475285,10.113467481172702,24.37366474951607,2.6849814289552585
0.44,1.0671347537578175,10.181760050917253,24.324144645849632,2.679526337976092
0.45,1.0361794612234594,10.248211488979663,24.27617851167451,2.6742424309066166
0.46,1.0059580822736418,10.312835303371134,24.2297364803546,2.6691264176645215
0.47000000000000003,0.9764740054172791,10.37564631707487,24.184789427807452,2.664175089966549
0.48,0.947730389473898,10.436659046337487,24.14130892113571,2.659385315669784
0.49,0.9197292833361157,10.495889426549827,24.099266616996918,2.6547539724966005
0.5,0.8924715646389049,10.553354541678493,24.058634464816375,2.6502779704204085
0.51,0.8659577924625509,10.609071680777493,24.019384653145238,2.645954245756513
0.52,0.8401866204560554,10.663060756264962,23.981488943932288,2.6417796878260784
0.53,0.8151563691364574,10.71534171429099,23.944919457163483,2.6377512253913262
0.54,0.7908640125194697,10.765936490822277,23.90964784548756,2.633865735733023
0.55,0.7673051948372603,10.814868620898167,23.875645599697858,2.6301200783020895
0.56,0.7444752182022123,10.862161964691081,23.842884288703843,2.6265111211546457
0.5700000000000001,0.7223674464598476,10.907843166586666,23.81133477865152,2.6230356549310123
0.58,0.7009749374087103,10.951938944843114,23.780968196649557,2.619690499018923
0.59,0.6802895075817337,10.994477856365501,23.751755183910397,2.616472419280215
0.6,0.6603018050815553,11.035489849259687,23.72366623657666,2.61337816559596
0.61,0.6410022151359946,11.075005094912198,23.69667193786383,2.6104044974390996
0.62,0.6223795427212424,11.113055941520239,23.670742414489027,2.6075481239951195
0.63,0.6044223930794507,11.149674689849313,23.645848074340595,2.604805785423076
0.64,0.5871184565155005,11.184894902110392,23.62195910561149,2.60217419768058
0.65,0.57045460652628,11.218750969630237,23.599045794949948,2.5996500875709856
0.66,0.5544175823249642,11.251277306379695,23.577078598095284,2.5972302005245718
0.67,0.5389930978678851,11.282509544192937,23.55602797450621,2.594911282381345
0.68,0.5241668002288928,11.312483095477544,23.535864722150556,2.5926901162711746
0.6900000000000001,0.5099238291033333,11.341233918784189,23.51655976898616,2.590563499643518
0.7000000000000001,0.4962489120700494,11.36879815466217,23.498084432645516,2.588528272874047
0.71,0.48312677384262,11.395211760694838,23.480410289759043,2.5865813048694166
0.72,0.47054168538753743,11.420510945981782,23.463509377264735,2.5847195152433615
0.73,0.4584779705459417,11.444731549689036,23.447354118973745,2.582939866227218
0.74,0.44691982326275553,11.467909312535141,23.431917373281415,2.581239367925737
0.75,0.43585138214969243,11.490079604714827,23.41717262249559,2.57961509917332
0.76,0.4252568879697675,11.511277456533016,23.403093671653266,2.578064174355929
0.77,0.4151205983986976,11.531537381714136,23.38965512435601,2.5765837958286912
0.78,0.4054269102189696,11.550893428225786,23.37683199149111,2.5751712108129747
