Position,rho_true_mol_m3
0.0,51106.22949208991
0.01,50975.78220246266
0.02,50863.37033876757
0.03,50763.398847881355
0.04,50672.5612660183
0.05,50588.83763907021
0.06,50510.50005982456
0.07,50436.562290827664
0.08,50366.16077942788
0.09,50298.674049105066
0.1,50233.652440744256
0.11,50170.694439619874
0.12,50109.52695995833
0.13,50049.90449574366
0.14,49991.63472124201
0.15,49934.5682624238
0.16,49878.569053783904
0.17,49823.538619498555
0.18,49769.387665058115
0.19,49716.044913460515
0.2,49663.454813053315
0.21,49611.56696517938
0.22,49560.34626926073
0.23,49509.76159410507
0.24,49459.789840721736
0.25,49410.415216845984
0.26,49361.62436938188
0.27,49313.411487246005
0.28,49265.77271748982
0.29,49218.708281168765
0.3,49172.22212413716
0.31,49126.31938315057
0.32,49081.008989582
0.33,49036.30078125004
0.34,48992.206480001136
0.35000000000000003,48948.73944319351
0.36,48905.91344331345
0.37,48863.743597996174
0.38,48822.24523027184
0.39,48781.43398713779
0.4,48741.32564316872
0.41000000000000003,48701.935824597545
0.42,48663.27965494843
0.43,48625.37196167016
0.44,48588.22672456463
0.45,48551.856948377004
0.46,48516.27510208983
0.47000000000000003,48481.49185054297
0.48,48447.5172511557
0.49,48414.35976504128
0.5,48382.02622156986
0.51,48350.52271961231
0.52,48319.852887248075
0.53,48290.01963233796
0.54,48261.02398989818
0.55,48232.865179828135
0.56,48205.541685160795
0.5700000000000001,48179.04948548901
0.58,48153.38390063242
0.59,48128.53852595664
0.6,48104.50535771057
0.61,48081.27579150427
0.62,48058.839171258376
0.63,48037.1843537832
0.64,48016.298901156406
0.65,47996.16923406551
0.66,47976.7813811135
0.67,47958.12001856705
0.68,47940.16954841603
0.6900000000000001,47922.913612930904
0.7000000000000001,47906.335239620406
0.71,47890.417278362846
0.72,47875.14194877205
0.73,47860.49139191248
0.74,47846.447486712335
0.75,47832.991963863635
0.76,47820.10655323463
0.77,47807.77295163568
0.78,47795.97292501805
0.79,47784.68835841903
0.8,47773.90133225921
0.81,47763.594046241305
0.8200000000000001,47753.74909006909
0.8300000000000001,47744.34921293319
0.84,47735.3775489402
0.85,47726.81778481384
0.86,47718.65355794568
0.87,47710.87053197821
0.88,47703.454243607244
0.89,47696.39372236584
0.9,47689.699612083816
0.91,47683.348523132496
0.92,47677.51782916774
0.93,47672.34532349234
0.9400000000000001,47668.40280270898
0.9500000000000001,47669.167451206435
0.96,47680.95450292801
0.97,47722.31793402363
0.98,47827.320949045934
0.99,48002.69750591037
1.0,48180.13477593746
