Position,x_CO2,x_MEA,x_H2O,x_CO2_true,x_MEA_true,x_H2O_true,x_MEAH_true,x_MEACOO_true,x_HCO3_true,x_CO3_true,x_H3O_true,x_OH_true
0.0,0.045196083836973974,0.10933972998003924,0.8454641861829868,1.087163933840844e-05,0.02555184491877957,0.8765218987024607,0.05059045138488607,0.03837183526516696,0.005686721151949076,0.0032655186445121522,3.0708070317442157e-10,8.579858264450493e-07
0.01,0.044632776359930695,0.10900073329456256,0.8463664903455067,1.1770989040939001e-05,0.026239497924030377,0.8774144099937468,0.04962783697863649,0.03822434372204426,0.0055599090072829035,0.0029213535200457888,3.2797737973794877e-10,8.77537195140943e-07
0.02,0.04412559257144713,0.10871830352925359,0.8471561038992992,1.2429876371572262e-05,0.026867942874836338,0.878154040302714,0.04881515158151217,0.0380525085991261,0.005432312920729369,0.0026647169051208894,3.4408732921729037e-10,8.96595502264423e-07
0.03,0.04365906684202132,0.10847599337732489,0.8478649397806538,1.290935822600247e-05,0.027455148462565304,0.8787893532734072,0.04810297269820781,0.037868575596489144,0.005306767761740695,0.0024633572039946487,3.566902538942296e-10,9.152886789460489e-07
0.04,0.04322359178213198,0.10826362667296367,0.8485127815449044,1.3250627172794339e-05,0.02801175241637319,0.8793486928736597,0.04746294670812664,0.03767837528466521,0.005184457952385217,0.0022995900666811196,3.6661108656689604e-10,9.337043250539942e-07
0.05,0.04281297981008284,0.10807502982423439,0.8491119903656829,1.3479556685304125e-05,0.028544589747474012,0.8798492323615741,0.04687791336964733,0.037484975506203264,0.005065728008739181,0.0021631291537303923,3.743512007403795e-10,9.519215952975596e-07
0.06,0.042421879607003006,0.10790481120822776,0.8496733091847692,1.3622754352982672e-05,0.029059355097646507,0.8803046130303173,0.04633444434088387,0.037289791539009805,0.004950722533189089,0.0020464803249217855,3.804186428111258e-10,9.699992600509769e-07
0.07,0.04204701508708293,0.1077497217798909,0.8502032631330261,1.3695277568608879e-05,0.029559425875114613,0.8807231584121661,0.04582446197288768,0.03709370532671709,0.00483936048663639,0.00194520428080499,3.8509017449009037e-10,9.879830143931477e-07
0.08,0.04168550244243439,0.1076069684958691,0.8507075290616964,1.3711384151103827e-05,0.03004777387656722,0.8811116879591989,0.045341357742601465,0.036897068088378664,0.0047315051651096686,0.001855889482378927,3.8862934972045894e-10,1.0059129846295137e-06
0.09,0.041335197846242774,0.10747445437236261,0.8511903477813947,1.3681811741716694e-05,0.030526534072196645,0.881475208582641,0.044880356189706254,0.03670005648909878,0.004627001015580503,0.0017761376284551199,3.9123163660245745e-10,1.0238193483695488e-06
0.1,0.04099449821687988,0.1073506624507893,0.8516548393323308,1.3614385363571276e-05,0.030997300871010044,0.8818173847110353,0.04443796893788756,0.03650277511140827,0.0045256752327741375,0.0017042386292580776,3.9303700402174815e-10,1.0417282260023853e-06
0.11,0.040661968506635573,0.10723422546800399,0.8521038060253605,1.3516387528149604e-05,0.031461480424423725,0.8821413746334608,0.0440112136846658,0.036305190774345256,0.004427364436698448,0.0016387996030999465,3.941778656047977e-10,1.0596616000563432e-06
0.12,0.0403366003189176,0.10712419215389686,0.8525392075271856,1.3392892120726288e-05,0.03192003803614905,0.8824494345763083,0.04359798279359768,0.03610732352155825,0.0043319182678000995,0.0015788318812610927,3.947438555785397e-10,1.0776364609864389e-06
0.13,0.040017484026760426,0.1070197144515673,0.8529628015216723,1.3248499176296932e-05,0.032373845253459405,0.8827435262618653,0.043196446298388876,0.03590913106250966,0.004239193160647306,0.001523513400914177,3.9481775854215935e-10,1.0956682213138329e-06
0.14,0.039703899944299084,0.10692011091181494,0.8533759891438859,1.3086951887313765e-05,0.03282356914717682,0.883025219916687,0.042805161248472105,0.03571058634934406,0.00414906292168053,0.0014721993016286673,3.944666699758233e-10,1.1137686568456165e-06
0.15,0.039395281132267396,0.1068248500769717,0.853779868790761,1.2911218969200262e-05,0.03326972601141957,0.883295762142054,0.04242299123901943,0.03551168216525082,0.004061412244070707,0.0014243826379683033,3.937433910379215e-10,1.1319475046951765e-06
0.16,0.03909111297072653,0.10673344219908289,0.8541754448301906,1.2724034553057144e-05,0.03371277514282144,0.8835562685941655,0.042048929351911395,0.03531238958371435,0.0039761354264335694,0.0013796272607582245,3.9269773565757673e-10,1.1502129447648205e-06
0.17,0.038791020775820265,0.10664552016048376,0.854563459063696,1.2527518124428726e-05,0.0341530278595074,0.8838075997753881,0.04168221874330792,0.035112722529253744,0.0038931411902288176,0.001337593422371294,3.913677025694676e-10,1.1685704504682378e-06
0.18,0.03849466564827396,0.10656074974166332,0.8549445846100627,1.2323588700599049e-05,0.03459076037266325,0.8840505265652766,0.041322187433081435,0.03491268438099437,0.003812344072455904,0.001297986172380425,3.897885420941818e-10,1.1870246588556059e-06
0.19,0.03820178005093052,0.10647885139563493,0.8553193685534345,1.2113884233664834e-05,0.035026168482567316,0.8842856942371295,0.04096829128482845,0.03471229692470851,0.0037336692708005584,0.0012605599495685539,3.879905517208599e-10,1.205578172823208e-06
0.2,0.03791215774329919,0.10639959799079585,0.855688244265905,1.1899772623944416e-05,0.03545938315105212,0.8845136370389051,0.040620094989062716,0.03451160012372166,0.003657049593780479,0.0012251107127048573,3.859991563327202e-10,1.224232150022984e-06
0.21,0.03762561460832292,0.10632277753507333,0.8560516078566037,1.1682512367601166e-05,0.03589050976337523,0.8847348428225233,0.040277210693194516,0.03431063082930161,0.0035824227562630813,0.0011914572523321549,3.8383847818550254e-10,1.2429868039943064e-06
0.22,0.037342028863884554,0.10624822460630048,0.8564097465298149,1.1463141830925136e-05,0.03631958225577639,0.8849497029053063,0.0399393507048467,0.03410945316731614,0.0035097351273369296,0.0011594504756638827,3.8152845720009784e-10,1.261840394317675e-06
0.23,0.03706129547069898,0.10617578702099928,0.8567629175083017,1.1242602083118969e-05,0.036746616445771624,0.8851585736426687,0.03960626197101671,0.03390813075142751,0.003438936026716305,0.001128957390732461,3.7908776522935976e-10,1.2807904957312215e-06
0.24,0.03678334404005105,0.10610533491380923,0.8571113210461399,1.1021718251038037e-05,0.03717158572724286,0.8853617602055823,0.039277747365398054,0.033706741134109285,0.0033699805047612973,0.0010998631349385648,3.7653313492054553e-10,1.2998331834813119e-06
0.25,0.036508135101908916,0.10603676079950101,0.85745510409859,1.0801199705763938e-05,0.037594427457623855,0.8855595206406079,0.038953659375177974,0.033505375306615806,0.0033028278870323616,0.0010720687960520405,3.7387928597219315e-10,1.3189633050109034e-06
0.26,0.03623564052916222,0.10596996379554748,0.8577943956752904,1.0581695836718358e-05,0.03801506464807588,0.8857520933470151,0.038633872109893025,0.033304125328415736,0.003237439671697313,0.0010454846529942125,3.7114025793848734e-10,1.3381749318102763e-06
0.27,0.03596586537250634,0.10590486395310195,0.8581292706743916,1.0363760274158598e-05,0.038433378924852636,0.8859396732282463,0.03831830873093093,0.03310310127386528,0.003173782141054023,0.0010200341118916452,3.6832833018444066e-10,1.3574605566712497e-06
0.28,0.03569882361877838,0.10584138747948421,0.8584597889017374,1.0147891785671706e-05,0.038849241224988666,0.8861224395800896,0.038006909038806186,0.03290241480373879,0.0031118227777344565,0.0009956475053865105,3.654550925548937e-10,1.3768120150210225e-06
0.29,0.035434548093923046,0.1057794710050407,0.8587859809010362,9.9345309716794e-06,0.03926249772561678,0.8863005479732096,0.03769964104422041,0.03270218719848472,0.003051531901726247,0.0009722630433012175,3.625312225377254e-10,1.3962199382343465e-06
0.3,0.035173088445501426,0.1057190618809626,0.8591078496735359,9.724059185499145e-06,0.039672973571266396,0.8864741317325598,0.037396497982641,0.032502548667023394,0.0029928819064104968,0.0009498260474265874,3.5956641355049846e-10,1.4156739203427738e-06
0.31,0.0349145003455329,0.10566011062165873,0.8594253890328083,9.516820524909512e-06,0.0400804858142249,0.8866433151427128,0.037097483808000625,0.03230363082786795,0.002935845960634697,0.0009282861066037042,3.5656993384385727e-10,1.4351628605108932e-06
0.32,0.03465885698466244,0.10560257790034368,0.8597385651149939,9.313108823930435e-06,0.040484828723695104,0.8868082017231523,0.03680262728808804,0.032105575846557176,0.002880399442711793,0.0009075988389477574,3.5355016511652053e-10,1.454674473730965e-06
0.33,0.03440623605354048,0.10554642743094195,0.8600473365155176,9.113183693997482e-06,0.04088579107415752,0.8869688876378593,0.03651196531501263,0.03190852696500931,0.0028265180511164736,0.0008877232267661755,3.505150500091046e-10,1.4741958695395964e-06
0.34,0.034156724317037465,0.10549162791860091,0.8603516477643616,8.917270143188355e-06,0.0412831496264003,0.8871254580271097,0.03622554819679261,0.031712632259229316,0.0027741785473836657,0.000868622012182406,3.474719996248075e-10,1.4937132868162618e-06
0.35000000000000003,0.03391041608816417,0.10543815328986185,0.8606514306219739,8.725557730732353e-06,0.041676672062523804,0.8872779876946864,0.035943437689520935,0.03151804372633535,0.0027233583296974954,0.0008502613828385151,3.444278376500525e-10,1.5132122388989195e-06
0.36,0.03366740809853627,0.10538597893725113,0.8609466129642126,8.538211762462043e-06,0.04206612308867271,0.8874265472787194,0.03566570023138434,0.0313249134725356,0.002674034973167746,0.0008326097247014007,3.413890823828653e-10,1.5326776672685388e-06
