case_id,case_source,method,thermo_model,chemical_equilibrium_model,success,message,runtime_s,capture_pct,capture_error_pct,raw_capture_pct,capture_correction_model,temperature_rmse_K,boundary_residual_norm,boundary_residual_components,co2_conservation_relative_residual,h2o_conservation_relative_residual,mesh_points,tol,bc_tol,max_nodes,co2_capture_guess_pct,h2o_capture_guess_pct,epcsaft_fugacity_blend,eta_psi,mass_transfer_factor,heat_transfer_factor,intercooler_strength,co2_flux_mode,vapor_composition_mode,gas_flow_basis,gas_velocity_area_exponent,gas_velocity_area_reference_m_s,co2_vapor_upper_factor,success_boundary_residual_max,integrator,root_method,ivp_method,beds,intercoolers,staged_beds,intercooler_model,thermal_state_mode,intercooler_assumption,continuation_stage,continuation_success,invalid_state_count,guard_penalty_count,domain_guard_counts,first_failed_domain,jacobian_status,solver_rhs_calls,solver_rhs_node_evaluations,solver_boundary_calls,solver_jacobian_calls,solver_iterations,solver_final_nodes,solver_mesh_nodes_added,solver_max_rms_residual,dense_grid_points,dense_ode_residual_max,dense_boundary_residual_max,scaling_mode,transform_mode,continuation_path,epcsaft_cache_hits,epcsaft_cache_misses,epcsaft_direct_density_solve_s,epcsaft_rho_guess_hits,epcsaft_rho_guess_misses,epcsaft_chemistry_cache_hits,epcsaft_chemistry_cache_misses,epcsaft_chemistry_solve_s,epcsaft_chemistry_max_mass_residual,epcsaft_chemistry_max_reaction_residual,epcsaft_chemistry_max_charge_residual,epcsaft_chemistry_accepted_best_effort_count,epcsaft_chemistry_failed_count,epcsaft_chemistry_last_iterations,epcsaft_chemistry_last_native_success,epcsaft_chemistry_last_message,epcsaft_chemistry_table_hits,epcsaft_chemistry_interpolation_fallback_count,epcsaft_chemistry_max_mea_mass_fraction_deviation,profile_csv_status,python_version,platform,package_versions,attempt_sequence,attempted,candidate_id,study_axis,setting_id,data_type,initialization_id,capture_guess_pct,fixed_chemistry,dense_ode_check_pass,dense_boundary_check_pass,reported_boundary_check_pass,conservation_tolerance,conservation_check_pass,basic_state_check_pass,repository_code_commit,repository_base_commit,generator_sha256,engine_commit,engine_version,engine_wheel_filename,engine_wheel_sha256,engine_core_sha256,dataset_id,dataset_content_sha256,parameter_document_content_sha256,machine_node,machine_platform,logical_cpu_count,case_timeout_s,reproduction_command,certificate_pass,stopped_by,outcome,claim_strength,validation_pass,run_id,timing_kind,capture_cluster_id,capture_cluster_tolerance_pct,capture_delta_from_reference_pct
3C,NCCC_2017_cases,scipy-bvp,epcsaft_ionic,legacy,True,The algorithm converged to the desired accuracy.,18.253209114074707,88.31769550998555,-1.1823044900144453,88.31769550998555,none,,7.619303309010054e-14,"{""Fl_CO2_pct"": 1.8256727777818438e-14, ""Fl_H2O_pct"": 0.0, ""Fv_CO2_pct"": 0.0, ""Fv_H2O_pct"": 0.0, ""Tl_pct"": 1.7866861185229615e-14, ""Tv_pct"": 7.178332294971809e-14}",0.0,5.591225485884153e-14,21,0.5,0.001,1000,95.0,-100.0,1.0,1.0,,,,,dry_saturated,reported_total_wet,,,,1.0,,,,1,0,False,none,enthalpy,none,direct,True,0.0,0.0,,,0,61.0,1273.0,43.0,0.0,2.0,22.0,1.0,0.3000155512890005,88.0,0.38197332499759645,0.0,legacy_flow_enthalpy,bounded_guarded_raw_state,none,1552.0,1170.0,9.875562570174225,1168.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0,0.0,,3.13.13,Linux-7.0.0-30-generic-x86_64-with-glibc2.39,mea-absorption-column=0.1.0;numpy=2.4.4;pandas=3.0.2;scipy=1.17.1;matplotlib=3.10.9,1,True,direct_scipy_bvp_fixed_chemistry,case_comparison,baseline,mass,capture_95,95.0,True,True,True,True,1e-08,True,True,2c05d6238d4498b2cf698421aebd14692b2962f8,771f4ffd9f4780d1de607ae94651a0ae83787770,4e9cbda018add96f6cb57d7f6e258a32cfd1c701ee76c44fdfc760e22ebdd0f1,41e7dc1984d00f82785900b314a0135beebe56cd,0.2.0.dev0,epcsaft-0.2.0.dev0-cp313-cp313-linux_x86_64.whl,2d089d5bdeda5b1655c5e6cf5df7308507233381175745889f8430c22ffe1edb,fc1f1a78b2fe5c68a54b8678ce6bc844a2eba11edec91d49e6f9a51c62e1132f,MEA_CO2_H2O_ionic_fit,f7ad460743352cfc4e6683bee4f7718d1628f94bf80fc6e9c15f2d0e14675b1c,1d03e802c493f063e97e9b15fa5107b50fe69fa4cca2da9dd478554768ec1998,tnnrpolley21-MS-7C95,Linux-7.0.0-30-generic-x86_64-with-glibc2.39,12,100.0,OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 uv run python analyses/bvp_derivative_trials/scripts/run_issue19_column_verification.py --case-timeout-s 100,True,none,evaluated,result,True,1183c85fc26fbcd12487aa9a4ac2298c13e71bf983e88c9295deb38d461746cb,cold_isolated_subprocess_wall,capture_cluster_1,0.5,0.0
3C,NCCC_2017_cases,scipy-bvp,epcsaft_ionic,legacy,True,The algorithm converged to the desired accuracy.,16.5344078540802,88.31771344923912,-1.1822865507608782,88.31771344923912,none,,7.39734424122319e-14,"{""Fl_CO2_pct"": 0.0, ""Fl_H2O_pct"": 0.0, ""Fv_CO2_pct"": 0.0, ""Fv_H2O_pct"": 0.0, ""Tl_pct"": 1.7866861185229615e-14, ""Tv_pct"": 7.178332294971809e-14}",2.174069356370601e-14,2.931322099395575e-14,21,0.5,0.001,1000,25.0,-100.0,1.0,1.0,,,,,dry_saturated,reported_total_wet,,,,1.0,,,,1,0,False,none,enthalpy,none,direct,True,0.0,0.0,,,0,71.0,1478.0,55.0,0.0,2.0,22.0,1.0,0.2999905645486661,88.0,0.3819751904808498,0.0,legacy_flow_enthalpy,bounded_guarded_raw_state,none,2124.0,1008.0,8.113895050002611,1006.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0,0.0,,3.13.13,Linux-7.0.0-30-generic-x86_64-with-glibc2.39,mea-absorption-column=0.1.0;numpy=2.4.4;pandas=3.0.2;scipy=1.17.1;matplotlib=3.10.9,2,True,direct_scipy_bvp_fixed_chemistry,initialization,init_25,mass,capture_25,25.0,True,True,True,True,1e-08,True,True,2c05d6238d4498b2cf698421aebd14692b2962f8,771f4ffd9f4780d1de607ae94651a0ae83787770,4e9cbda018add96f6cb57d7f6e258a32cfd1c701ee76c44fdfc760e22ebdd0f1,41e7dc1984d00f82785900b314a0135beebe56cd,0.2.0.dev0,epcsaft-0.2.0.dev0-cp313-cp313-linux_x86_64.whl,2d089d5bdeda5b1655c5e6cf5df7308507233381175745889f8430c22ffe1edb,fc1f1a78b2fe5c68a54b8678ce6bc844a2eba11edec91d49e6f9a51c62e1132f,MEA_CO2_H2O_ionic_fit,f7ad460743352cfc4e6683bee4f7718d1628f94bf80fc6e9c15f2d0e14675b1c,1d03e802c493f063e97e9b15fa5107b50fe69fa4cca2da9dd478554768ec1998,tnnrpolley21-MS-7C95,Linux-7.0.0-30-generic-x86_64-with-glibc2.39,12,100.0,OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 uv run python analyses/bvp_derivative_trials/scripts/run_issue19_column_verification.py --case-timeout-s 100,True,none,evaluated,result,True,cf68e9f3d0388228304c990632008d18591553dc5d2ca91a19d687105b0a314e,cold_isolated_subprocess_wall,capture_cluster_1,0.5,1.7939253567078595e-05
3C,NCCC_2017_cases,scipy-bvp,epcsaft_ionic,legacy,True,The algorithm converged to the desired accuracy.,18.13460898399353,88.31872010229411,-1.1812798977058918,88.31872010229411,none,,7.619303309010054e-14,"{""Fl_CO2_pct"": 1.8256727777818438e-14, ""Fl_H2O_pct"": 0.0, ""Fv_CO2_pct"": 0.0, ""Fv_H2O_pct"": 0.0, ""Tl_pct"": 1.7866861185229615e-14, ""Tv_pct"": 7.178332294971809e-14}",5.224288663358555e-13,5.769276161551144e-12,21,0.5,0.001,1000,60.0,-100.0,1.0,1.0,,,,,dry_saturated,reported_total_wet,,,,1.0,,,,1,0,False,none,enthalpy,none,direct,True,0.0,0.0,,,0,59.0,1230.0,42.0,0.0,2.0,22.0,1.0,0.3009812368193132,88.0,0.386223498980587,1.734723475976807e-18,legacy_flow_enthalpy,bounded_guarded_raw_state,none,1492.0,1144.0,9.839240633969894,1142.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0,0.0,,3.13.13,Linux-7.0.0-30-generic-x86_64-with-glibc2.39,mea-absorption-column=0.1.0;numpy=2.4.4;pandas=3.0.2;scipy=1.17.1;matplotlib=3.10.9,3,True,direct_scipy_bvp_fixed_chemistry,initialization,init_60,mass,capture_60,60.0,True,True,True,True,1e-08,True,True,2c05d6238d4498b2cf698421aebd14692b2962f8,771f4ffd9f4780d1de607ae94651a0ae83787770,4e9cbda018add96f6cb57d7f6e258a32cfd1c701ee76c44fdfc760e22ebdd0f1,41e7dc1984d00f82785900b314a0135beebe56cd,0.2.0.dev0,epcsaft-0.2.0.dev0-cp313-cp313-linux_x86_64.whl,2d089d5bdeda5b1655c5e6cf5df7308507233381175745889f8430c22ffe1edb,fc1f1a78b2fe5c68a54b8678ce6bc844a2eba11edec91d49e6f9a51c62e1132f,MEA_CO2_H2O_ionic_fit,f7ad460743352cfc4e6683bee4f7718d1628f94bf80fc6e9c15f2d0e14675b1c,1d03e802c493f063e97e9b15fa5107b50fe69fa4cca2da9dd478554768ec1998,tnnrpolley21-MS-7C95,Linux-7.0.0-30-generic-x86_64-with-glibc2.39,12,100.0,OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 uv run python analyses/bvp_derivative_trials/scripts/run_issue19_column_verification.py --case-timeout-s 100,True,none,evaluated,result,True,27a7f5f19b6087f0e8492c52f2b9cec2240ead53f01a04945f9e045b31d9d700,cold_isolated_subprocess_wall,capture_cluster_1,0.5,0.0010245923085534514
3C,NCCC_2017_cases,scipy-bvp,epcsaft_ionic,legacy,True,The algorithm converged to the desired accuracy.,15.08061170578003,88.23144120482205,-1.2685587951779524,88.23144120482205,none,,7.39734424122319e-14,"{""Fl_CO2_pct"": 0.0, ""Fl_H2O_pct"": 0.0, ""Fv_CO2_pct"": 0.0, ""Fv_H2O_pct"": 0.0, ""Tl_pct"": 1.7866861185229615e-14, ""Tv_pct"": 7.178332294971809e-14}",0.0,4.541739795977095e-14,11,0.5,0.001,1000,95.0,-100.0,1.0,1.0,,,,,dry_saturated,reported_total_wet,,,,1.0,,,,1,0,False,none,enthalpy,none,direct,True,0.0,0.0,,,0,95.0,1193.0,66.0,0.0,3.0,15.0,4.0,0.29955995524930656,60.0,0.3536741099264383,0.0,legacy_flow_enthalpy,bounded_guarded_raw_state,none,1586.0,920.0,7.860706208652118,918.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0,0.0,,3.13.13,Linux-7.0.0-30-generic-x86_64-with-glibc2.39,mea-absorption-column=0.1.0;numpy=2.4.4;pandas=3.0.2;scipy=1.17.1;matplotlib=3.10.9,4,True,direct_scipy_bvp_fixed_chemistry,mesh,mesh_11,mass,capture_95,95.0,True,True,True,True,1e-08,True,True,2c05d6238d4498b2cf698421aebd14692b2962f8,771f4ffd9f4780d1de607ae94651a0ae83787770,4e9cbda018add96f6cb57d7f6e258a32cfd1c701ee76c44fdfc760e22ebdd0f1,41e7dc1984d00f82785900b314a0135beebe56cd,0.2.0.dev0,epcsaft-0.2.0.dev0-cp313-cp313-linux_x86_64.whl,2d089d5bdeda5b1655c5e6cf5df7308507233381175745889f8430c22ffe1edb,fc1f1a78b2fe5c68a54b8678ce6bc844a2eba11edec91d49e6f9a51c62e1132f,MEA_CO2_H2O_ionic_fit,f7ad460743352cfc4e6683bee4f7718d1628f94bf80fc6e9c15f2d0e14675b1c,1d03e802c493f063e97e9b15fa5107b50fe69fa4cca2da9dd478554768ec1998,tnnrpolley21-MS-7C95,Linux-7.0.0-30-generic-x86_64-with-glibc2.39,12,100.0,OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 uv run python analyses/bvp_derivative_trials/scripts/run_issue19_column_verification.py --case-timeout-s 100,True,none,evaluated,result,True,1b81542f6fee786a527768fdcbb5161555c10bba693c66333d4b2276c0e2eeda,cold_isolated_subprocess_wall,capture_cluster_1,0.5,-0.08625430516350718
3C,NCCC_2017_cases,scipy-bvp,epcsaft_ionic,legacy,True,The algorithm converged to the desired accuracy.,23.805413722991943,88.2994132015953,-1.2005867984047,88.2994132015953,none,,7.619303309010054e-14,"{""Fl_CO2_pct"": 1.8256727777818438e-14, ""Fl_H2O_pct"": 0.0, ""Fv_CO2_pct"": 0.0, ""Fv_H2O_pct"": 0.0, ""Tl_pct"": 1.7866861185229615e-14, ""Tv_pct"": 7.178332294971809e-14}",0.0,2.0417925042950414e-12,41,0.5,0.001,1000,95.0,-100.0,1.0,1.0,,,,,dry_saturated,reported_total_wet,,,,1.0,,,,1,0,False,none,enthalpy,none,direct,True,0.0,0.0,,,0,37.0,1498.0,25.0,0.0,1.0,41.0,0.0,0.2550826392703834,164.0,0.3262643258611587,1.6940658945086007e-21,legacy_flow_enthalpy,bounded_guarded_raw_state,none,1416.0,1908.0,14.403180497480207,1906.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0,0.0,,3.13.13,Linux-7.0.0-30-generic-x86_64-with-glibc2.39,mea-absorption-column=0.1.0;numpy=2.4.4;pandas=3.0.2;scipy=1.17.1;matplotlib=3.10.9,5,True,direct_scipy_bvp_fixed_chemistry,mesh,mesh_41,mass,capture_95,95.0,True,True,True,True,1e-08,True,True,2c05d6238d4498b2cf698421aebd14692b2962f8,771f4ffd9f4780d1de607ae94651a0ae83787770,4e9cbda018add96f6cb57d7f6e258a32cfd1c701ee76c44fdfc760e22ebdd0f1,41e7dc1984d00f82785900b314a0135beebe56cd,0.2.0.dev0,epcsaft-0.2.0.dev0-cp313-cp313-linux_x86_64.whl,2d089d5bdeda5b1655c5e6cf5df7308507233381175745889f8430c22ffe1edb,fc1f1a78b2fe5c68a54b8678ce6bc844a2eba11edec91d49e6f9a51c62e1132f,MEA_CO2_H2O_ionic_fit,f7ad460743352cfc4e6683bee4f7718d1628f94bf80fc6e9c15f2d0e14675b1c,1d03e802c493f063e97e9b15fa5107b50fe69fa4cca2da9dd478554768ec1998,tnnrpolley21-MS-7C95,Linux-7.0.0-30-generic-x86_64-with-glibc2.39,12,100.0,OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 uv run python analyses/bvp_derivative_trials/scripts/run_issue19_column_verification.py --case-timeout-s 100,True,none,evaluated,result,True,d227a1dadde0505438b0e766d5b661f18f425b7b5ade6d37629924c6606aa3fd,cold_isolated_subprocess_wall,capture_cluster_1,0.5,-0.018282308390254798
3C,NCCC_2017_cases,scipy-bvp,epcsaft_ionic,legacy,True,The algorithm converged to the desired accuracy.,15.015594959259033,88.31067120736893,-1.1893287926310734,88.31067120736893,none,,9.327485846577381e-14,"{""Fl_CO2_pct"": 1.8256727777818438e-14, ""Fl_H2O_pct"": 1.8466810808660587e-14, ""Fv_CO2_pct"": 0.0, ""Fv_H2O_pct"": 0.0, ""Tl_pct"": 5.3600583555688846e-14, ""Tv_pct"": 7.178332294971809e-14}",0.0,5.5358560684511254e-12,21,1.0,0.001,1000,95.0,-100.0,1.0,1.0,,,,,dry_saturated,reported_total_wet,,,,1.0,,,,1,0,False,none,enthalpy,none,direct,True,0.0,0.0,,,0,37.0,758.0,25.0,0.0,1.0,21.0,0.0,0.7551145430884275,84.0,1.6947493460490213,1.6940658945086007e-21,legacy_flow_enthalpy,bounded_guarded_raw_state,none,719.0,965.0,8.012219923664816,963.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0,0.0,,3.13.13,Linux-7.0.0-30-generic-x86_64-with-glibc2.39,mea-absorption-column=0.1.0;numpy=2.4.4;pandas=3.0.2;scipy=1.17.1;matplotlib=3.10.9,6,True,direct_scipy_bvp_fixed_chemistry,tolerance,tol_1,mass,capture_95,95.0,True,False,True,True,1e-08,True,True,2c05d6238d4498b2cf698421aebd14692b2962f8,771f4ffd9f4780d1de607ae94651a0ae83787770,4e9cbda018add96f6cb57d7f6e258a32cfd1c701ee76c44fdfc760e22ebdd0f1,41e7dc1984d00f82785900b314a0135beebe56cd,0.2.0.dev0,epcsaft-0.2.0.dev0-cp313-cp313-linux_x86_64.whl,2d089d5bdeda5b1655c5e6cf5df7308507233381175745889f8430c22ffe1edb,fc1f1a78b2fe5c68a54b8678ce6bc844a2eba11edec91d49e6f9a51c62e1132f,MEA_CO2_H2O_ionic_fit,f7ad460743352cfc4e6683bee4f7718d1628f94bf80fc6e9c15f2d0e14675b1c,1d03e802c493f063e97e9b15fa5107b50fe69fa4cca2da9dd478554768ec1998,tnnrpolley21-MS-7C95,Linux-7.0.0-30-generic-x86_64-with-glibc2.39,12,100.0,OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 uv run python analyses/bvp_derivative_trials/scripts/run_issue19_column_verification.py --case-timeout-s 100,False,certificate_check,certificate_failure,boundary_at_state,False,1f29facfd0d4dc298f43acb2486636911dc6bad33b6ed37169af62e49a21e647,cold_isolated_subprocess_wall,,0.5,-0.00702430261662812
3C,NCCC_2017_cases,scipy-bvp,epcsaft_ionic,legacy,True,The algorithm converged to the desired accuracy.,19.195836067199707,88.31768287618841,-1.1823171238115862,88.31768287618841,none,,7.39734424122319e-14,"{""Fl_CO2_pct"": 0.0, ""Fl_H2O_pct"": 0.0, ""Fv_CO2_pct"": 0.0, ""Fv_H2O_pct"": 0.0, ""Tl_pct"": 1.7866861185229615e-14, ""Tv_pct"": 7.178332294971809e-14}",0.0,1.2847152410931225e-14,21,0.25,0.001,1000,95.0,-100.0,1.0,1.0,,,,,dry_saturated,reported_total_wet,,,,1.0,,,,1,0,False,none,enthalpy,none,direct,True,0.0,0.0,,,0,83.0,1767.0,60.0,0.0,3.0,23.0,2.0,0.06340728760613405,92.0,0.05832947397276572,0.0,legacy_flow_enthalpy,bounded_guarded_raw_state,none,2509.0,1209.0,9.996330162146478,1207.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0,0.0,,3.13.13,Linux-7.0.0-30-generic-x86_64-with-glibc2.39,mea-absorption-column=0.1.0;numpy=2.4.4;pandas=3.0.2;scipy=1.17.1;matplotlib=3.10.9,7,True,direct_scipy_bvp_fixed_chemistry,tolerance,tol_0p25,mass,capture_95,95.0,True,True,True,True,1e-08,True,True,2c05d6238d4498b2cf698421aebd14692b2962f8,771f4ffd9f4780d1de607ae94651a0ae83787770,4e9cbda018add96f6cb57d7f6e258a32cfd1c701ee76c44fdfc760e22ebdd0f1,41e7dc1984d00f82785900b314a0135beebe56cd,0.2.0.dev0,epcsaft-0.2.0.dev0-cp313-cp313-linux_x86_64.whl,2d089d5bdeda5b1655c5e6cf5df7308507233381175745889f8430c22ffe1edb,fc1f1a78b2fe5c68a54b8678ce6bc844a2eba11edec91d49e6f9a51c62e1132f,MEA_CO2_H2O_ionic_fit,f7ad460743352cfc4e6683bee4f7718d1628f94bf80fc6e9c15f2d0e14675b1c,1d03e802c493f063e97e9b15fa5107b50fe69fa4cca2da9dd478554768ec1998,tnnrpolley21-MS-7C95,Linux-7.0.0-30-generic-x86_64-with-glibc2.39,12,100.0,OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 uv run python analyses/bvp_derivative_trials/scripts/run_issue19_column_verification.py --case-timeout-s 100,True,none,evaluated,result,True,9d84a2c2de28a33a43b71294beb88190b04a7ea8349137314aa6dfbb9c60fd2c,cold_isolated_subprocess_wall,capture_cluster_1,0.5,-1.2633797140892966e-05
3C,NCCC_2017_cases,scipy-bvp,epcsaft_ionic,legacy,True,The algorithm converged to the desired accuracy.,17.455530405044556,88.31769550998555,-1.1823044900144453,88.31769550998555,none,,7.619303309010054e-14,"{""Fl_CO2_pct"": 1.8256727777818438e-14, ""Fl_H2O_pct"": 0.0, ""Fv_CO2_pct"": 0.0, ""Fv_H2O_pct"": 0.0, ""Tl_pct"": 1.7866861185229615e-14, ""Tv_pct"": 7.178332294971809e-14}",0.0,5.591225485884153e-14,21,0.5,0.01,1000,95.0,-100.0,1.0,1.0,,,,,dry_saturated,reported_total_wet,,,,1.0,,,,1,0,False,none,enthalpy,none,direct,True,0.0,0.0,,,0,61.0,1273.0,43.0,0.0,2.0,22.0,1.0,0.3000155512890005,88.0,0.38197332499759645,0.0,legacy_flow_enthalpy,bounded_guarded_raw_state,none,1552.0,1170.0,9.468285428010859,1168.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0,0.0,,3.13.13,Linux-7.0.0-30-generic-x86_64-with-glibc2.39,mea-absorption-column=0.1.0;numpy=2.4.4;pandas=3.0.2;scipy=1.17.1;matplotlib=3.10.9,8,True,direct_scipy_bvp_fixed_chemistry,boundary_tolerance,bc_1e-2,mass,capture_95,95.0,True,True,True,True,1e-08,True,True,2c05d6238d4498b2cf698421aebd14692b2962f8,771f4ffd9f4780d1de607ae94651a0ae83787770,4e9cbda018add96f6cb57d7f6e258a32cfd1c701ee76c44fdfc760e22ebdd0f1,41e7dc1984d00f82785900b314a0135beebe56cd,0.2.0.dev0,epcsaft-0.2.0.dev0-cp313-cp313-linux_x86_64.whl,2d089d5bdeda5b1655c5e6cf5df7308507233381175745889f8430c22ffe1edb,fc1f1a78b2fe5c68a54b8678ce6bc844a2eba11edec91d49e6f9a51c62e1132f,MEA_CO2_H2O_ionic_fit,f7ad460743352cfc4e6683bee4f7718d1628f94bf80fc6e9c15f2d0e14675b1c,1d03e802c493f063e97e9b15fa5107b50fe69fa4cca2da9dd478554768ec1998,tnnrpolley21-MS-7C95,Linux-7.0.0-30-generic-x86_64-with-glibc2.39,12,100.0,OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 uv run python analyses/bvp_derivative_trials/scripts/run_issue19_column_verification.py --case-timeout-s 100,True,none,evaluated,result,True,f3a1387546ea323b2260ceccae813e87401d5ffd7eb1be5f76dfa173d4e787f7,cold_isolated_subprocess_wall,capture_cluster_1,0.5,0.0
3C,NCCC_2017_cases,scipy-bvp,epcsaft_ionic,legacy,True,The algorithm converged to the desired accuracy.,17.545250415802002,88.31769550998555,-1.1823044900144453,88.31769550998555,none,,7.619303309010054e-14,"{""Fl_CO2_pct"": 1.8256727777818438e-14, ""Fl_H2O_pct"": 0.0, ""Fv_CO2_pct"": 0.0, ""Fv_H2O_pct"": 0.0, ""Tl_pct"": 1.7866861185229615e-14, ""Tv_pct"": 7.178332294971809e-14}",0.0,5.591225485884153e-14,21,0.5,0.0001,1000,95.0,-100.0,1.0,1.0,,,,,dry_saturated,reported_total_wet,,,,1.0,,,,1,0,False,none,enthalpy,none,direct,True,0.0,0.0,,,0,61.0,1273.0,43.0,0.0,2.0,22.0,1.0,0.3000155512890005,88.0,0.38197332499759645,0.0,legacy_flow_enthalpy,bounded_guarded_raw_state,none,1552.0,1170.0,9.43961239332566,1168.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0,0.0,,3.13.13,Linux-7.0.0-30-generic-x86_64-with-glibc2.39,mea-absorption-column=0.1.0;numpy=2.4.4;pandas=3.0.2;scipy=1.17.1;matplotlib=3.10.9,9,True,direct_scipy_bvp_fixed_chemistry,boundary_tolerance,bc_1e-4,mass,capture_95,95.0,True,True,True,True,1e-08,True,True,2c05d6238d4498b2cf698421aebd14692b2962f8,771f4ffd9f4780d1de607ae94651a0ae83787770,4e9cbda018add96f6cb57d7f6e258a32cfd1c701ee76c44fdfc760e22ebdd0f1,41e7dc1984d00f82785900b314a0135beebe56cd,0.2.0.dev0,epcsaft-0.2.0.dev0-cp313-cp313-linux_x86_64.whl,2d089d5bdeda5b1655c5e6cf5df7308507233381175745889f8430c22ffe1edb,fc1f1a78b2fe5c68a54b8678ce6bc844a2eba11edec91d49e6f9a51c62e1132f,MEA_CO2_H2O_ionic_fit,f7ad460743352cfc4e6683bee4f7718d1628f94bf80fc6e9c15f2d0e14675b1c,1d03e802c493f063e97e9b15fa5107b50fe69fa4cca2da9dd478554768ec1998,tnnrpolley21-MS-7C95,Linux-7.0.0-30-generic-x86_64-with-glibc2.39,12,100.0,OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 uv run python analyses/bvp_derivative_trials/scripts/run_issue19_column_verification.py --case-timeout-s 100,True,none,evaluated,result,True,507117da5d6b2d9b01c8e36456df8e94a3902f3d11469cb581f8092774b98eef,cold_isolated_subprocess_wall,capture_cluster_1,0.5,0.0
3C,NCCC_2017_cases,scipy-bvp,ideal_henry,legacy,True,The algorithm converged to the desired accuracy.,3.6129438877105713,87.69686962739415,-1.8031303726058496,87.69686962739415,none,,7.39734424122319e-14,"{""Fl_CO2_pct"": 0.0, ""Fl_H2O_pct"": 0.0, ""Fv_CO2_pct"": 0.0, ""Fv_H2O_pct"": 0.0, ""Tl_pct"": 1.7866861185229615e-14, ""Tv_pct"": 7.178332294971809e-14}",0.0,2.258203691386221e-13,21,0.5,0.001,1000,95.0,-100.0,1.0,1.0,,,,,dry_saturated,reported_total_wet,,,,1.0,,,,1,0,False,none,enthalpy,none,direct,True,0.0,0.0,,,0,61.0,1273.0,43.0,0.0,2.0,22.0,1.0,0.30017044131832454,88.0,0.38334576371252516,0.0,legacy_flow_enthalpy,bounded_guarded_raw_state,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0,0.0,,3.13.13,Linux-7.0.0-30-generic-x86_64-with-glibc2.39,mea-absorption-column=0.1.0;numpy=2.4.4;pandas=3.0.2;scipy=1.17.1;matplotlib=3.10.9,10,True,direct_scipy_bvp_fixed_chemistry,case_comparison,nccc_henry,mass,capture_95,95.0,True,True,True,True,1e-08,True,True,2c05d6238d4498b2cf698421aebd14692b2962f8,771f4ffd9f4780d1de607ae94651a0ae83787770,4e9cbda018add96f6cb57d7f6e258a32cfd1c701ee76c44fdfc760e22ebdd0f1,41e7dc1984d00f82785900b314a0135beebe56cd,0.2.0.dev0,epcsaft-0.2.0.dev0-cp313-cp313-linux_x86_64.whl,2d089d5bdeda5b1655c5e6cf5df7308507233381175745889f8430c22ffe1edb,fc1f1a78b2fe5c68a54b8678ce6bc844a2eba11edec91d49e6f9a51c62e1132f,MEA_CO2_H2O_ionic_fit,f7ad460743352cfc4e6683bee4f7718d1628f94bf80fc6e9c15f2d0e14675b1c,1d03e802c493f063e97e9b15fa5107b50fe69fa4cca2da9dd478554768ec1998,tnnrpolley21-MS-7C95,Linux-7.0.0-30-generic-x86_64-with-glibc2.39,12,100.0,OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 uv run python analyses/bvp_derivative_trials/scripts/run_issue19_column_verification.py --case-timeout-s 100,True,none,evaluated,result,True,e35387d28141c890ca109223da327e21a6bef26a736bf089a2b5b9915a5c368b,cold_isolated_subprocess_wall,capture_cluster_1,0.5,-0.6208258825914044
