Position,rho_true_mol_m3
0.0,51120.09408736807
0.01,50985.15712097535
0.02,50868.720794651934
0.03,50765.019567535855
0.04,50670.652213401525
0.05,50583.544863420655
0.06,50501.92474027366
0.07,50424.78185797853
0.08,50351.23273712442
0.09,50280.6426641415
0.1,50212.553694303904
0.11,50146.557442278165
0.12,50082.37773857911
0.13,50019.766895930974
0.14,49958.53212309375
0.15,49898.525078134655
0.16,49839.61121928607
0.17,49781.69508159189
0.18,49724.690765550615
0.19,49668.531205812906
0.2,49613.16580444693
0.21,49558.5493620448
0.22,49504.6527657232
0.23,49451.451050195465
0.24,49398.92768505712
0.25,49347.073772135576
0.26,49295.8829265092
0.27,49245.35654210113
0.28,49195.497969244854
0.29,49146.31461673031
0.3,49097.81751007315
0.31,49050.01875604457
0.32,49002.933875247196
0.33,48956.579109074686
0.34,48910.972112923126
0.35000000000000003,48866.13162632217
0.36,48822.07652125707
0.37,48778.82605127402
0.38,48736.39934438816
0.39,48694.81501296683
0.4,48654.09092481995
0.41000000000000003,48614.24441326207
0.42,48575.29100475391
0.43,48537.245547784936
0.44,48500.12106513252
0.45,48463.928665280706
0.46,48428.67854387907
0.47000000000000003,48394.37783417588
0.48,48361.03274413767
0.49,48328.6470567327
0.5,48297.22219340234
0.51,48266.75858243712
0.52,48237.25332061527
0.53,48208.702611883426
0.54,48181.1003166503
0.55,48154.43813000937
0.56,48128.70691228907
0.5700000000000001,48103.89471803353
0.58,48079.98893097225
0.59,48056.975146598175
0.6,48034.83739854128
0.61,48013.55917196602
0.62,47993.12209826811
0.63,47973.50743312862
0.64,47954.695389137996
0.65,47936.665348579445
0.66,47919.39644868263
0.67,47902.86698311937
0.68,47887.05514348187
0.6900000000000001,47871.93877702024
0.7000000000000001,47857.49554922864
0.71,47843.703128492125
0.72,47830.53916684181
0.73,47817.981416577095
0.74,47806.00780980631
0.75,47794.59656121743
0.76,47783.72605348224
0.77,47773.37520601518
0.78,47763.52315958588
0.79,47754.149555982076
0.8,47745.234589560234
0.81,47736.75870801355
0.8200000000000001,47728.70319941551
0.8300000000000001,47721.049624171035
0.84,47713.780213593716
0.85,47706.87801058718
0.86,47700.326101397965
0.87,47694.10991025327
0.88,47688.214806446565
0.89,47682.629825385455
0.9,47677.36580608038
0.91,47672.39949753126
0.92,47667.90877926045
0.93,47664.03206132172
0.9400000000000001,47661.34171851681
0.9500000000000001,47663.319646934986
0.96,47676.289804934284
0.97,47718.82118864567
0.98,47824.968566440315
0.99,48001.470842655435
1.0,48180.13477593744
