Position,k2,Cl_MEA_true,Dl_CO2,kl_CO2,Ha,E,Psi,Psi_H,eta_psi
0.0,23.95213236368855,1297.6074404791243,2.4452978823883904e-09,2.7770624309935956e-05,313.9236228505737,100.75373582976617,106.37013740376614,0.04429499951864669,1.0
0.01,26.114307248046423,1330.8483615972416,2.555392759648894e-09,2.8755134547889985e-05,327.7305809399062,98.1198929479085,105.75889756901539,0.042745449283074895,1.0
0.02,28.023839118756758,1361.3014892098868,2.6466280593845897e-09,2.9571664672249245e-05,339.79083348329556,96.68448521040139,105.96144454687844,0.04180098548248892,1.0
0.03,29.750232127896872,1389.8081739803486,2.7245741496091467e-09,3.0270934900252513e-05,350.6275942749222,96.05579620015061,106.74465319111523,0.041255324278487035,1.0
0.04,31.336822547391044,1416.8659782626617,2.79261223809484e-09,3.0883451938073007e-05,360.55485418158264,96.00542554158974,107.96526683345687,0.040990395846678074,1.0
0.05,32.808561546820044,1442.7977844825123,2.852750929584432e-09,3.142737061444128e-05,369.7602390475641,96.40775188605001,109.5465376609553,0.04094060867414846,1.0
0.06,34.19340955386087,1467.8672387827744,2.9068785116269823e-09,3.191926738544634e-05,378.42090393808667,97.14761191929134,111.40837045806381,0.04104891520449748,1.0
0.07,35.50491650295103,1492.2331541137662,2.9560179656659472e-09,3.236825911745961e-05,386.63109794213693,98.16777806745475,113.51391078392722,0.04128589402607823,1.0
0.08,36.75735463074526,1516.0334219749052,3.0011128057954034e-09,3.278259092178621e-05,394.4794623742211,99.4168908304987,115.82746353268843,0.04162604419476273,1.0
0.09,37.961087228277776,1539.3668038466428,3.042848804683728e-09,3.316824712851134e-05,402.0296147172026,100.85913578745554,118.32407423791626,0.04205154400549357,1.0
0.1,39.12320512746378,1562.3072408081164,3.081710268403514e-09,3.352946736744766e-05,409.3263325896125,102.47133199808088,120.98834757848414,0.042550592474045947,1.0
0.11,40.25104077349705,1584.918927376286,3.1181511861385676e-09,3.387017173356016e-05,416.41203103099224,104.23139754820502,123.80457750815772,0.04311231009546408,1.0
0.12,41.34899314644156,1607.2458733984881,3.1524707539678574e-09,3.419296482153093e-05,423.3137767211775,106.12616501913841,126.76410829683637,0.04372992418805397,1.0
0.13,42.421467859023984,1629.3272592906217,3.1849456038585545e-09,3.4500230903814195e-05,430.0569946122712,108.14341327260055,129.85855408732027,0.04439728793060945,1.0
0.14,43.47189687504855,1651.192530903475,3.2157953687257595e-09,3.4793859018973565e-05,436.6613533230014,110.27361372187332,133.08137667258703,0.04510957768141057,1.0
0.15,44.50278323096326,1672.864059428085,3.245188921744703e-09,3.507530305565293e-05,443.1415496349553,112.50990726675408,136.4280882077109,0.04586322096834641,1.0
0.16,45.51667776622628,1694.361231628769,3.2732863931674105e-09,3.534592832358632e-05,449.51158694481296,114.84540378706357,139.8938477569308,0.04665474490077218,1.0
0.17,46.51520151325691,1715.6964644649518,3.3002039050128707e-09,3.560672648319117e-05,455.7807932913203,117.275300144377,143.4753864519057,0.04748163780365531,1.0
0.18,47.49995089636231,1736.8803609768602,3.326049842814603e-09,3.585861588937686e-05,461.9578878474859,119.79488956764786,147.16932359999512,0.04834149815385521,1.0
0.19,48.47217049320356,1757.9196090295732,3.3509143603363452e-09,3.61023559488399e-05,468.04957944871353,122.39999628842214,150.97249801730015,0.04923221274674989,1.0
0.2,49.43273896078739,1778.8177839142156,3.3748699503779354e-09,3.63385543925167e-05,474.0606888483042,125.08710314343564,154.8821464997496,0.05015199358435142,1.0
0.21,50.382543763420756,1799.5771429262634,3.3979859108572486e-09,3.656778656259736e-05,479.9957511582994,127.85247734031914,158.89512752724124,0.051099013926633644,1.0
0.22,51.32207869699835,1820.1965198481957,3.4203150482287674e-09,3.679048658523405e-05,485.8573563682124,130.6928698532165,163.00850413896663,0.05207169434536232,1.0
0.23,52.25181473185614,1840.6738541545972,3.4419069804062656e-09,3.700705836480794e-05,491.64781155947634,133.60490077124416,167.21906632806872,0.0530684416452915,1.0
