Run #,lean_flow_rate,vapor_flow_rate,CO2_loading,w_MEA,y_CO2,T_liq,T_vap,P,Beds,,,,,,,,,,,,,,,
1,1.89,0.6308,0.141,0.302,0.1019,315.39,319.22,109180,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
