case_no,campaign_year,source_file,source_subset,configuration,absorber_beds,intercoolers,lean_solvent_flow_kg_h,flue_gas_flow_kg_h,lean_solvent_temp_C,inlet_gas_temp_C,absorber_pressure_kPa,lean_loading_mol_co2_per_mol_mea,w_MEA,y_CO2,y_O2,co2_capture_pct,co2_capture_std_pct,reported_model_capture_pct
K1,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"3 beds, 2 intercoolers",3,2,6804.0,2248.0,40.97,42.48,108.82,0.145,0.298,0.1155,,99.91,,99.96
K2,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"3 beds, 2 intercoolers",3,2,11794.0,2243.0,40.52,44.94,107.06,0.247,0.312,0.114,,99.49,,99.84
K3,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"3 beds, 2 intercoolers",3,2,3175.0,2242.0,45.68,43.67,107.78,0.091,0.295,0.1058,,83.57,,77.33
K4,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"3 beds, 2 intercoolers",3,2,3175.0,2243.0,46.72,44.73,107.65,0.083,0.31,0.11449999999999999,,78.1,,76.5
K5,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"3 beds, 2 intercoolers",3,2,6804.0,2235.0,41.57,43.78,106.94,0.108,0.306,0.0919,,99.53,,99.98
K6,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"3 beds, 2 intercoolers",3,2,6804.0,2237.0,40.87,42.18,107.1,0.347,0.307,0.09119999999999999,,59.03,,68.16
K7,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"3 beds, 2 intercoolers",3,2,11791.0,2233.0,40.62,44.72,107.3,0.399,0.288,0.09179999999999999,,54.76,,69.82
K8,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"3 beds, 2 intercoolers",3,2,11643.0,2237.0,40.57,42.47,107.26,0.154,0.285,0.092,,98.07,,99.95
K9,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"3 beds, 2 intercoolers",3,2,3175.0,2232.0,42.66,44.87,107.49,0.239,0.311,0.0922,,55.48,,57.55
K10,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"3 beds, 2 intercoolers",3,2,3175.0,2237.0,48.59,42.15,107.71,0.062,0.297,0.09179999999999999,,98.43,,95.35
K11,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"3 beds, 2 intercoolers",3,2,6804.0,2237.0,40.83,44.4,107.2,0.161,0.293,0.1001,,99.75,,99.93
K12,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"3 beds, 2 intercoolers",3,2,6804.0,2231.0,40.92,43.24,106.37,0.16,0.293,0.0824,,99.61,,99.93
