Runs,L,G,alpha,w_MEA,y_CO2,Tl,Tv,P,Beds,Intercoolers,CO2  %
K1,3.846392637,21.53945796,0.145,0.298,0.1155,314.12,315.63,108820,3,2,99.91
K2,6.595544055,21.50103351,0.247,0.312,0.114,313.67,318.09,107060,3,2,99.49
K3,1.800928396,21.5258322,0.091,0.295,0.1058,318.83,316.82,107780,3,2,83.57
K4,1.779110191,21.49889286,0.083,0.31,0.1145,319.87,317.88,107650,3,2,78.1
K5,3.823029598,21.51636206,0.108,0.306,0.0919,314.72,316.93,106940,3,2,99.53
K6,3.815370789,21.54017345,0.347,0.307,0.0912,314.02,315.33,107100,3,2,59.03
K7,6.737038603,21.49946255,0.399,0.288,0.0918,313.77,317.87,107300,3,2,54.76
K8,6.658810031,21.53672673,0.154,0.285,0.092,313.72,315.62,107260,3,2,98.07
K9,1.778460443,21.48734542,0.239,0.311,0.0922,315.81,318.02,107490,3,2,55.48
K10,1.796741159,21.53758831,0.062,0.297,0.0918,321.74,315.3,107710,3,2,98.43
K11,3.870306834,21.50189075,0.161,0.293,0.1001,313.98,317.55,107200,3,2,99.75
K12,3.867206701,21.51912766,0.16,0.293,0.0824,314.07,316.39,106370,3,2,99.61
K13,3.829014735,21.54066151,0.164,0.303,0.0935,315.08,315.24,107560,3,0,97.98
K14,3.845491286,27.88287775,0.224,0.303,0.0901,313.56,320.82,107860,3,2,97.98
K15,3.794489106,28.00433333,0.224,0.313,0.0907,313.75,315.98,108080,3,2,98.27
K16,1.749262293,27.94797083,0.124,0.329,0.0921,317.6,318.57,108700,3,2,99.42
K17,3.810998732,21.56488478,0.168,0.307,0.0919,315.18,314.18,108120,2,0,97.61
K18,3.783504225,21.81930979,0.141,0.302,0.1019,315.39,319.22,109180,1,0,92.85
K19,10.58147822,13.81362482,0.184,0.278,0.11,314.05,319.33,108020,1,0,98.21
K20,3.10357981,12.70213433,0.075,0.276,0.1098,318.45,319.24,108120,1,0,95.55
K21,3.017038196,13.12367056,0.074,0.271,0.1018,318.33,319.26,107760,2,0,96.32
K22,6.356220358,13.2321089,0.13,0.281,0.1092,314.39,319.21,107510,2,1,99.49
K23,6.172209902,13.62659425,0.138,0.281,0.1013,314.38,319.26,107370,2,1,99.58
