case_no,campaign_year,source_file,source_subset,configuration,absorber_beds,intercoolers,absorber_lean_solvent_flow_kg_h,absorber_flue_gas_flow_kg_h,absorber_lean_solvent_temp_C,absorber_inlet_gas_temp_C,absorber_top_pressure_kPa,absorber_inlet_gas_pressure_kPa,absorber_lean_loading_mol_co2_per_mol_mea,absorber_lean_solvent_mea_weight_fraction,absorber_inlet_gas_co2_mole_fraction,absorber_inlet_gas_o2_mole_fraction,absorber_rich_solvent_flow_kg_h,absorber_rich_solvent_temp_C,absorber_outlet_gas_temp_C,absorber_rich_solvent_pressure_outlet_kPa,absorber_rich_solvent_pressure_after_pump_kPa,absorber_rich_loading_mol_co2_per_mol_mea,absorber_rich_mea_weight_fraction,absorber_outlet_gas_co2_mole_fraction,absorber_outlet_gas_o2_mole_fraction,absorber_capture_pct_avg,absorber_capture_pct_std,summary_table_capture_pct,reported_model_capture_pct,heat_exchanger_rich_solvent_inlet_temp_C,heat_exchanger_rich_solvent_outlet_temp_C,heat_exchanger_lean_solvent_inlet_temp_C,heat_exchanger_lean_solvent_outlet_temp_C,stripper_rich_solvent_inlet_temp_C,stripper_rich_solvent_inlet_pressure_kPa,stripper_top_pressure_kPa,stripper_reboiler_temp_C,stripper_lean_solvent_pressure_after_pump_kPa,stripper_reboiler_duty_kW,absorber_temperature_profile_C_01,absorber_temperature_profile_C_02,absorber_temperature_profile_C_03,absorber_temperature_profile_C_04,absorber_temperature_profile_C_05,absorber_temperature_profile_C_06,absorber_temperature_profile_C_07,absorber_temperature_profile_C_08,absorber_temperature_profile_C_09,absorber_temperature_profile_C_10,absorber_temperature_profile_C_11,absorber_temperature_profile_C_12
1C,2017,Morgan et al.md,2017 one-bed validation,"1 bed, no intercooling",1,0,6185.0,1997.0,,43.3,109.1,110.7,0.15,0.3,0.077,0.108,6830.0,55.0,64.3,111.8,672.2,0.36,0.32,0.003,0.118,97.1,0.7,97.1,95.4,55.9,112.5,119.8,57.7,111.8,446.0,186.6,121.9,276.0,431.0,,,,,,,,,,,,
2C,2017,Morgan et al.md,2017 one-bed validation,"1 bed, no intercooling",1,0,7765.0,2499.0,,43.1,109.6,112.5,0.2,0.3,0.077,0.109,8366.0,53.9,63.8,112.9,734.5,0.38,0.33,0.007,0.118,92.3,0.5,92.3,87.6,54.8,112.0,118.6,57.2,110.2,446.3,181.4,120.6,311.1,428.0,,,,,,,,,,,,
3C,2017,Morgan et al.md,2017 one-bed validation,"1 bed, no intercooling",1,0,7517.0,2013.0,,43.6,109.5,110.9,0.25,0.3,0.093,0.09,7765.0,56.4,65.3,112.3,723.7,0.47,0.31,0.012,0.099,89.5,1.2,89.5,84.0,57.3,111.5,117.5,59.6,108.4,446.4,180.7,119.9,287.4,352.0,,,,,,,,,,,,
4C,2017,Morgan et al.md,2017 one-bed validation,"1 bed, no intercooling",1,0,6160.0,1500.0,44.9,43.3,107.7,110.4,0.25,0.3,0.108,0.075,6954.0,57.9,50.9,109.4,677.1,0.42,0.31,0.014,0.084,88.9,0.8,88.9,87.6,59.0,110.8,116.4,60.9,106.9,446.0,181.9,119.5,273.8,299.0,,,,,,,,,,,,
5C,2017,Morgan et al.md,2017 one-bed validation,"1 bed, no intercooling",1,0,5237.0,1498.0,45.0,43.3,108.4,108.7,0.26,0.3,0.077,0.11,5976.0,55.9,49.4,109.8,643.9,0.42,0.3,0.013,0.118,86.4,0.6,86.4,87.3,56.8,109.8,115.2,58.9,106.6,445.8,181.7,118.3,274.0,285.0,,,,,,,,,,,,
6C,2017,Morgan et al.md,2017 one-bed validation,"1 bed, no intercooling",1,0,7665.0,2700.0,44.8,43.4,109.7,112.4,0.31,0.31,0.077,0.109,8356.0,50.5,50.4,112.5,734.7,0.39,0.31,0.037,0.115,60.2,0.5,60.2,58.8,51.5,107.1,112.9,54.3,103.0,446.7,182.2,118.3,273.4,288.0,,,,,,,,,,,,
7C,2017,Morgan et al.md,2017 one-bed validation,"1 bed, no intercooling",1,0,5414.0,1000.0,44.7,43.3,107.3,107.7,0.34,0.29,0.1,0.091,6127.0,53.9,41.9,108.5,649.6,0.43,0.3,0.03,0.098,76.4,2.2,76.4,78.8,54.7,105.2,110.3,56.7,101.9,446.5,181.5,115.7,273.6,198.0,,,,,,,,,,,,
1D,2017,Morgan et al.md,2017 two-bed validation,"2 beds, no intercooling",2,0,4912.0,1500.0,44.8,43.4,107.8,109.8,0.3,0.3,0.1,0.091,5600.0,51.6,55.5,111.0,635.0,0.39,0.31,0.024,0.099,78.4,2.2,77.8,80.1,52.5,107.6,113.5,54.8,101.7,444.7,179.5,116.6,272.8,189.0,,,,,,,,,,,,
2D,2017,Morgan et al.md,2017 two-bed validation,"2 beds, no intercooling",2,0,4600.0,2000.0,45.4,43.9,108.7,110.7,0.2,0.3,0.117,0.071,5244.0,48.5,61.7,111.7,628.7,0.47,0.3,0.026,0.08,80.5,0.2,80.5,81.2,49.3,109.8,117.1,51.5,101.4,446.4,179.9,118.9,273.7,271.0,,,,,,,,,,,,
3D,2017,Morgan et al.md,2017 two-bed validation,"2 beds, no intercooling",2,0,9534.0,2502.0,,44.9,110.0,114.3,0.3,0.3,0.093,0.09,10078.0,54.7,65.8,115.5,834.5,0.42,0.29,0.015,0.099,87.0,0.9,87.0,81.5,55.6,110.2,116.2,58.3,105.2,446.3,181.2,119.5,273.7,370.0,,,,,,,,,,,,
4D,2017,Morgan et al.md,2017 two-bed validation,"2 beds, no intercooling",2,0,4733.0,1966.0,46.3,43.1,108.6,110.9,0.2,0.3,0.079,0.107,5411.0,51.4,59.4,111.8,630.7,0.43,0.29,0.003,0.117,96.4,0.5,96.4,96.9,52.3,110.4,117.3,54.3,104.9,446.1,179.9,119.0,273.8,278.0,,,,,,,,,,,,
