Case,L/G,G,alpha,w_MEA,y_CO2,Tl,Tv,P,beds,y_O2,CO2 %,0,0.2,0.4,0.6,0.8
1C,3.8997745215048156,19.282147375064906,0.15,0.3,0.077,318.15,316.45,109100,1,0.114,97.1,328.35,333.45,342.55,346.75,346.65
2C,3.9375567961621933,23.975618547091774,0.2,0.3,0.109,318.15,316.25,109600,1,0.07,92.3,327.95,331.75,340.85,345.85,347.05
3C,4.717020163231185,19.374567168324354,0.25,0.3,0.093,318.15,316.75,109500,1,0.097,89.5,330.15,333.95,341.85,346.85,348.05
4C,5.124675776087374,14.483335534600581,0.25,0.31,0.077,318.05,316.35,107700,1,0.127,88.9,332.25,331.85,341.85,344.15,343.65
5C,3.680301193490846,17.300330621396128,0.26,0.3,0.1,318.15,318.15,108400,1,0.071,86.4,330.75,328.65,337.45,339.55,338.05
6C,3.5745901433903304,26.070003962281046,0.31,0.3,0.077,317.95,317.45,109300,1,0.115,60.2,325.55,325.95,331.15,336.55,335.75
7C,4.628230060332862,14.349101070816774,0.34,0.29,0.117,318.65,316.25,107000,1,0.072,76.4,328.05,324.55,327.85,331.35,324.35
