case_no,position_0.20_C,position_0.40_C,position_0.60_C,position_0.80_C,position_1.00_C
1C,73.5,73.6,69.4,60.3,55.2
2C,73.9,72.7,67.7,58.6,54.8
3C,74.9,73.7,68.7,60.8,57.0
4C,70.5,71.0,68.7,58.7,59.1
5C,64.9,66.4,64.3,55.5,57.6
6C,62.6,63.4,58.0,52.8,52.4
