table_id,mixture,T_K,co2_loading_mol_per_mol_mea,co2_loading_uncertainty,mea_wt_pct,sugar_wt_pct,water_wt_pct,property_or_metric,units,value,comparison_or_reference,source_locator,evidence_label,claim_scope,K_G_x10e4_mol_m2_kPa_s,D_CO2_x10e9_m2_s,H_CO2_kPa_m3_kmol,k_l_x10e5_m_s,k_g_x10e2_m_s,k_ov_s_1,Ha,E_inf,zotero_collection_key,zotero_parent_key,zotero_attachment_key,local_companion_locator
S1,30 wt% MEA / pure water comparison,298.15,,,,,,density,g/cm3,1.0103,this_work,"Ramezani2021 supplied SI PDF p. 2, Table S1",verified,retained_property_observation_or_comparison,,,,,,,,,9T8XETPA,VMZKH34U,NCLG54A3,Downloads/Zotero-Supplements/Ramezani_2021_Supporting_Information.pdf
S1,30 wt% MEA / pure water comparison,298.15,,,,,,density,g/cm3,1.012,Bernhardsen_et_al,"Ramezani2021 supplied SI PDF p. 2, Table S1",verified,retained_property_observation_or_comparison,,,,,,,,,9T8XETPA,VMZKH34U,NCLG54A3,Downloads/Zotero-Supplements/Ramezani_2021_Supporting_Information.pdf
S1,30 wt% MEA / pure water comparison,298.15,,,,,,density,g/cm3,1.0105,Hartono_et_al,"Ramezani2021 supplied SI PDF p. 2, Table S1",verified,retained_property_observation_or_comparison,,,,,,,,,9T8XETPA,VMZKH34U,NCLG54A3,Downloads/Zotero-Supplements/Ramezani_2021_Supporting_Information.pdf
S1,30 wt% MEA / pure water comparison,298.15,,,,,,density,g/cm3,1.0109,Han_et_al,"Ramezani2021 supplied SI PDF p. 2, Table S1",verified,retained_property_observation_or_comparison,,,,,,,,,9T8XETPA,VMZKH34U,NCLG54A3,Downloads/Zotero-Supplements/Ramezani_2021_Supporting_Information.pdf
S1,30 wt% MEA / pure water comparison,298.15,,,,,,density,g/cm3,0.9970,water_this_work,"Ramezani2021 supplied SI PDF p. 2, Table S1",verified,retained_property_observation_or_comparison,,,,,,,,,9T8XETPA,VMZKH34U,NCLG54A3,Downloads/Zotero-Supplements/Ramezani_2021_Supporting_Information.pdf
S1,30 wt% MEA / pure water comparison,298.15,,,,,,density,g/cm3,0.9970,Spieweck_et_al,"Ramezani2021 supplied SI PDF p. 2, Table S1",verified,retained_property_observation_or_comparison,,,,,,,,,9T8XETPA,VMZKH34U,NCLG54A3,Downloads/Zotero-Supplements/Ramezani_2021_Supporting_Information.pdf
S1,30 wt% MEA / pure water comparison,313.15,,,,,,density,g/cm3,1.0033,this_work,"Ramezani2021 supplied SI PDF p. 2, Table S1",verified,retained_property_observation_or_comparison,,,,,,,,,9T8XETPA,VMZKH34U,NCLG54A3,Downloads/Zotero-Supplements/Ramezani_2021_Supporting_Information.pdf
S1,30 wt% MEA / pure water comparison,313.15,,,,,,density,g/cm3,1.005,Bernhardsen_et_al,"Ramezani2021 supplied SI PDF p. 2, Table S1",verified,retained_property_observation_or_comparison,,,,,,,,,9T8XETPA,VMZKH34U,NCLG54A3,Downloads/Zotero-Supplements/Ramezani_2021_Supporting_Information.pdf
S1,30 wt% MEA / pure water comparison,313.15,,,,,,density,g/cm3,1.0034,Hartono_et_al,"Ramezani2021 supplied SI PDF p. 2, Table S1",verified,retained_property_observation_or_comparison,,,,,,,,,9T8XETPA,VMZKH34U,NCLG54A3,Downloads/Zotero-Supplements/Ramezani_2021_Supporting_Information.pdf
S1,30 wt% MEA / pure water comparison,313.15,,,,,,density,g/cm3,1.0035,Han_et_al,"Ramezani2021 supplied SI PDF p. 2, Table S1",verified,retained_property_observation_or_comparison,,,,,,,,,9T8XETPA,VMZKH34U,NCLG54A3,Downloads/Zotero-Supplements/Ramezani_2021_Supporting_Information.pdf
