table_id,mixture,T_K,co2_loading_mol_per_mol_mea,co2_loading_uncertainty,mea_wt_pct,sugar_wt_pct,water_wt_pct,property_or_metric,units,value,comparison_or_reference,source_locator,evidence_label,claim_scope,K_G_x10e4_mol_m2_kPa_s,D_CO2_x10e9_m2_s,H_CO2_kPa_m3_kmol,k_l_x10e5_m_s,k_g_x10e2_m_s,k_ov_s_1,Ha,E_inf,zotero_collection_key,zotero_parent_key,zotero_attachment_key,local_companion_locator
S6.1,5 M MEA (30 wt%),333.15,0.048,,,,,equilibrium_pCO2,ppm,24.21,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),313.15,0.063,,,,,equilibrium_pCO2,ppm,10.31,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),323.15,0.063,,,,,equilibrium_pCO2,ppm,19.25,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),333.15,0.063,,,,,equilibrium_pCO2,ppm,45.48,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),303.15,0.092,,,,,equilibrium_pCO2,ppm,5.65,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),313.15,0.092,,,,,equilibrium_pCO2,ppm,17.13,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),323.15,0.092,,,,,equilibrium_pCO2,ppm,49.01,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),333.15,0.092,,,,,equilibrium_pCO2,ppm,120.2,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),313.15,0.091,,,,,equilibrium_pCO2,ppm,19.87,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),303.15,0.131,,,,,equilibrium_pCO2,ppm,12.21,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
