case_id,position,liquid_temperature_K,vapor_temperature_K,vapor_co2_fugacity_Pa,liquid_co2_flux_mol_m2_s
K18,0.0,326.2912375831627,319.22,11194.32123310654,0.0043403710649682
K18,0.01,327.75455143726583,323.2859522600333,10963.385685152196,0.0043473286076095
K18,0.02,329.02302386517306,326.2715406047396,10756.240324623132,0.0043598727651964
K18,0.03,330.1208310496104,328.38914511912867,10569.310080032046,0.0043771375206609
K18,0.04,331.071135386551,329.8290392252979,10399.076657923912,0.0043981369163595
K18,0.05,331.89628818781546,330.76600422756803,10242.191409788453,0.0044218205696854
K18,0.06,332.617997157526,331.3641330863069,10095.497465816024,0.0044470928680181
K18,0.07,333.25746173539034,331.78023882986105,9956.005520563362,0.0044728109643787
K18,0.08,333.8354786236036,332.16612581061065,9820.880561699256,0.0044977867281216
K18,0.09,334.3725192142326,332.66988426115097,9687.423430575736,0.0045207852632839
K18,0.1,334.8887801920779,333.43631038362315,9553.074697880438,0.0045405338401914
K18,0.11,335.3880985942225,334.3003918479499,9419.187454959412,0.0045577188083893
K18,0.12,335.86204791120923,335.01884037880194,9288.484729775511,0.0045738181936017
K18,0.13,336.3122177034866,335.61583127578155,9160.616960644576,0.0045887379316578
K18,0.14,336.7401688195777,336.1148576377533,9035.253632952756,0.0046023803274815
K18,0.15,337.1474358947291,336.53883311644194,8912.081484995444,0.0046146440068532
K18,0.16,337.5355296190052,336.9101767084188,8790.804606446995,0.0046254248530791
K18,0.17,337.90593878443923,337.2508811236101,8671.140671079504,0.0046346146743355
K18,0.18,338.2601321196963,337.5825659803651,8552.822955442321,0.0046421031050774
K18,0.19,338.5995599198047,337.9265168538835,8435.598671432308,0.0046477773861705
K18,0.2,338.9256554776403,338.3037110358249,8319.22869280543,0.004651522906105
K18,0.21,339.2419609293308,338.6887965972151,8204.16918139295,0.0046536529019022
K18,0.22,339.5514257205687,339.0455581042329,8090.73772417817,0.0046544105882104
K18,0.23,339.8545770654203,339.3783970567953,7978.510327515127,0.0046535702708189
K18,0.24,340.151935693612,339.6916419944923,7867.070596080601,0.0046508939749057
K18,0.25,340.4440161389585,339.9895539150972,7756.009617827366,0.0046461317553694
K18,0.26,340.7313269934582,340.2763307739568,7644.927341269762,0.004736921410133
K18,0.27,341.0143711279996,340.5561111110761,7533.429208540704,0.0048230732469819
K18,0.28,341.2936458805554,340.8329768481445,7421.129244298065,0.0049042740748678
K18,0.29,341.5696432127056,341.1109552941159,7307.648449478005,0.0049801810183338
K18,0.3,341.8428498352903,341.39402039517506,7192.614894571597,0.0050504223811761
K18,0.31,342.1115581401314,341.67662745099307,7076.448745897882,0.0051152313072994
K18,0.32,342.3741617444847,341.951173587297,6959.851566790496,0.0051751122624028
K18,0.33,342.6312925724476,342.21849436641713,6842.882546795801,0.0052300863383469
K18,0.34,342.88357896820287,342.47941067157325,6725.601657425455,0.0052801806766279
K18,0.35,343.13164578976904,342.73472943000303,6608.069917779102,0.0053254287952097
K18,0.36,343.3761144910241,342.98524425088937,6490.349414996736,0.0053658707260461
K18,0.37,343.6176031921664,343.2317359819913,6372.50334103042,0.0054015531707602
K18,0.38,343.8567267387847,343.47497318860746,6254.595976124913,0.0054325296099078
K18,0.39,344.0940967496885,343.71571255826603,6136.692722295337,0.0054588604593658
K18,0.4,344.3303216536654,343.95469923432915,6018.859955981163,0.005480613048614
K18,0.41,344.5595922633685,344.1887125794749,5901.413494272987,0.0054981183499676
K18,0.42,344.77740474681093,344.4148763455352,5784.602990640219,0.0055116661333117
K18,0.43,344.98631192750605,344.6344204972346,5668.348619405194,0.005521213576862
K18,0.44,345.1888523939577,344.84854588913294,5552.651609690538,0.0055267998475148
K18,0.45,345.3875512719067,345.05842626355945,5437.471986235317,0.0055284179316772
K18,0.46,345.5849207542353,345.2652097937665,5322.788195693063,0.0055260783056438
K18,0.47,345.78346039208515,345.47002019653576,5208.587754351425,0.0055198000922929
K18,0.48,345.98565715058186,345.673957436432,5094.864081343836,0.0055096083157747
K18,0.49,346.1939852324878,345.87809804252333,4981.617904338337,0.0054955362771344
K18,0.5,346.41090567311613,346.0834950576088,4868.856761985276,0.0054776257671739
K18,0.51,346.6374243795467,346.29517677834104,4751.918050046261,0.0059377865605477
K18,0.52,346.87154546047026,346.5162386094822,4626.797517661191,0.0063570301815971
K18,0.53,347.1112268685339,346.744838579416,4494.486271113221,0.0067336405660663
K18,0.54,347.3544408325004,346.97916671260634,4355.960595280352,0.0070664158745239
K18,0.55,347.599175010832,347.21744744091865,4212.180242140781,0.0073546551023848
K18,0.56,347.84343331307616,347.4579412315897,4064.086176652544,0.0075981421744059
K18,0.5700000000000001,348.0852363952083,347.69894546890873,3912.600902354429,0.0077971338479927
K18,0.58,348.32262183560664,347.9387946284463,3758.6262073573353,0.0079523418781619
K18,0.59,348.5536439986431,348.1758597831048,3603.043482634347,0.008064919676725
K18,0.6,348.77637359296494,348.4085474794984,3446.7134514968475,0.0081364477006823
K18,0.61,348.99531292226783,348.63765981199566,3290.439686412128,0.0081688195088938
K18,0.62,349.2146543705091,348.8642266547013,3134.8406661050817,0.0081638351782092
K18,0.63,349.4320285594236,349.08704491720994,2980.4713517296527,0.0081234409955301
K18,0.64,349.6450831761539,349.3049413247256,2827.86965774489,0.0080498323455772
K18,0.65,349.85148244443894,349.5167708835384,2677.5572524057343,0.0079454447148641
K18,0.66,350.04890626712614,349.7214149274271,2530.039249625892,0.007812941560525
K18,0.67,350.2350490462269,349.9177787695266,2385.807269658105,0.0076552139036209
K18,0.68,350.40761818610963,350.1047889807001,2245.33839801,0.0074753672851072
K18,0.6900000000000001,350.5643322846381,350.2813903114494,2109.0975038006027,0.0072767207294918
K18,0.7000000000000001,350.7029190161007,350.4465422699271,1977.538425514196,0.007062803115536
K18,0.71,350.835603535091,350.6029347384426,1852.3201784026264,0.0068423328704035
K18,0.72,350.9748971330641,350.7544512506927,1733.8209870478636,0.0066195066883212
K18,0.73,351.11896584854475,350.9018475554561,1620.5736975717375,0.0063906570495018
K18,0.74,351.26598037351863,351.04587525558526,1511.121304414243,0.0061513618794104
K18,0.75,351.4141156843267,351.18728179008883,1404.0172152390417,0.0058964526993345
K18,0.76,351.56155079766955,351.32681044712723,1297.823117843869,0.0064594256672075
K18,0.77,351.7064686503372,351.4652004075997,1191.11280615347,0.0068406822342204
K18,0.78,351.84705610133926,351.6031868189858,1082.4680209450785,0.0070285056346499
K18,0.79,351.9815040551525,351.7415008991019,970.4802554140244,0.0070062467127201
K18,0.8,352.1080077047967,351.8808700694406,853.7489302578243,0.0067523504638292
K18,0.81,352.2223621382515,352.01468940321075,738.4767518082926,0.0063159433111263
K18,0.8200000000000001,352.3220383045279,352.1357113416223,632.2604006729508,0.005783169882321
