drive,closure,co2_flux_mol_m2_s,flux_sign_convention,mobility_closure,calculation_status,claim_scope
absorption,ePC-SAFT chemical-potential force,8.70654746223758591e-08,positive absorption; negative desorption,common_unit_diagonal_provisional; dimensional flux arbitrary,basis_unresolved_unadmitted_provisional_numerical_state,thermodynamic_force_isolation_non_predictive
absorption,constrained ideal-log-composition-force reference,8.70656790396819787e-08,positive absorption; negative desorption,common_unit_diagonal_provisional; dimensional flux arbitrary,basis_unresolved_unadmitted_provisional_numerical_state,thermodynamic_force_isolation_non_predictive
desorption,ePC-SAFT chemical-potential force,-8.79405183738359581e-08,positive absorption; negative desorption,common_unit_diagonal_provisional; dimensional flux arbitrary,basis_unresolved_unadmitted_provisional_numerical_state,thermodynamic_force_isolation_non_predictive
desorption,constrained ideal-log-composition-force reference,-8.79407227911299148e-08,positive absorption; negative desorption,common_unit_diagonal_provisional; dimensional flux arbitrary,basis_unresolved_unadmitted_provisional_numerical_state,thermodynamic_force_isolation_non_predictive
