case_id,observed_capture_pct,baseline_capture_pct,baseline_capture_error_pp,film_capture_pct,film_capture_error_pp,capture_change_percentage_points,success,message,boundary_residual_norm,boundary_residual_components,outer_iterations,final_conductance_change_relative,final_bulk_fugacity_change_relative,outer_iteration_converged,fresh_worker_retries,maximum_temperature_K,runtime_s,final_capture_change_pp
K18,92.85,98.9636904554407,6.113690455440704,99.81773757517364,6.967737575173658,0.8540471197329538,True,The algorithm converged to the desired accuracy.,3.6046430679988597e-14,"{""Fl_CO2_pct"": 0.0, ""Fl_H2O_pct"": 0.0, ""Fv_CO2_pct"": 0.0, ""Fv_H2O_pct"": 0.0, ""Tl_pct"": 3.6046430679988597e-14, ""Tv_pct"": 0.0}",9,0.2364214147665137,0.1127012879742721,False,3,352.59415450984426,1442.467005885992,0.015900347559721695
K19,98.21,99.9683133172243,1.7583133172243066,99.93776643992152,1.7277664399215382,-0.0305468773027683,True,The algorithm converged to the desired accuracy.,3.95765870323848e-14,"{""Fl_CO2_pct"": 0.0, ""Fl_H2O_pct"": 0.0, ""Fv_CO2_pct"": 0.0, ""Fv_H2O_pct"": 3.0361523739161204e-14, ""Tl_pct"": 1.8100117452892222e-14, ""Tv_pct"": 1.7800838900450324e-14}",5,0.0082824581766637,0.0069626517840946,True,0,327.2446705321865,646.467989694007,4.166236067248974e-08
1C,97.1,99.26205192415208,2.162051924152081,99.83280840733816,2.732808407338169,0.5707564831860878,True,The algorithm converged to the desired accuracy.,8.981421845600889e-14,"{""Fl_CO2_pct"": 0.0, ""Fl_H2O_pct"": 0.0, ""Fv_CO2_pct"": 0.0, ""Fv_H2O_pct"": 0.0, ""Tl_pct"": 0.0, ""Tv_pct"": 8.981421845600888e-14}",9,0.0173069015233863,0.0102166014785888,True,0,349.3354941790321,2015.8352462309997,4.234151565185584e-05
2C,92.3,91.57325027906248,-0.7267497209375193,94.69649851752476,2.396498517524776,3.1232482384622955,True,The algorithm converged to the desired accuracy.,2.531410992834993e-13,"{""Fl_CO2_pct"": 2.0954246374209904e-14, ""Fl_H2O_pct"": 0.0, ""Fv_CO2_pct"": 0.0, ""Fv_H2O_pct"": 0.0, ""Tl_pct"": 1.7866861185229615e-14, ""Tv_pct"": 2.5163885029290506e-13}",9,0.0878730400657639,0.0436934652315262,False,0,351.8444079480364,1933.4896803979937,0.44010822885155676
3C,89.5,90.28645570076074,0.7864557007607402,94.5076142100336,5.0076142100336085,4.221158509272868,True,The algorithm converged to the desired accuracy.,8.972915368714762e-14,"{""Fl_CO2_pct"": 0.0, ""Fl_H2O_pct"": 0.0, ""Fv_CO2_pct"": 0.0, ""Fv_H2O_pct"": 0.0, ""Tl_pct"": 0.0, ""Tv_pct"": 8.972915368714762e-14}",9,0.037609432791027,0.0161376689896646,False,1,351.3612129351659,1464.4241160200036,0.17842443266864905
4C,88.9,95.20310949321096,6.303109493210968,98.6276769159486,9.727676915948592,3.424567422737624,True,The algorithm converged to the desired accuracy.,1.135823136751386e-13,"{""Fl_CO2_pct"": 0.0, ""Fl_H2O_pct"": 0.0, ""Fv_CO2_pct"": 0.0, ""Fv_H2O_pct"": 0.0, ""Tl_pct"": 3.574495762352336e-14, ""Tv_pct"": 1.07811131077872e-13}",9,0.0140755434879934,0.005326491072214,True,1,350.7523177767554,788.8189171529957,0.005212172787423697
5C,86.4,79.4916176467724,-6.9083823532276085,75.76465551626401,-10.635344483735992,-3.726962130508383,True,The algorithm converged to the desired accuracy.,4.015843781438661e-14,"{""Fl_CO2_pct"": 0.0, ""Fl_H2O_pct"": 1.2570712194536837e-14, ""Fv_CO2_pct"": 0.0, ""Fv_H2O_pct"": 1.3333356972834e-14, ""Tl_pct"": 3.573372237045923e-14, ""Tv_pct"": 0.0}",9,0.0149677813589314,0.0235633168648006,False,0,347.47248057280234,1849.1916059329812,0.019654697573102453
6C,60.2,67.5551907261046,7.3551907261045955,64.46182771887923,4.261827718879232,-3.0933630072253635,True,The algorithm converged to the desired accuracy.,4.352248735495519e-14,"{""Fl_CO2_pct"": 0.0, ""Fl_H2O_pct"": 1.7177513310577797e-14, ""Fv_CO2_pct"": 0.0, ""Fv_H2O_pct"": 0.0, ""Tl_pct"": 3.5756199943895594e-14, ""Tv_pct"": 1.79062588945686e-14}",7,0.0058684644308054,0.0094881942603984,True,2,343.6233994959666,912.3844161329909,0.04012067199974467
