case_id,relaxation,film_capture_pct,outer_iterations,final_conductance_change_relative,final_bulk_fugacity_change_relative,source_run,command,repository_commit,parameter_document_sha256,engine_wheel_sha256
5C,0.5,87.97280952944432,18,0.0072029451244725,0.0066953918489352,diagnose_5C_iter30_relax050,analyses/reactive_film_evidence/scripts/run_column_film_comparison.py --case-ids 5C --film-nodes 5 --outer-iterations 30 --workers 2 --relaxation 0.5 --mesh-points 21 --tol 0.1 --max-nodes 1000 --output-dir analyses/reactive_film_evidence/results/runs/diagnose_5C_iter30_relax050,4cd362c83e0a6b439655a18819a862da25e782cf,00049473d53c7e8088ef3e2dbbc6a1bab058f6dc4de963ee98936b4cd9bda25e,f6e5b51dad79741c759393688f7daa547c9eb73f5944d5f877b3b32b1e56714a
5C,0.25,87.78889226430438,29,0.0126689010668789,0.0170106334291013,diagnose_5C_iter30_relax025,analyses/reactive_film_evidence/scripts/run_column_film_comparison.py --case-ids 5C --film-nodes 5 --outer-iterations 30 --workers 2 --relaxation 0.25 --mesh-points 21 --tol 0.1 --max-nodes 1000 --output-dir analyses/reactive_film_evidence/results/runs/diagnose_5C_iter30_relax025,4cd362c83e0a6b439655a18819a862da25e782cf,00049473d53c7e8088ef3e2dbbc6a1bab058f6dc4de963ee98936b4cd9bda25e,f6e5b51dad79741c759393688f7daa547c9eb73f5944d5f877b3b32b1e56714a
