case_id,film_capture_pct,film_capture_error_pp,tap_rmse_K,tap_bias_K,tap_max_abs_K,outer_iteration_converged
1C,99.8422623013642,2.7422623013641925,6.448756216804452,4.001389315288998,12.519417923244873,False
2C,98.46219910787514,6.162199107875139,3.7283587772975757,2.6997488486613177,7.163834867760897,True
3C,97.91320300458923,8.41320300458925,4.179370116482524,2.5122609297517897,7.512420514692167,True
4C,98.916486763568,10.016486763567984,8.048308497416443,5.493343588471373,13.038443014007555,True
5C,87.78861154148571,1.3886115414857017,5.339725254961117,2.755558995332251,7.388728061733161,False
6C,76.1310350829996,15.9310350829996,6.183135572052693,4.479863412930422,8.421939076280921,True
