Position,Fl_CO2,Fl_MEA,Fl_H2O,Fl_T,Fl_CO2_true,Fl_MEA_true,Fl_H2O_true,Fl_MEAH_true,Fl_MEACOO_true,Fl_HCO3_true,Fl_CO3_true,Fl_H3O_true,Fl_OH_true
0.0,4.017724024441059,9.729875260332735,75.23543378819764,88.98303307297144,0.0009120162804559011,2.1770138741983804,74.47689858387018,4.294511380941604,3.258350005192751,0.4808357797524017,0.27762622321545233,2.5897102142557964e-08,7.317546264754331e-05
0.01,3.9808367214315985,9.729875260332735,75.54594832751533,89.25666030927967,0.0009915341696522088,2.2423332439682326,74.82405839759228,4.229511666879811,3.2580303494846916,0.47222339478146674,0.24959144299579902,2.7761925425326838e-08,7.506438398031605e-05
0.02,3.9466299280005477,9.729875260332735,75.80954821906295,89.48605340739623,0.0010509912694538675,2.301821359228435,75.11768608931692,4.174260182833734,3.2537937182705647,0.4631808251999439,0.22860439326060286,2.9221929873789308e-08,7.688206394985206e-05
0.03,3.9144000388515434,9.729875260332735,76.03957527890296,89.68385057808723,0.0010953374199997963,2.357226657988801,75.37337219689375,4.125468304273361,3.247180298070572,0.45403941840167844,0.21208498495930012,3.038294743458386e-08,7.864826545750661e-05
0.04,3.8837076366331873,9.729875260332735,76.24435211992828,89.8579350168942,0.0011279373933203707,2.409595795853081,75.60069821292872,4.081273265011548,3.239006199468105,0.444960278600709,0.19861322117105357,3.131364016572941e-08,8.037591426745713e-05
0.05,3.8542572865073086,9.729875260332735,76.42896728630402,90.01309983314405,0.001150909489318959,2.45959334944844,75.80551127488157,4.0405494384382115,3.2297324724460825,0.436012885996022,0.18736101858040102,3.205581442640932e-08,8.207489111813156e-05
0.06,3.8257894690829666,9.729875260332735,76.5979276474488,90.1535923768645,0.0011664726077336388,2.5077893059702707,75.99287851268953,4.002428306800811,3.2196576475616534,0.4272437592003426,0.17772158971627564,3.2652499617889886e-08,8.375325876328675e-05
0.07,3.79814565861515,9.729875260332735,76.7539447677872,90.28196568673509,0.0011758788939809446,2.554518725870837,76.16585492413182,3.9663911486528054,3.2089653858090923,0.4186684084696049,0.16933598544247125,3.3127076810428776e-08,8.5416616243604e-05
0.08,3.771181368114001,9.729875260332735,76.89938017420457,90.4004368026513,0.0011803290084211205,2.6000802607372075,76.32707192432514,3.932015106897383,3.1977798926981436,0.410294115083505,0.16192703132393024,3.350205545593882e-08,8.70699699300551e-05
0.09,3.7447897770903102,9.729875260332735,77.03601016080746,90.5106751982305,0.0011807308201166869,2.6446905854956895,76.4784995699382,3.8989974685448425,3.186187206292202,0.4021221010062021,0.15529973897178936,3.379418443621514e-08,8.871709704440429e-05
0.1,3.7188893757277426,9.729875260332735,77.16512429760562,90.61388893366609,0.0011777475384251062,2.6885102904728915,76.62157028771145,3.867116956534244,3.174248013325598,0.39414861358870606,0.1493150012779055,3.4015472148150796e-08,9.036107960157025e-05
0.11,3.693406394533655,9.729875260332735,77.28789421201311,90.7111758668795,0.0011720018742307652,2.731683773974526,76.75757377573113,3.8361854912438096,3.162005995114398,0.3863692694200261,0.14385912812813917,3.417736822272512e-08,9.200463047528371e-05
0.12,3.668289159986272,9.729875260332735,77.40513283235948,90.80329725267849,0.0011639274346254237,2.774309537961758,76.88740925188111,3.8060703865660535,3.149495335804921,0.3787783582325648,0.1388515385280448,3.428760457099358e-08,9.364976008134754e-05
0.13,3.6434900797476764,9.729875260332735,77.5175708077602,90.8909361478406,0.0011539202495744942,2.8164775146035166,77.01188060448979,3.7766564571367374,3.136741288592481,0.37136983726111844,0.13422503365797317,3.435336734733957e-08,9.529832056001208e-05
