Position,rho_true_mol_m3
0.0,51100.52540373446
0.01,50972.22648360802
0.02,50861.701831879276
0.03,50763.44984830475
0.04,50674.21512556751
0.05,50592.00634802397
0.06,50515.119488233155
0.07,50442.580843929136
0.08,50373.53745126754
0.09,50307.37496313682
0.1,50243.6483472079
0.11,50181.96002378898
0.12,50122.03900754691
0.13,50063.64147384508
0.14,50006.5759952293
0.15,49950.693431326006
0.16,49895.85774221846
0.17,49841.96985878628
0.18,49788.939739480586
0.19,49736.69504294718
0.2,49685.17886989078
0.21,49634.3393849878
0.22,49584.13976529167
0.23,49534.54709397416
0.24,49485.536347586436
0.25,49437.08969524485
0.26,49389.19172155036
0.27,49341.83447079192
0.28,49295.011944223676
0.29,49248.7222207544
0.3,49202.96713235259
0.31,49157.749737047394
0.32,49113.077000652425
0.33,49068.95685127221
0.34,49025.39924498263
0.35000000000000003,48982.41593845647
0.36,48940.0191912659
0.37,48898.22290111832
0.38,48857.0412725618
0.39,48816.48909248537
0.4,48776.58154462558
0.41000000000000003,48737.33378451231
0.42,48698.76087260835
0.43,48660.87769535513
0.44,48623.69859980723
0.45,48587.23726305805
0.46,48551.50694647953
0.47000000000000003,48516.51952037517
0.48,48482.28635737972
0.49,48448.81750696394
0.5,48416.12164473407
0.51,48384.206803325986
0.52,48353.07885176302
0.53,48322.74300865624
0.54,48293.20278814519
0.55,48264.46003739035
0.56,48236.515903044936
0.5700000000000001,48209.36916373902
0.58,48183.017956938005
0.59,48157.458732826104
0.6,48132.68636275385
0.61,48108.69510328041
0.62,48085.47712282484
0.63,48063.02407675808
0.64,48041.326250846236
0.65,48020.37270625447
0.66,48000.15206263743
0.67,47980.65142908339
0.68,47961.85758728437
0.6900000000000001,47943.756417670964
0.7000000000000001,47926.3330451371
0.71,47909.57235217451
0.72,47893.45837813976
0.73,47877.975022200015
0.74,47863.105760431274
0.75,47848.83376722805
0.76,47835.14215247651
0.77,47822.0137818131
0.78,47809.431533540985
0.79,47797.37825867218
0.8,47785.836867985236
0.81,47774.790338702296
0.8200000000000001,47764.221862143444
0.8300000000000001,47754.11474479815
0.84,47744.452563565894
0.85,47735.21934530277
0.86,47726.39902858425
0.87,47717.97745849824
0.88,47709.940323982024
0.89,47702.27675523944
0.9,47694.997506415326
0.91,47688.07927467325
0.92,47681.700064598386
0.93,47675.99849374922
0.9400000000000001,47671.549350723406
0.9500000000000001,47671.83641254572
0.96,47683.182464982594
0.97,47724.13816516038
0.98,47828.6815078246
0.99,48003.419407626854
1.0,48180.13477593745
