,T,alpha,E1,E2,Cl_MEA
0,320.0,0.15,170.75392676524697,168.82384833935586,3438.2925718570455
1,320.0,0.16,167.1427057859993,164.0245013539289,3341.4892371143574
2,320.0,0.17,163.5080842498973,158.94796436794874,3244.7882578184563
3,320.0,0.18,159.85003370403072,153.89374272325549,3148.196496458032
4,320.0,0.19,156.16854061681727,148.86344882455873,3051.7216451860654
5,320.0,0.2,152.46360926351244,143.85828419833294,2955.3723499705766
6,320.0,0.21,148.7352652294354,138.8794855243889,2859.158357185901
7,320.0,0.22,144.98355968057368,133.92832592793746,2763.090687378405
8,320.0,0.23,141.20857459288393,129.00612534106247,2667.1818421004064
9,320.0,0.24,137.41042918451453,124.11425110877394,2571.4460511460998
10,320.0,0.25,133.5892878649817,119.25412450683211,2475.899569369582
11,320.0,0.26,129.74537010675505,114.42722866721924,2380.561034614803
12,320.0,0.27,125.87896276542506,109.63511308829572,2285.451901296424
13,320.0,0.28,121.99043553436053,104.87940689593425,2190.5969680246494
14,320.0,0.29,118.08026043187506,100.16183062583254,2096.0250226085905
15,320.0,0.3,114.14903650158193,95.48421179239878,2001.7696341094204
16,320.0,0.31,110.19752128295177,90.8485060888961,1907.8701296981328
17,320.0,0.32,106.22667111087081,86.25682479275477,1814.3728043392478
18,320.0,0.33,102.23769296887957,81.71146973017623,1721.3324241876076
19,320.0,0.34,98.23211149869158,77.21497811924345,1628.8141004005715
20,320.0,0.35,94.21185591035416,72.77018160687989,1536.8956288432569
21,320.0,0.36,90.17937298812326,68.38028501454488,1445.670412114574
22,320.0,0.37,86.13777415634304,64.0489653573754,1355.2511009216857
23,320.0,0.38,82.09102656926554,59.780494356986466,1265.7741060758397
24,320.0,0.39,78.04420010634182,55.579951582705,1177.4051276849552
25,320.0,0.4,74.00378321275903,51.45327774271039,1090.3458001311697
26,330.0,0.15,203.2927975120572,200.99194250584935,3423.3746279839797
27,330.0,0.16,198.9176349978369,195.20378165632775,3327.5727246211536
28,330.0,0.17,194.51716055434028,189.09096717999319,3231.8966350761457
29,330.0,0.18,190.09152438687974,183.01066441116774,3136.3551146661925
30,330.0,0.19,185.64091312412847,176.9649287523962,3040.957942966318
31,330.0,0.2,181.16555563254647,170.95533605648896,2945.7160715424034
32,330.0,0.21,176.66572991396728,164.98351587643788,2850.641797149984
33,330.0,0.22,172.14177131856178,159.05115442386443,2755.748965465097
34,330.0,0.23,167.59408236108314,153.16000863176953,2661.053211537332
35,330.0,0.24,163.0231444987452,147.3119088024284,2566.572244551218
36,330.0,0.25,158.4295323178552,141.50876853089932,2472.3261862068957
37,330.0,0.26,153.81393068894698,135.75259650462894,2378.3379741726108
38,330.0,0.27,149.17715559261723,130.04550450948832,2284.633844705859
39,330.0,0.28,144.52017949857213,124.38972596195791,2191.2439117971544
40,330.0,0.29,139.84416240821986,118.78763280370106,2098.202864178789
