,T,alpha,E1,E2,Cl_MEA
41,330.0,0.3,135.15048995694653,113.24175683043705,2005.550806360775
42,330.0,0.31,130.4408203290793,107.75481735890875,1913.3342756064603
43,330.0,0.32,125.71714217660964,102.32975546335157,1821.607473412355
44,330.0,0.33,120.98184626047846,96.9697756635216,1730.4337574433437
45,330.0,0.34,116.23781414579943,91.67839666354274,1639.8874474308193
46,330.0,0.35,111.48852795201711,86.45951444460427,1550.0560050680995
47,330.0,0.36,106.73820580785218,81.31748146270112,1461.0426510413358
48,330.0,0.37,101.9919681217488,76.25719851326183,1372.9694776578096
49,330.0,0.38,97.25603972361547,71.284216961315,1285.981095481527
50,330.0,0.39,92.53799177074717,66.40492119096494,1200.2488044568352
51,330.0,0.4,87.84702403632129,61.62648581497157,1115.9751847894333
52,340.0,0.15,240.0640920955594,237.30012311993192,3407.1457005579996
53,340.0,0.16,234.82617642598112,230.36850216579603,3312.427910005883
54,340.0,0.17,229.5613379349079,223.0539457940064,3217.8603056470392
55,340.0,0.18,224.26995570461423,215.78558753868674,3123.4535083890637
56,340.0,0.19,218.95247118458815,208.5660182208378,3029.219339894068
57,340.0,0.2,213.60939730500002,201.3972609240658,2935.1709887990646
58,340.0,0.21,208.24132914726354,194.28141243526005,2841.3232041151505
59,340.0,0.22,202.84895647259418,187.22064771910047,2747.692520815532
60,340.0,0.23,197.43307847509448,180.21723784476688,2654.297523654311
61,340.0,0.24,191.99462120381926,173.27355426279777,2561.1591564647483
62,340.0,0.25,186.53465819446689,166.3920818097803,2468.3010856513392
63,340.0,0.26,181.0544349668517,159.575433872582,2375.7501283154525
64,340.0,0.27,175.55539818504855,152.8263629068223,2283.536757509966
65,340.0,0.28,170.0392304448102,146.14778319101637,2191.695699499067
66,340.0,0.29,164.50789185137242,139.54279112285252,2100.2666406187095
67,340.0,0.3,158.9636697806984,133.014689963611,2009.2950643341385
68,340.0,0.31,153.4092384752466,126.56702080430753,1918.8332422276212
69,340.0,0.32,147.84773040069533,120.20359932617993,1828.9414056229546
70,340.0,0.33,142.28282155757344,113.92855839801881,1739.6891267929125
71,340.0,0.34,136.71883315265063,107.74639697650657,1651.1569392048546
72,340.0,0.35,131.1608521010014,101.66203720069628,1563.438223365024
73,340.0,0.36,125.61487260021241,95.68089131706425,1476.6413758281053
74,340.0,0.37,120.0879602479625,89.80893061988998,1390.8922596760913
75,340.0,0.38,114.58843848216547,84.0527488082529,1306.336899082813
76,340.0,0.39,109.12609395147689,78.41969597269615,1223.1443199509545
77,340.0,0.4,103.71239201966692,72.91771666063316,1141.5093423457088
78,350.0,0.15,281.2153047990212,277.8707040467902,3389.3613398816155
79,350.0,0.16,275.0122495827618,269.6222983403294,3295.7857438543206
80,350.0,0.17,268.78095808730865,260.91894926750564,3202.384217782624
81,350.0,0.18,262.5220828846778,252.27992793655645,3109.169105625304
82,350.0,0.19,256.2363680998566,243.7084493209029,3016.1540992292325
83,350.0,0.2,249.92466195252243,235.20704461387555,2923.3544170095124
84,350.0,0.21,243.5879312847697,226.77833715257853,2830.787010176181
85,350.0,0.22,237.22727842482337,218.425047821704,2738.470801209374
86,350.0,0.23,230.84396080156654,210.15001660504225,2646.426960117473
87,350.0,0.24,224.43941380090365,201.95620747803122,2554.6792249785017
88,350.0,0.25,218.01527744377702,193.84672354601503,2463.2542743732793
89,350.0,0.26,211.57342756784635,185.82482435226532,2372.1821605697564
90,350.0,0.27,205.11601231039026,177.8939370672052,2281.4968136968455
91,350.0,0.28,198.6454948172001,170.05768154042326,2191.2366286112156
92,350.0,0.29,192.16470323638762,162.3198912913219,2101.4451476233367
93,350.0,0.3,185.67688918963185,154.68463828989215,2012.171853575266
94,350.0,0.31,179.1857960216699,147.15626305112414,1923.473088582288
95,350.0,0.32,172.69573820080728,139.7394087482269,1835.413113854962
96,350.0,0.33,166.2116932061866,132.4390583627276,1748.0653243862364
97,350.0,0.34,159.73940703572208,125.2605740881673,1661.5136281011764
98,350.0,0.35,153.28551398542368,118.20973953247282,1575.853990709935
99,350.0,0.36,146.85767040934383,111.29280455503965,1491.196132600412
100,350.0,0.37,140.46470054715346,104.51652102381074,1407.6653397423183
101,350.0,0.38,134.11674988936562,97.88815791622666,1325.4043127935809
102,350.0,0.39,127.82543757243236,91.41558367459447,1244.57492305067
103,350.0,0.4,121.60399359217806,85.10698084801156,1165.359666708562
