Position,Nl_CO2,Nv_CO2,kv_CO2,a_eA,DF_CO2,fv_CO2,fl_CO2,Psi,H_CO2_mix
0.0,0.7012296070939141,-0.7012296070939141,2.6322625674605377e-05,72.97973795440807,8089.655425329516,9414.203359062047,1324.5479337325307,108.47972419435527,2295.605497820187
0.01,0.6466903821186665,-0.6466903821186665,2.669958497012586e-05,73.06384612062092,7605.566005707709,9079.71106872516,1474.1450630174515,107.99307358591291,2369.6462206039064
0.02,0.6063014588359634,-0.6063014588359634,2.700652820547509e-05,73.13407717202406,7195.715299148861,8785.455547730044,1589.7402485811826,108.3173769970231,2430.7372031266855
0.03,0.5752825919614297,-0.5752825919614297,2.726562606208245e-05,73.19453479369149,6841.24587942397,8520.23284999476,1678.9869705707902,109.22262920110221,2482.9309135587514
0.04,0.5508294814845638,-0.5508294814845638,2.7489910096627906e-05,73.24770887070457,6529.72199380916,8277.002435873237,1747.2804420640769,110.56694820783522,2528.620286282162
0.05,0.5313214952400195,-0.5313214952400195,2.768709216296856e-05,73.29509542880507,6253.19336084424,8051.233771902438,1798.040411058199,112.27476767396229,2569.2320037785976
0.06,0.5153651991920608,-0.5153651991920608,2.786384799212905e-05,73.33803775775674,6003.9730577619375,7839.060799845779,1835.0877420838417,114.26616907938778,2606.001821487863
0.07,0.5022026826532653,-0.5022026826532653,2.8023933174629674e-05,73.37729944593866,5777.5622983312405,7638.128993251367,1860.566694920127,116.50469388865235,2639.6262349769727
0.08,0.49118153264447556,-0.49118153264447556,2.8170613033281906e-05,73.41355852379463,5569.805922384288,7446.407198026644,1876.6012756423556,118.95477776816762,2670.7130666061994
0.09,0.4818370586286206,-0.4818370586286206,2.8306250623004903e-05,73.44731267098173,5377.5798663389205,7262.400197612282,1884.8203312733615,121.59152297964813,2699.7017030221637
0.1,0.473846547422799,-0.473846547422799,2.8432526431704423e-05,73.47891802283617,5198.572877286491,7084.9983483064425,1886.4254710199514,124.39962005366459,2726.9053702812957
0.11,0.4669186971993502,-0.4669186971993502,2.855095086556531e-05,73.50869993552865,5030.664910666831,6913.229314916517,1882.564404249686,127.36333195141916,2752.605951868847
0.12,0.46085942874054825,-0.46085942874054825,2.8662547574201067e-05,73.53687898914181,4872.361731736465,6746.406586483435,1874.0448547469698,130.47398646026346,2776.9941283029552
0.13,0.4554941115172556,-0.4554941115172556,2.8768232329631285e-05,73.56365482689277,4722.310717659305,6583.923745105584,1861.6130274462791,133.72313240307125,2800.241058055264
