Position,kl_CO2,kv_CO2,kv_H2O,ul,uv,h_L,h_V,a_e,UT,P,Clp,Cvp,eps,a_p,A,Lp,d_h
0.0,3.0031794742753437e-05,2.6322625674605377e-05,3.484302887581397e-05,0.0064114819877234795,1.5248842485563965,0.060159489112902656,0.9098405108870973,226.8571492381885,97.28881847776117,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.01,3.110496492211384e-05,2.669958497012586e-05,3.526921385554259e-05,0.0064334572990759255,1.5666114080502036,0.05942732919963372,0.9105726708003663,227.11859905082855,98.49768151806198,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.02,3.199478776150128e-05,2.700652820547509e-05,3.561524059399973e-05,0.006451666113602273,1.5993716472461392,0.058838305680673414,0.9111616943193266,227.33691192171432,99.45845195660267,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.03,3.2756749269738e-05,2.726562606208245e-05,3.590683520022128e-05,0.006467221087076174,1.6262845119020886,0.058344665533586804,0.9116553344664131,227.5248441353071,100.25438112102894,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.04,3.3424179665623996e-05,2.7489910096627906e-05,3.6159006279771866e-05,0.006480801678141703,1.6490895858612225,0.05791900545095709,0.9120809945490429,227.69013548688875,100.93280220445853,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.05,3.401687727677892e-05,2.768709216296856e-05,3.638060184668359e-05,0.006492813270179413,1.6687975704808098,0.057545041493665725,0.9124549585063343,227.8374363649709,101.52136634680353,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.06,3.455292431664719e-05,2.786384799212905e-05,3.657927072946368e-05,0.006503620154178513,1.686290074583938,0.05720962996085169,0.9127903700391483,227.97092237904386,102.04406053200042,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.07,3.504225134239567e-05,2.8023933174629674e-05,3.675926797259367e-05,0.006513432750758772,1.7020031394404707,0.056905194752544484,0.9130948052474555,228.09296713975257,102.51345905236396,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.08,3.5493837781348487e-05,2.8170613033281906e-05,3.6924301942312584e-05,0.006522436339977487,1.7163329108344065,0.056625438515606225,0.9133745614843938,228.20567830132936,102.94073573868594,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.09,3.591419839745785e-05,2.8306250623004903e-05,3.707703989080917e-05,0.006530768542118309,1.7295447954333119,0.05636586107772972,0.9136341389222703,228.31060289849103,103.3336524075997,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
