Position,y_CO2,y_H2O,y_N2,y_O2
0.0,0.085393847533086,0.08178658566574185,0.7501803595110889,0.08263920729008323
0.01,0.08226162168173394,0.0964239753151376,0.739816832694108,0.08149757030902047
0.02,0.07952796079255858,0.10854731215470433,0.7313588776208227,0.08056584943191437
0.03,0.07707613591798318,0.11892316817927573,0.7242211340160303,0.0797795618867108
0.04,0.07483514364330181,0.1280142772018709,0.7180507421934883,0.07909983696133897
0.05,0.07276010734798571,0.1361012859030698,0.7126353271376932,0.07850327961125139
0.06,0.07081417777431472,0.14341782514762347,0.7077976335311759,0.07797036354688595
0.07,0.06897444837287607,0.15010618561044237,0.7034301235232953,0.07748924249338626
0.08,0.06722166527817146,0.15628510490406217,0.6994431849626408,0.07705004485512568
0.09,0.06554159044051441,0.16204278961078852,0.6957701890827845,0.07664543086591262
0.1,0.06392364633869385,0.1674432454039429,0.6923630093123108,0.07627009894505259
0.11,0.06235866468055251,0.17254259924377743,0.689179346608404,0.07591938946726605
0.12,0.06084010764007834,0.1773803685298386,0.6861894939020704,0.07559002992801264
0.13,0.05936225491007882,0.18199110733924848,0.6833674785471882,0.07527915920348462
0.14,0.057920584717717175,0.18640241723035866,0.6806925109243904,0.07498448712753382
0.15,0.05651153614747489,0.1906358799004796,0.6781483584220742,0.07470422552997145
0.16,0.05513195384434968,0.1947109642376235,0.675720326270152,0.07443675564787476
0.17,0.053779493360676923,0.19864235995586615,0.6733972942010853,0.07418085248237169
0.18,0.05245208169434266,0.20244322068244444,0.6711692811005127,0.07393541652270029
0.19,0.0511480693141852,0.2061244480300377,0.6690279529545423,0.07369952970123478
0.2,0.04986616701456939,0.20969487078112028,0.6669665183251615,0.07347244387914877
0.21,0.04860524321047321,0.2131625598156626,0.6649787264913419,0.07325347048252237
0.22,0.04736450472700438,0.21653378393854594,0.6630596451601384,0.07304206617431144
0.23,0.0461432728717841,0.2198142067398383,0.6612047840764107,0.07283773631196691
0.24,0.044941058691916086,0.2230085783581674,0.6594103048843241,0.07264005806559261
0.25,0.04375753884555581,0.22612077693269822,0.6576730055227855,0.07244867869896046
0.26,0.042592461633941744,0.22915435637973985,0.6559899114474335,0.07226327053888495
0.27,0.04144573695058006,0.2321120778626608,0.6543586166456253,0.07208356854113376
0.28,0.04031732736932737,0.2349964311251462,0.6527769121389363,0.07190932936659028
0.29,0.03920728440223432,0.23780949676743787,0.6512428773807915,0.0717403414495364
0.3,0.03811573511469202,0.24055295975424715,0.6497548801456193,0.07157642498544155
0.31,0.03704283802406315,0.24322835883751479,0.6483113915811366,0.07141741155728555
0.32,0.03598881739579065,0.2458368848049105,0.646911137047439,0.07126316075185986
0.33,0.034953918125680994,0.2483796049775755,0.6455529345365375,0.07111354236020609
0.34,0.033938413347972936,0.25085742148882184,0.6442357254005939,0.07096843976261133
0.35000000000000003,0.03294259513717176,0.25327107621406064,0.6429585782867069,0.07082775036206072
0.36,0.031966763352503216,0.25562125352300197,0.6417206066292308,0.07069137649526411
0.37,0.031011216852918508,0.25790853021784027,0.640521021657321,0.0705592312719203
0.38,0.030076255505164764,0.26013343477854073,0.6393590772196391,0.07043123249665546
0.39,0.02916216473471649,0.26229646873779155,0.6382340644464839,0.07030730208100802
0.4,0.028269209395392434,0.2643981040500986,0.6371453196417133,0.07018736691279583
0.41000000000000003,0.027397647396008973,0.2664388030682998,0.6360921940139579,0.07007135552173342
0.42,0.026547689302477827,0.2684190579219158,0.635074054595006,0.06995919818060041
0.43,0.025719535198742236,0.2703393507619127,0.6340902868469074,0.06985082719243778
0.44,0.024913343724361017,0.2722002128324388,0.6331402693418905,0.06974617410130984
0.45,0.024129229474780824,0.274002213367007,0.6322233861061294,0.0696451710520828
0.46,0.023367292698458948,0.27574593493623784,0.6313390220754715,0.06954775028983162
