Position,rho_mol_l,rho_mass_l,V_l,V_CO2,V_MEA,V_H2O,mul_mix,sigma,Dl_CO2,Dl_MEA,Dl_ion,Cpl_CO2,Cpl_MEA,Cpl_H2O
0.0,43150.93302292052,1031.5398551794103,2.3174469934840785e-05,2.6104075640626174e-05,5.992872193154102e-05,1.8264286898306863e-05,0.004408923823795598,0.06693893472211714,2.447408902259614e-09,1.3410234674585061e-09,2.9913129258154925e-10,165.59515925824252,171.88412994928586,75.2961939327035
0.01,43141.589548931544,1029.9969026723275,2.317948899091425e-05,2.607468354669629e-05,6.002769767682241e-05,1.828178195834998e-05,0.004101575091630859,0.06650303186158349,2.55840198950293e-09,1.4011734309987472e-09,3.208106216794745e-10,165.77814530206632,172.39660640973722,75.30549508075313
0.02,43135.06955121368,1028.6967439433172,2.318299264158398e-05,2.605011767301128e-05,6.010761131177055e-05,1.829624777771164e-05,0.003866890228825457,0.06613820062117068,2.6503471062875057e-09,1.450988855888527e-09,3.3951413504688084e-10,165.92984616607308,172.81028849180373,75.31445015295543
0.03,43130.42868973461,1027.5661880082168,2.3185487146294192e-05,2.602896889149818e-05,6.017445629307365e-05,1.8308582861798467e-05,0.0036786875670362755,0.06582315143581752,2.7288827254816758e-09,1.4935315160629975e-09,3.5609112477415586e-10,166.05954713957414,173.1563253479795,75.32290765945116
0.04,43127.12943350606,1026.5612633490655,2.3187260852633663e-05,2.6010369975684973e-05,6.023177452869715e-05,1.8319331886718898e-05,0.003522508630376749,0.06554509339801405,2.797427301042929e-09,1.5306569198933287e-09,3.710643446220904e-10,166.17289323908057,173.45310526369016,75.33084779815145
0.05,43124.87007273925,1025.6555610789894,2.318847565948112e-05,2.599379928916495e-05,6.0281660254430225e-05,1.832881823577305e-05,0.003389914138504052,0.0652962911314442,2.8580076188747485e-09,1.5634650554750453e-09,3.847423956944035e-10,166.27326239738827,173.71150671302587,75.33826811247778
0.06,43123.35178733061,1024.8252813198596,2.3189292078492703e-05,2.597879667807826e-05,6.032595889311796e-05,1.8337344928615388e-05,0.0032746156699060267,0.06506988704069697,2.9125298971823594e-09,1.5929898307341972e-09,3.974352294201508e-10,166.36372976112568,173.9410651989561,75.34524990012827
0.07,43122.44172417081,1024.0571880598113,2.3189781469157493e-05,2.5965087305742313e-05,6.036569043662078e-05,1.834507609016895e-05,0.0031728986537316807,0.06486201956997317,2.9620252722412254e-09,1.6197905041507832e-09,4.093051518025176e-10,166.44601868728884,174.14707045593832,75.35182332838443
0.08,43122.006498595365,1023.3393887392074,2.3190015521021117e-05,2.5952433600914574e-05,6.040175478424287e-05,1.835216268559753e-05,0.003081856473883305,0.06466926176245108,3.007444663167916e-09,1.6443826573181522e-09,4.205094635428638e-10,166.52167416514718,174.33417075498008,75.35804296387582
0.09,43121.957026938355,1022.6632582470586,2.319004212576202e-05,2.5940657117774598e-05,6.043480010486922e-05,1.8358714292041682e-05,0.002999431558344902,0.06448912781417859,3.049478993194429e-09,1.6671408366758414e-09,4.3116283737469275e-10,166.59182672708022,174.50571468508977,75.36395189776219
0.1,43122.23447832971,1022.0226464787355,2.3189892919452764e-05,2.5929629263556e-05,6.046528467838223e-05,1.83648082554062e-05,0.002924152323349557,0.06431983421299765,3.0886157141322185e-09,1.688329273310757e-09,4.4134560012672063e-10,166.6572811753446,174.66407192709028,75.36958019968587
0.11,43122.78094162866,1021.4119146488031,2.3189599050989035e-05,2.5919233506159782e-05,6.0493624529119905e-05,1.8370516893052383e-05,0.0028548012248786614,0.06415976527234316,3.1253118294417523e-09,1.7081956384300854e-09,4.511359026091316e-10,166.71877761709067,174.81138738646618,75.37496436283166
0.12,43123.56239579975,1020.827292058264,2.318917882575954e-05,2.590938924447362e-05,6.052009816053741e-05,1.8375887891729276e-05,0.002790516800091195,0.06400782456913205,3.159868237388819e-09,1.7269030027897926e-09,4.6058358231599513e-10,166.77681340523634,174.9491002752686,75.38012579195362
0.13,43124.545551011026,1020.2653434569346,2.3188650157881043e-05,2.5900024451116885e-05,6.054495692800849e-05,1.838096524685512e-05,0.0027305738594773843,0.06386302176260504,3.1925630741984253e-09,1.744602081190723e-09,4.697361167114252e-10,166.8318408031363,175.07850653512477,75.38508796353017
0.14,43125.70463237712,1019.7233564459805,2.3188026920938435e-05,2.589108132404585e-05,6.0568399852022864e-05,1.838578386884601e-05,0.002674401503918677,0.06372457109777312,3.2236170928154554e-09,1.7614124859960332e-09,4.786308905802269e-10,166.8842195729876,175.200632218678,75.38986985484858
0.15,43127.0202824124,1019.1992411484832,2.318731953776573e-05,2.5882515035180107e-05,6.0590580670969344e-05,1.83903705978344e-05,0.0026215508326895656,0.0635918602738575,3.253199858790587e-09,1.7774260936636035e-09,4.872960583949946e-10,166.93422764677723,175.31627039643863,75.39448566516253
0.16,43128.47317842711,1018.6910519675602,2.3186538411941754e-05,2.587428415668538e-05,6.061164212988076e-05,1.839475083355547e-05,0.0025716313260322,0.06346432360703835,3.2814721651960388e-09,1.7927300176715937e-09,4.957589890155916e-10,166.98212471038323,175.42615582177726,75.39895062626
0.17,43130.0497162635,1018.1973817583503,2.3185690871645797e-05,2.586635792644427e-05,6.063168945540513e-05,1.839894301329448e-05,0.002524340556973512,0.06334154172213263,3.3085504833898277e-09,1.8073873608904987e-09,5.040384600500374e-10,167.02810128146027,175.5308308594272,75.40327485617735
0.18,43131.73654575031,1017.7169364761505,2.318478410762082e-05,2.5858708340059197e-05,6.06508193243949e-05,1.8402964316955526e-05,0.002479413762284214,0.06322312992308143,3.334543490883783e-09,1.8214569993530316e-09,5.121522847747467e-10,167.07233296245755,175.6307929334066,75.40746868702878
0.19,43133.52226947572,1017.2486595898552,2.318382425976071e-05,2.585131209702387e-05,6.066911228319816e-05,1.8406829033149133e-05,0.0024366305013834486,0.06310876889749216,3.3595415380282574e-09,1.8349878791152329e-09,5.201147917309009e-10,167.11496566483058,175.72645628194155,75.41154068761925
0.2,43135.39743633754,1016.7917158352277,2.318281642068733e-05,2.5844150457264027e-05,6.0686633675397394e-05,1.841054865663364e-05,0.0023958081639843865,0.06299819915010711,3.3836171950904257e-09,1.8480193146297173e-09,5.279368493041948e-10,167.1561169321983,175.81815697430704,75.41549747691963
0.21,43137.3525215692,1016.3453244706523,2.3181765721482047e-05,2.583720592380264e-05,6.070344501865735e-05,1.8414134158548088e-05,0.0023567833295774564,0.06289117784409388,3.406839835706217e-09,1.8605888859827106e-09,5.356289612867657e-10,167.1958976605664,175.9062107758742,75.41934592862664
0.22,43139.3798378047,1015.9089133268094,2.3180676304568976e-05,2.5830465065418472e-05,6.071959418971714e-05,1.8417593915311604e-05,0.0023194227713064387,0.06278751681820056,3.42926226430479e-09,1.8727251987505413e-09,5.431981459750507e-10,167.23439283664564,175.9908634881353,75.42309081269305
0.23,43141.47176878284,1015.4819578400263,2.3179552273031163e-05,2.5823915562584026e-05,6.073512570615246e-05,1.8420935788927067e-05,0.0022836070180919793,0.06268704149530734,3.450934086238012e-09,1.8844551242657118e-09,5.506509375552863e-10,167.27168139617044,176.07234327137328,75.42673689301363
0.24,43143.62132236392,1015.0640328217507,2.3178397393397297e-05,2.5817547014032534e-05,6.0750077804824235e-05,1.8424166491057823e-05,0.0022492331871661045,0.06258960329146664,3.471897596569527e-09,1.895801573686215e-09,5.579923249305617e-10,167.30783036473704,176.15084586043687,75.43028815266143
0.25,43145.82221351862,1014.6548095773611,2.3177215051117415e-05,2.5811350955153892e-05,6.0764482482911835e-05,1.8427291562802698e-05,0.002216213176600304,0.06249507841816109,3.4921876220485536e-09,1.906783413019976e-09,5.652256961319785e-10,167.34289484226377,176.22653489412227,75.43374768271762
0.26,43148.068084287224,1014.2539838339698,2.3176008669647932e-05,2.580531945762714e-05,6.077837015470939e-05,1.843031632618918e-05,0.002184466660997873,0.062403349743601955,3.51183765293073e-09,1.91741878333146e-09,5.72354227792348e-10,167.3769271008491,176.2995655876097,75.43711866753962
0.27,43150.35327198006,1013.8613457800764,2.3174781297778067e-05,2.5799446389887912e-05,6.0791765401253656e-05,1.8433244975736085e-05,0.002153925766654922,0.06231432367862151,3.5308739636853602e-09,1.9277219176241813e-09,5.793794336660319e-10,167.40996809770226,176.37006321316488,75.44040332657993
0.28,43152.67212929329,1013.4767078060938,2.3173535974871202e-05,2.579372612628054e-05,6.080469130898602e-05,1.8436081475011858e-05,0.002124528551666471,0.062227912313115696,3.549321392370976e-09,1.9377062702989613e-09,5.863025568015714e-10,167.44205605926274,176.4381451851014,75.44360386644817
0.29,43155.019244117386,1013.0999278091725,2.3172275612791288e-05,2.578815390277784e-05,6.081716821399961e-05,1.8438829280496017e-05,0.00209622023075236,0.062144038894374316,3.567201551967512e-09,1.947383548703271e-09,5.93124082545306e-10,167.47322392448388,176.50391469877488,75.44672213979753
0.3,43157.38951628665,1012.73090839305,2.3171002954722783e-05,2.5782725845356914e-05,6.082921362057171e-05,1.8441491314132995e-05,0.002068952535205766,0.06206263754264934,3.5845326421094173e-09,1.9567636113951463e-09,5.998437028913161e-10,167.50349918525598,176.5674603810741,75.44975958133605
0.31,43159.77779875092,1012.3695628427589,2.316972076786134e-05,2.5777438318247604e-05,6.0840844341825664e-05,1.8444070408464562e-05,0.0020426807687718785,0.061983644952515606,3.6013323250397038e-09,1.965856025346076e-09,6.064609999455618e-10,167.5329081181806,176.62886715898745,75.45271768970969
