Position,Tv,Hv_CO2,Hv_H2O,Hv_N2,Hv_O2,Hv_T,Fv_T,Hvf,Hv_CO2_trn,Hv_H2O_trn,Hv_trn,qv,Hv_flux,dHvf_dz,dTv_dz,dHv_dT
0.0,316.75,704.1410379785631,625.3893654276433,541.9942263721795,549.6539462573205,563.2941633443093,20.39623552162238,11489.08042352576,-493.7645434004086,3707.4761239148957,3213.711580514487,51024.20091311981,54237.91249363429,54237.91249363429,494.09604984096757,30.378481560091917
0.01,320.92204327096897,865.5105587906477,765.9236526660171,663.6953330195337,673.7346899439609,690.9724249384371,20.681950747949475,14290.657660767973,-559.7173539920645,3810.359034603435,3250.6416806113702,36426.02704082637,39676.66872143774,39676.66872143774,346.9927680028921,30.45447611882732
0.02,323.88734969726164,980.9153142086101,865.8722026613405,750.2259687931623,762.091719095691,782.0812841100985,20.921131560005943,16362.025435485757,-594.7303859992178,3718.086674522064,3123.3562885228466,27227.008348603766,30350.36463712661,30350.36463712661,255.93169175356152,30.509980984031817
0.03,326.12326046903195,1068.3137640442303,941.2713470845102,815.4893624265908,828.8042106164003,850.9967352396227,21.127325035981126,17979.28462996628,-614.5823112074361,3565.92535102521,2951.3430398177743,21141.3110914656,24092.654131283372,24092.654131283372,196.51173979423683,30.552739189340826
0.04,327.87887782422933,1137.1633435813712,1000.4959735321623,866.7441477018979,881.239198736464,905.2497065511166,21.30887748899576,19289.855093847105,-626.3830949081796,3402.623604974102,2776.2405100659225,17010.887940147462,19787.128450213386,19787.128450213386,156.5966462715304,30.586881793050487
0.05,329.29494350767226,1192.839031512112,1048.280282949002,908.0926415400334,923.5663259269714,949.1052726768763,21.470806615410936,20378.055767312075,-633.7810178036721,3243.9018697489623,2610.1208519452903,14184.607042311483,16794.727894256772,16794.727894256772,129.4760584725353,30.61475081973565
0.06,330.4878102621646,1239.8365915484062,1088.542860157233,942.9285964672999,959.2448991856375,986.1097610771614,21.617556447523178,21317.28342353913,-638.9686319689501,3101.9213955000273,2462.952763531077,12117.77651070571,14580.729274236786,14580.729274236786,109.77519087788059,30.638209837254276
0.07,331.50903928005937,1280.1419385081622,1123.0195100481938,972.7556083490934,989.8063832488092,1017.8342036590766,21.751777162521254,22139.70278638451,-642.8907156957504,2974.7718971518075,2331.881181456057,10603.200212800828,12935.081394256886,12935.081394256886,95.39961620607508,30.65821315347526
0.08,332.40536808505874,1315.5706551897852,1153.2851464688881,998.9373302041523,1016.6426040213328,1045.7084063906843,21.875765788040066,22875.67218078723,-646.1840107182155,2863.0812942024672,2216.8972834842516,9441.656215229008,11658.55349871326,11658.55349871326,84.4196562805347,30.675566296232528
0.09,333.2051362903754,1347.224104049354,1180.294756504609,1022.3006369162335,1040.5976118762214,1070.6008251331364,21.99124874328725,23543.84905027138,-649.1424996087195,2765.33089813768,2116.1883985289605,8527.667720917496,10643.856119446456,10643.856119446456,75.80944705768822,30.690806446531933
0.1,333.9270697197411,1375.8303324352626,1204.6793801446652,1043.3919080267917,1062.229195334228,1093.0858038392807,22.0994696286289,24156.616523431592,-651.932452864011,2679.015587482711,2027.0831346187001,7795.935668900075,9823.018803518775,9823.018803518775,68.9347803334725,30.704303484117176
0.11,334.58742767493646,1402.0242179524369,1226.9872150176923,1062.6856876874199,1082.0223157981031,1113.6634228952137,22.201558087284877,24725.06317309259,-654.6313212882897,2603.2593761413373,1948.6280548530476,7191.089276051889,9139.717330904936,9139.717330904936,63.26922424864854,30.716375446251046
0.12,335.19572768612807,1426.176338707509,1247.539037026877,1080.4596995732686,1100.260599425396,1132.626482174828,22.298294322861175,25255.63865740119,-657.2668127400293,2535.899054756165,1878.6322420161355,6686.5687281307555,8565.20097014689,8565.20097014689,58.55439598558574,30.72723021676834
0.13,335.7606770851806,1448.6270664869173,1266.6284543217143,1096.9680918548424,1117.2038448827284,1150.2433692590816,22.390376739631396,25754.382379973787,-659.8410985693067,2475.8309791937268,1815.98988062442,6256.850595013349,8072.8404756377695,8072.8404756377695,54.548579549515324,30.737050315786448
0.14,336.2885645739857,1469.6221469005752,1284.4675083340687,1112.3944129210245,1133.039666936154,1166.7081668597489,22.47836585641986,26225.693022346382,-662.3340878267607,2421.949398421571,1759.6153105948104,5886.19760352645,7645.81291412126,7645.81291412126,51.1014314844713,30.745976182013422
0.15,336.78415644147583,1489.3478046304383,1301.216902745014,1126.8777741312147,1147.910253938559,1182.1680206615051,22.562696062386376,26672.897744858437,-664.7231762889124,2373.053630348825,1708.3304540599129,5563.125940008116,7271.456394068029,7271.456394068029,48.10341354283386,30.754116334842628
0.16,337.2517575123621,1507.9726663535114,1317.0218278589164,1140.5438400396183,1161.9441300893043,1196.7560764692726,22.643769473002738,27099.068710985444,-666.9723128861107,2328.5615706202425,1661.589257734132,5277.632602652518,6939.2218603866495,6939.2218603866495,45.46039522494467,30.76156824795444
0.17,337.69437815947043,1525.6143959699764,1331.983786003723,1153.48047424566,1175.2311112940422,1210.5654479241587,22.721884135926572,27506.327846688786,-669.0477994838677,2287.560301638712,1618.5125021548445,5023.663725778602,6642.176227933447,6642.176227933447,43.114414466618506,30.768404606775036
0.18,338.1148093474633,1542.382351489279,1346.1969105109629,1165.7691502136013,1187.8545312991128,1223.682565358819,22.797311687440146,27896.672848971342,-670.9116694104825,2249.5134154899574,1578.6017460794749,4795.329184361884,6373.930930441358,6373.930930441358,41.0102424795612,30.774691051413246
0.19,338.5152669650485,1558.3633157071617,1359.7359331185628,1177.4745513285486,1199.880542833338,1236.1761140050316,22.87027803354451,28271.69142572169,-672.5243981270705,2213.9188262884745,1541.394428161404,4588.542754016015,6129.937182177419,6129.937182177419,39.10922153183098,30.780482065873304
0.2,338.89755269714476,1573.6278199175529,1372.6616123390643,1188.6492682144662,1211.3629258625476,1248.1019456308968,22.94096461499436,28632.66257062402,-673.8493097762657,2180.2305153815705,1506.3812056053048,4399.960661484807,5906.341867090112,5906.341867090112,37.379854470298824,30.785822617882005
0.21,339.2633302969603,1588.2411132445911,1385.0300678834951,1199.3418713280178,1222.3513709908414,1259.5117105754293,23.00954103752481,28980.786391728412,-674.8467356190789,2148.160458555462,1473.3137229363829,4226.611817631467,5699.92554056785,5699.92554056785,35.794420078559455,30.790754191735495
0.22,339.6138642969166,1602.2526816323982,1396.8839408251097,1209.5892706533973,1232.8836199824698,1270.4446696878183,23.076137128792002,29316.955412258954,-675.4807346930155,2117.2804570321714,1441.7997223391558,4066.445795409708,5508.245517748864,5508.245517748864,34.33353683225338,30.795310182046126
0.23,339.95033988722366,1615.7089879276004,1408.2632056537634,1219.4260644988462,1242.9950659528897,1280.9376546680805,23.140872033550362,29642.014349630175,-675.7152953767131,2087.321620767342,1411.606325390629,3917.4398443460746,5329.046169736704,5329.046169736704,32.97842402164291,30.79952141427714
0.24,340.2737424132116,1628.648630038515,1419.201092543685,1228.8810154631567,1252.7151267495606,1291.0213163434469,23.203846198563195,29956.66006349994,-675.5157632507583,2058.0344150459796,1382.5186517952213,3778.1034985691617,5160.622150364383,5160.622150364383,31.715112758759915,30.803414742403973
0.25,340.58490280997876,1641.104131946651,1429.7256209955422,1237.9783773350377,1262.0686041213507,1300.7215090135428,23.265141138217828,30261.469488715746,-674.8506687428439,2029.1444113548635,1354.2937426120195,3647.1409446774824,5001.434687289502,5001.434687289502,30.531525794506898,30.807013396457695
0.26,340.8845983178798,1653.1059566841943,1439.863004313946,1246.7408387233245,1271.078706803949,1310.0624489234754,23.32483324708817,30556.988164412025,-673.6891031306841,2000.5025505510428,1326.8134474203587,3523.3897443150076,4850.203191735366,4850.203191735366,29.416900297293672,30.81033923390924
0.27,341.17344736501155,1664.6782833497477,1449.6340924637282,1255.186448944731,1279.7638870679298,1319.063415815103,23.382981299640857,30843.635185044946,-672.0040266471283,1971.892283186132,1299.8882565390038,3405.9963468228148,4705.884603361818,4705.884603361818,28.363235488709368,30.81341088072678
0.28,341.4520345149538,1675.8439978578854,1459.058597038652,1263.3322705408334,1288.141594075922,1327.7426509164313,23.43963919641034,31121.808683166557,-669.7704806255567,1943.1770441372187,1273.406563511662,3294.1110740106137,4567.517637522275,4567.517637522275,27.36269293089004,30.816245853907372
0.29,341.72086018954576,1686.6226699081294,1468.1533895288499,1271.1929087718402,1296.2267600554462,1336.1157914166429,23.49485242406249,31391.843340793483,-666.9664507355079,1914.2342575457956,1247.2678068102878,3187.094622420919,4434.362429231207,4434.362429231207,26.409301604908237,30.818860000015874
