Run #,lean_flow_rate,vapor_flow_rate,CO2_loading,w_MEA,y_CO2,T_liq,T_vap,P,Beds,VLE-bic_k_eq_coeff_1,VLE-bic_k_eq_coeff_2,VLE-bic_k_eq_coeff_3,VLE-car_k_eq_coeff_1,VLE-car_k_eq_coeff_2,VLE-car_k_eq_coeff_3,VLE-lwm_coeff_1,VLE-lwm_coeff_2,VLE-lwm_coeff_3,VLE-lwm_coeff_4,surface_tension-surf_tens_CO2_coeff_1,surface_tension-surf_tens_CO2_coeff_2,surface_tension-surf_tens_CO2_coeff_3,surface_tension-surf_tens_CO2_coeff_4,surface_tension-surf_tens_CO2_coeff_5,surface_tension-surf_tens_CO2_coeff_6,surface_tension-surf_tens_F_coeff_a,surface_tension-surf_tens_F_coeff_b,surface_tension-surf_tens_F_coeff_c,surface_tension-surf_tens_F_coeff_d,surface_tension-surf_tens_F_coeff_e,surface_tension-surf_tens_F_coeff_f,surface_tension-surf_tens_F_coeff_g,surface_tension-surf_tens_F_coeff_h,surface_tension-surf_tens_F_coeff_i,surface_tension-surf_tens_F_coeff_j,molar_volume-vol_mol_liq_comp_coeff_a,molar_volume-vol_mol_liq_comp_coeff_b,molar_volume-vol_mol_liq_comp_coeff_c,molar_volume-vol_mol_liq_comp_coeff_d,molar_volume-vol_mol_liq_comp_coeff_e,viscosity-visc_d_coeff_a,viscosity-visc_d_coeff_b,viscosity-visc_d_coeff_c,viscosity-visc_d_coeff_d,viscosity-visc_d_coeff_e,viscosity-visc_d_coeff_f,viscosity-visc_d_coeff_g
11,2.24,0.6628,0.2664,0.2966,0.0999,314.3613,317,107560,1,366.061868,-13326.25411,-55.68643292,164.039636,-707.0056712,-26.40136817,-3.1549,0.0355,-0.00032721,-0.111102655,-0.005899349,0.001750205,0.129650183,1.26E-05,-5.74E-06,-0.00018969,1070.656683,-2578.781342,3399.241133,-2352.474101,2960.247537,3.066848949,-1.794353728,-7.212421908,2.975023224,-10.57385293,-10.57920122,-2.020494157,3.15067933,192.0126008,-695.3848617,-0.085404188,2.729133736,35.11588925,1805.527599,0.007160257,0.01064884,-0.085404188
12,1.4888,0.5607,0.1223,0.3057,0.0911,316.6602,317,107560,1,366.061868,-13326.25411,-55.68643292,164.039636,-707.0056712,-26.40136817,-2.7714,0.0485,-0.00032721,-0.111102655,-0.005899349,0.001750205,0.129650183,1.26E-05,-5.74E-06,-0.00018969,1070.656683,-2578.781342,3399.241133,-2352.474101,2960.247537,3.066848949,-1.794353728,-7.212421908,2.975023224,-10.57385293,-10.57920122,-2.020494157,3.15067933,192.0126008,-695.3848617,-0.085404188,2.729133736,35.11588925,1805.527599,0.007160257,0.01064884,-0.085404188
13,1.0197,0.483,0.1248,0.2782,0.1077,314.6431,317,107560,1,366.061868,-13326.25411,-55.68643292,164.039636,-707.0056712,-26.40136817,-2.8574,0.0517,-0.00032721,-0.111102655,-0.005899349,0.001750205,0.129650183,1.26E-05,-5.74E-06,-0.00018969,1070.656683,-2578.781342,3399.241133,-2352.474101,2960.247537,3.066848949,-1.794353728,-7.212421908,2.975023224,-10.57385293,-10.57920122,-2.020494157,3.15067933,192.0126008,-695.3848617,-0.085404188,2.729133736,35.11588925,1805.527599,0.007160257,0.01064884,-0.085404188
14,1.2361,0.7437,0.2695,0.3246,0.1079,315.1177,317,107560,1,366.061868,-13326.25411,-55.68643292,164.039636,-707.0056712,-26.40136817,-2.1665,0.0257,-0.00032721,-0.111102655,-0.005899349,0.001750205,0.129650183,1.26E-05,-5.74E-06,-0.00018969,1070.656683,-2578.781342,3399.241133,-2352.474101,2960.247537,3.066848949,-1.794353728,-7.212421908,2.975023224,-10.57385293,-10.57920122,-2.020494157,3.15067933,192.0126008,-695.3848617,-0.085404188,2.729133736,35.11588925,1805.527599,0.007160257,0.01064884,-0.085404188
15,1.062,0.4538,0.1959,0.2871,0.1053,319.8172,317,107560,1,366.061868,-13326.25411,-55.68643292,164.039636,-707.0056712,-26.40136817,-2.0493,0.028,-0.00032721,-0.111102655,-0.005899349,0.001750205,0.129650183,1.26E-05,-5.74E-06,-0.00018969,1070.656683,-2578.781342,3399.241133,-2352.474101,2960.247537,3.066848949,-1.794353728,-7.212421908,2.975023224,-10.57385293,-10.57920122,-2.020494157,3.15067933,192.0126008,-695.3848617,-0.085404188,2.729133736,35.11588925,1805.527599,0.007160257,0.01064884,-0.085404188
16,1.4168,0.5255,0.2764,0.2735,0.1017,318.0043,317,107560,1,366.061868,-13326.25411,-55.68643292,164.039636,-707.0056712,-26.40136817,-2.7497,0.024,-0.00032721,-0.111102655,-0.005899349,0.001750205,0.129650183,1.26E-05,-5.74E-06,-0.00018969,1070.656683,-2578.781342,3399.241133,-2352.474101,2960.247537,3.066848949,-1.794353728,-7.212421908,2.975023224,-10.57385293,-10.57920122,-2.020494157,3.15067933,192.0126008,-695.3848617,-0.085404188,2.729133736,35.11588925,1805.527599,0.007160257,0.01064884,-0.085404188
17,1.0461,0.4817,0.1032,0.3038,0.1045,319.6317,317,107560,1,366.061868,-13326.25411,-55.68643292,164.039636,-707.0056712,-26.40136817,-2.3733,0.0206,-0.00032721,-0.111102655,-0.005899349,0.001750205,0.129650183,1.26E-05,-5.74E-06,-0.00018969,1070.656683,-2578.781342,3399.241133,-2352.474101,2960.247537,3.066848949,-1.794353728,-7.212421908,2.975023224,-10.57385293,-10.57920122,-2.020494157,3.15067933,192.0126008,-695.3848617,-0.085404188,2.729133736,35.11588925,1805.527599,0.007160257,0.01064884,-0.085404188
18,1.8159,0.6561,0.2323,0.2708,0.1035,316.2167,317,107560,1,366.061868,-13326.25411,-55.68643292,164.039636,-707.0056712,-26.40136817,-1.7273,0.0349,-0.00032721,-0.111102655,-0.005899349,0.001750205,0.129650183,1.26E-05,-5.74E-06,-0.00018969,1070.656683,-2578.781342,3399.241133,-2352.474101,2960.247537,3.066848949,-1.794353728,-7.212421908,2.975023224,-10.57385293,-10.57920122,-2.020494157,3.15067933,192.0126008,-695.3848617,-0.085404188,2.729133736,35.11588925,1805.527599,0.007160257,0.01064884,-0.085404188
19,1.0527,0.5095,0.2732,0.3134,0.1002,317.0385,317,107560,1,366.061868,-13326.25411,-55.68643292,164.039636,-707.0056712,-26.40136817,-1.4859,0.0398,-0.00032721,-0.111102655,-0.005899349,0.001750205,0.129650183,1.26E-05,-5.74E-06,-0.00018969,1070.656683,-2578.781342,3399.241133,-2352.474101,2960.247537,3.066848949,-1.794353728,-7.212421908,2.975023224,-10.57385293,-10.57920122,-2.020494157,3.15067933,192.0126008,-695.3848617,-0.085404188,2.729133736,35.11588925,1805.527599,0.007160257,0.01064884,-0.085404188
20,2.1694,0.783,0.2115,0.3017,0.0958,319.0268,317,107560,1,366.061868,-13326.25411,-55.68643292,164.039636,-707.0056712,-26.40136817,-0.7482,0.029,-0.00032721,-0.111102655,-0.005899349,0.001750205,0.129650183,1.26E-05,-5.74E-06,-0.00018969,1070.656683,-2578.781342,3399.241133,-2352.474101,2960.247537,3.066848949,-1.794353728,-7.212421908,2.975023224,-10.57385293,-10.57920122,-2.020494157,3.15067933,192.0126008,-695.3848617,-0.085404188,2.729133736,35.11588925,1805.527599,0.007160257,0.01064884,-0.085404188
21,1.1258,0.5207,0.2947,0.3054,0.0951,315.6413,317,107560,1,366.061868,-13326.25411,-55.68643292,164.039636,-707.0056712,-26.40136817,-2.2359,0.0306,-0.00032721,-0.111102655,-0.005899349,0.001750205,0.129650183,1.26E-05,-5.74E-06,-0.00018969,1070.656683,-2578.781342,3399.241133,-2352.474101,2960.247537,3.066848949,-1.794353728,-7.212421908,2.975023224,-10.57385293,-10.57920122,-2.020494157,3.15067933,192.0126008,-695.3848617,-0.085404188,2.729133736,35.11588925,1805.527599,0.007160257,0.01064884,-0.085404188
22,1.3654,0.6597,0.2861,0.2778,0.1087,314.8711,317,107560,1,366.061868,-13326.25411,-55.68643292,164.039636,-707.0056712,-26.40136817,-1.716,0.0482,-0.00032721,-0.111102655,-0.005899349,0.001750205,0.129650183,1.26E-05,-5.74E-06,-0.00018969,1070.656683,-2578.781342,3399.241133,-2352.474101,2960.247537,3.066848949,-1.794353728,-7.212421908,2.975023224,-10.57385293,-10.57920122,-2.020494157,3.15067933,192.0126008,-695.3848617,-0.085404188,2.729133736,35.11588925,1805.527599,0.007160257,0.01064884,-0.085404188
23,1.1441,0.6404,0.2403,0.3081,0.0946,320.9746,317,107560,1,366.061868,-13326.25411,-55.68643292,164.039636,-707.0056712,-26.40136817,-1.326,0.0318,-0.00032721,-0.111102655,-0.005899349,0.001750205,0.129650183,1.26E-05,-5.74E-06,-0.00018969,1070.656683,-2578.781342,3399.241133,-2352.474101,2960.247537,3.066848949,-1.794353728,-7.212421908,2.975023224,-10.57385293,-10.57920122,-2.020494157,3.15067933,192.0126008,-695.3848617,-0.085404188,2.729133736,35.11588925,1805.527599,0.007160257,0.01064884,-0.085404188
24,1.4068,0.7853,0.2406,0.2815,0.1073,319.4658,317,107560,1,366.061868,-13326.25411,-55.68643292,164.039636,-707.0056712,-26.40136817,-2.9397,0.0433,-0.00032721,-0.111102655,-0.005899349,0.001750205,0.129650183,1.26E-05,-5.74E-06,-0.00018969,1070.656683,-2578.781342,3399.241133,-2352.474101,2960.247537,3.066848949,-1.794353728,-7.212421908,2.975023224,-10.57385293,-10.57920122,-2.020494157,3.15067933,192.0126008,-695.3848617,-0.085404188,2.729133736,35.11588925,1805.527599,0.007160257,0.01064884,-0.085404188
25,1.7116,0.6391,0.277,0.2891,0.105,316.5178,317,107560,1,366.061868,-13326.25411,-55.68643292,164.039636,-707.0056712,-26.40136817,-2.0988,0.0411,-0.00032721,-0.111102655,-0.005899349,0.001750205,0.129650183,1.26E-05,-5.74E-06,-0.00018969,1070.656683,-2578.781342,3399.241133,-2352.474101,2960.247537,3.066848949,-1.794353728,-7.212421908,2.975023224,-10.57385293,-10.57920122,-2.020494157,3.15067933,192.0126008,-695.3848617,-0.085404188,2.729133736,35.11588925,1805.527599,0.007160257,0.01064884,-0.085404188
26,1.2766,0.4885,0.1158,0.3072,0.0985,316.1773,317,107560,1,366.061868,-13326.25411,-55.68643292,164.039636,-707.0056712,-26.40136817,-2.822,0.0383,-0.00032721,-0.111102655,-0.005899349,0.001750205,0.129650183,1.26E-05,-5.74E-06,-0.00018969,1070.656683,-2578.781342,3399.241133,-2352.474101,2960.247537,3.066848949,-1.794353728,-7.212421908,2.975023224,-10.57385293,-10.57920122,-2.020494157,3.15067933,192.0126008,-695.3848617,-0.085404188,2.729133736,35.11588925,1805.527599,0.007160257,0.01064884,-0.085404188
27,1.6015,0.7109,0.1193,0.2896,0.0917,315.9491,317,107560,1,366.061868,-13326.25411,-55.68643292,164.039636,-707.0056712,-26.40136817,-2.1281,0.0288,-0.00032721,-0.111102655,-0.005899349,0.001750205,0.129650183,1.26E-05,-5.74E-06,-0.00018969,1070.656683,-2578.781342,3399.241133,-2352.474101,2960.247537,3.066848949,-1.794353728,-7.212421908,2.975023224,-10.57385293,-10.57920122,-2.020494157,3.15067933,192.0126008,-695.3848617,-0.085404188,2.729133736,35.11588925,1805.527599,0.007160257,0.01064884,-0.085404188
28,1.1566,0.6505,0.237,0.3237,0.1046,314.9682,317,107560,1,366.061868,-13326.25411,-55.68643292,164.039636,-707.0056712,-26.40136817,-1.8226,0.0426,-0.00032721,-0.111102655,-0.005899349,0.001750205,0.129650183,1.26E-05,-5.74E-06,-0.00018969,1070.656683,-2578.781342,3399.241133,-2352.474101,2960.247537,3.066848949,-1.794353728,-7.212421908,2.975023224,-10.57385293,-10.57920122,-2.020494157,3.15067933,192.0126008,-695.3848617,-0.085404188,2.729133736,35.11588925,1805.527599,0.007160257,0.01064884,-0.085404188
29,2.0635,0.7337,0.2309,0.2968,0.0982,315.9831,317,107560,1,366.061868,-13326.25411,-55.68643292,164.039636,-707.0056712,-26.40136817,-2.1112,0.0294,-0.00032721,-0.111102655,-0.005899349,0.001750205,0.129650183,1.26E-05,-5.74E-06,-0.00018969,1070.656683,-2578.781342,3399.241133,-2352.474101,2960.247537,3.066848949,-1.794353728,-7.212421908,2.975023224,-10.57385293,-10.57920122,-2.020494157,3.15067933,192.0126008,-695.3848617,-0.085404188,2.729133736,35.11588925,1805.527599,0.007160257,0.01064884,-0.085404188
30,1.9907,0.6793,0.1414,0.326,0.1034,320.1624,317,107560,1,366.061868,-13326.25411,-55.68643292,164.039636,-707.0056712,-26.40136817,-1.3438,0.0408,-0.00032721,-0.111102655,-0.005899349,0.001750205,0.129650183,1.26E-05,-5.74E-06,-0.00018969,1070.656683,-2578.781342,3399.241133,-2352.474101,2960.247537,3.066848949,-1.794353728,-7.212421908,2.975023224,-10.57385293,-10.57920122,-2.020494157,3.15067933,192.0126008,-695.3848617,-0.085404188,2.729133736,35.11588925,1805.527599,0.007160257,0.01064884,-0.085404188
31,2.3457,0.6705,0.2031,0.3034,0.1097,318.4018,317,107560,1,366.061868,-13326.25411,-55.68643292,164.039636,-707.0056712,-26.40136817,-3.4218,0.048,-0.00032721,-0.111102655,-0.005899349,0.001750205,0.129650183,1.26E-05,-5.74E-06,-0.00018969,1070.656683,-2578.781342,3399.241133,-2352.474101,2960.247537,3.066848949,-1.794353728,-7.212421908,2.975023224,-10.57385293,-10.57920122,-2.020494157,3.15067933,192.0126008,-695.3848617,-0.085404188,2.729133736,35.11588925,1805.527599,0.007160257,0.01064884,-0.085404188
32,1.138,0.7736,0.1583,0.3004,0.0901,317.7918,317,107560,1,366.061868,-13326.25411,-55.68643292,164.039636,-707.0056712,-26.40136817,-3.0582,0.0391,-0.00032721,-0.111102655,-0.005899349,0.001750205,0.129650183,1.26E-05,-5.74E-06,-0.00018969,1070.656683,-2578.781342,3399.241133,-2352.474101,2960.247537,3.066848949,-1.794353728,-7.212421908,2.975023224,-10.57385293,-10.57920122,-2.020494157,3.15067933,192.0126008,-695.3848617,-0.085404188,2.729133736,35.11588925,1805.527599,0.007160257,0.01064884,-0.085404188
33,2.415,0.764,0.1395,0.3265,0.1049,318.2202,317,107560,1,366.061868,-13326.25411,-55.68643292,164.039636,-707.0056712,-26.40136817,-1.4447,0.0286,-0.00032721,-0.111102655,-0.005899349,0.001750205,0.129650183,1.26E-05,-5.74E-06,-0.00018969,1070.656683,-2578.781342,3399.241133,-2352.474101,2960.247537,3.066848949,-1.794353728,-7.212421908,2.975023224,-10.57385293,-10.57920122,-2.020494157,3.15067933,192.0126008,-695.3848617,-0.085404188,2.729133736,35.11588925,1805.527599,0.007160257,0.01064884,-0.085404188
34,1.9256,0.6886,0.1735,0.2944,0.091,320.8774,317,107560,1,366.061868,-13326.25411,-55.68643292,164.039636,-707.0056712,-26.40136817,-3.2607,0.0434,-0.00032721,-0.111102655,-0.005899349,0.001750205,0.129650183,1.26E-05,-5.74E-06,-0.00018969,1070.656683,-2578.781342,3399.241133,-2352.474101,2960.247537,3.066848949,-1.794353728,-7.212421908,2.975023224,-10.57385293,-10.57920122,-2.020494157,3.15067933,192.0126008,-695.3848617,-0.085404188,2.729133736,35.11588925,1805.527599,0.007160257,0.01064884,-0.085404188
35,1.1789,0.4827,0.2105,0.3057,0.099,321.1867,317,107560,1,366.061868,-13326.25411,-55.68643292,164.039636,-707.0056712,-26.40136817,-1.9941,0.0436,-0.00032721,-0.111102655,-0.005899349,0.001750205,0.129650183,1.26E-05,-5.74E-06,-0.00018969,1070.656683,-2578.781342,3399.241133,-2352.474101,2960.247537,3.066848949,-1.794353728,-7.212421908,2.975023224,-10.57385293,-10.57920122,-2.020494157,3.15067933,192.0126008,-695.3848617,-0.085404188,2.729133736,35.11588925,1805.527599,0.007160257,0.01064884,-0.085404188
36,1.3153,0.5513,0.2243,0.2766,0.0974,320.5379,317,107560,1,366.061868,-13326.25411,-55.68643292,164.039636,-707.0056712,-26.40136817,-2.6367,0.0364,-0.00032721,-0.111102655,-0.005899349,0.001750205,0.129650183,1.26E-05,-5.74E-06,-0.00018969,1070.656683,-2578.781342,3399.241133,-2352.474101,2960.247537,3.066848949,-1.794353728,-7.212421908,2.975023224,-10.57385293,-10.57920122,-2.020494157,3.15067933,192.0126008,-695.3848617,-0.085404188,2.729133736,35.11588925,1805.527599,0.007160257,0.01064884,-0.085404188
37,1.7765,0.5534,0.2295,0.2858,0.0933,318.8636,317,107560,1,366.061868,-13326.25411,-55.68643292,164.039636,-707.0056712,-26.40136817,-1.0082,0.036,-0.00032721,-0.111102655,-0.005899349,0.001750205,0.129650183,1.26E-05,-5.74E-06,-0.00018969,1070.656683,-2578.781342,3399.241133,-2352.474101,2960.247537,3.066848949,-1.794353728,-7.212421908,2.975023224,-10.57385293,-10.57920122,-2.020494157,3.15067933,192.0126008,-695.3848617,-0.085404188,2.729133736,35.11588925,1805.527599,0.007160257,0.01064884,-0.085404188
38,1.2108,0.7531,0.2528,0.2975,0.0986,315.2623,317,107560,1,366.061868,-13326.25411,-55.68643292,164.039636,-707.0056712,-26.40136817,-0.67,0.0377,-0.00032721,-0.111102655,-0.005899349,0.001750205,0.129650183,1.26E-05,-5.74E-06,-0.00018969,1070.656683,-2578.781342,3399.241133,-2352.474101,2960.247537,3.066848949,-1.794353728,-7.212421908,2.975023224,-10.57385293,-10.57920122,-2.020494157,3.15067933,192.0126008,-695.3848617,-0.085404188,2.729133736,35.11588925,1805.527599,0.007160257,0.01064884,-0.085404188
