check,state,item,exact,reference,defect,criterion,status
N1,S1,element C,21.890884699999994,21.8908847,3.245838372900937e-16,1e-12,pass
N1,S1,element H,222.05535970000003,222.0553597,1.2799380059460013e-16,1e-12,pass
N1,S1,element N,9.729282099999999,9.7292821,1.8257840826716806e-16,1e-12,pass
N1,S1,element O,91.56911560000002,91.5691156,1.5519266099804944e-16,1e-12,pass
N1,S1,mass,2.0880555535684002,2.0880555535684002,0.0,1e-12,pass
N1,S1,charge,3.63448962766022e-15,0.0,7.043249015246704e-16,1e-12,pass
N1,S1,max classified row residual,2.4466398752932526e-14,0.0,2.4466398752932526e-14,1e-07,pass
N1,S1,liquid pressure root (Liquid),48181.96397179935,48181.96397179973,7.852519174166173e-15,1e-08,pass
N1,S1,f=aRT rho0 vs x phi P: carbon-dioxide,39.83289392839852,39.83289392808656,7.831634911370341e-12,1e-10,pass
N1,S1,f=aRT rho0 vs x phi P: water,8385.494095546446,8385.494095480764,7.83279883388572e-12,1e-10,pass
N2,S1@-0.2,sum x_i D ln a_i[v] / (1e-12 scale); central_residual 1.82e-14 floor 1.81e-10,3.1846050183850436e-15,0.0,3.1846050183850436e-15,1e-12,pass
N2,S1@-0.2,control: ionic terms dropped [v],-0.04058406748367195,0.0,0.04058406748367195,1e-12,control-fails
N2,S1@-0.2,sum x_i D ln a_i[e_MEA] / (1e-12 scale); central_residual 1.82e-14 floor 1.81e-10,-5.861695635104333e-16,0.0,5.861695635104333e-16,1e-12,pass
N2,S1@-0.2,control: ionic terms dropped [e_MEA],0.0011138599767214121,0.0,0.0011138599767214121,1e-12,control-fails
N2,S1@-0.2,sum x_i D ln a_i[e_H2O] / (1e-12 scale); central_residual 1.82e-14 floor 1.81e-10,5.285357212435766e-17,0.0,5.285357212435766e-17,1e-12,pass
N2,S1@-0.2,control: ionic terms dropped [e_H2O],0.00038644930378382955,0.0,0.00038644930378382955,1e-12,control-fails
N3,S1@-0.2,t:carbon-dioxide,3.5527800438769237,3.5527800429830356,2.516024250394415e-10,5e-06,pass
N3,S1@-0.2,t:monoethanolamine,-0.9079584958935778,-0.907958495282409,6.731241406008987e-10,5e-06,pass
N3,S1@-0.2,t:water,0.0228479163303621,0.022847916344896173,6.361224211125761e-10,5e-06,pass
N3,S1@-0.2,t:protonated-monoethanolamine,0.8814166333095855,0.8814166333451112,4.030522247265467e-11,5e-06,pass
N3,S1@-0.2,t:carbamate-anion,0.8554464187801776,0.8554464190192826,2.79509112156502e-10,5e-06,pass
N3,S1@-0.2,t:bicarbonate-anion,1.7862528310041186,1.7862528306764602,1.8343335233041686e-10,5e-06,pass
N3,S1@-0.2,t:carbonate-anion,-0.003122298199045526,-0.0031222980017749555,6.318120754734215e-08,5e-06,pass
N3,S1@-0.2,t:hydronium-cation,1.8122230455335269,1.8122230450169734,2.8503857068833976e-10,5e-06,pass
N3,S1@-0.2,t:hydroxide-anion,-1.7665272128728038,-1.7665272123011277,3.236157561990234e-10,5e-06,pass
N3,S1@-0.2,control: t:carbon-dioxide set to zero,0.0,3.5527800429830356,1.0,5e-06,control-fails
N4,S1@-0.2,dt/de_T:carbon-dioxide,0.0006198400951254577,0.0006198400951784588,8.550772238520166e-11,5e-05,pass
N4,S1@-0.2,dt/de_T:monoethanolamine,0.0007138532176953194,0.0007138532177224562,3.801456764791406e-11,5e-05,pass
N4,S1@-0.2,dt/de_T:water,-0.00010626330768294359,-0.0001062633076973132,1.3522644203057798e-10,5e-05,pass
N4,S1@-0.2,dt/de_T:protonated-monoethanolamine,-0.0008903446817561197,-0.0008903446817893715,3.734714295366937e-11,5e-05,pass
N4,S1@-0.2,dt/de_T:carbamate-anion,0.0029378912122723336,0.002937891212452156,6.12079515127459e-11,5e-05,pass
N4,S1@-0.2,dt/de_T:bicarbonate-anion,0.00211777468689397,0.002117774687023418,6.112458626343044e-11,5e-05,pass
N4,S1@-0.2,dt/de_T:carbonate-anion,0.0037219725863456327,0.003721972586550606,5.5071117917046654e-11,5e-05,pass
N4,S1@-0.2,dt/de_T:hydronium-cation,-0.0017104612071343046,-0.0017104612072268062,5.407987441072882e-11,5e-05,pass
N4,S1@-0.2,dt/de_T:hydroxide-anion,0.0014979345917685292,0.0014979345918340419,4.373535385933617e-11,5e-05,pass
N4,S1@-0.2,control: dt/de_T:carbonate-anion set to zero,0.0,0.003721972586550606,1.0,5e-05,control-fails
N4,S1@-0.2,dt/de_P:carbon-dioxide,1.5994268352889944e-09,1.5994267399399573e-09,5.96145037295506e-08,5e-05,pass
N4,S1@-0.2,dt/de_P:monoethanolamine,-3.5390063878725013e-10,-3.5390057782451006e-10,1.7225948016004423e-07,5e-05,pass
N4,S1@-0.2,dt/de_P:water,3.3527114334847104e-12,3.352739584803569e-12,8.396512209417791e-06,5e-05,pass
N4,S1@-0.2,dt/de_P:protonated-monoethanolamine,1.6088652620974713e-10,1.608865621283151e-10,2.232539964290987e-07,5e-05,pass
N4,S1@-0.2,dt/de_P:carbamate-anion,7.307390315085012e-10,7.307390469576032e-10,2.1141749750879925e-08,5e-05,pass
N4,S1@-0.2,dt/de_P:bicarbonate-anion,1.0879923817287981e-09,1.0879923728612797e-09,8.15034975478735e-09,5e-05,pass
N4,S1@-0.2,dt/de_P:carbonate-anion,5.73205216730049e-10,5.732052384599309e-10,3.790942652326941e-08,5e-05,pass
N4,S1@-0.2,dt/de_P:hydronium-cation,5.181398764286675e-10,5.181398741542036e-10,4.389671584101742e-09,5e-05,pass
N4,S1@-0.2,dt/de_P:hydroxide-anion,-5.114344535596958e-10,-5.114343785509826e-10,1.4666339491250674e-07,5e-05,pass
N4,S1@-0.2,control: dt/de_P:carbon-dioxide set to zero,0.0,1.5994267399399573e-09,1.0,5e-05,control-fails
N4,S1@-0.2,dt/de_CO2:carbon-dioxide,1.4139524738509874,1.4139524738523672,9.75835610121228e-13,5e-05,pass
N4,S1@-0.2,dt/de_CO2:monoethanolamine,-0.7026454616694927,-0.7026454616669371,3.6371435094912065e-12,5e-05,pass
N4,S1@-0.2,dt/de_CO2:water,0.006075838815346795,0.006075838814969213,6.214491946570413e-11,5e-05,pass
N4,S1@-0.2,dt/de_CO2:protonated-monoethanolamine,0.046434904814252886,0.046434904815893525,3.53320206004208e-11,5e-05,pass
N4,S1@-0.2,dt/de_CO2:carbamate-anion,-0.03777335430225448,-0.037773354296361646,1.560050713012742e-10,5e-05,pass
N4,S1@-0.2,dt/de_CO2:bicarbonate-anion,0.6709479461825862,0.6709479461849662,3.547197828716263e-12,5e-05,pass
N4,S1@-0.2,dt/de_CO2:carbonate-anion,-0.07813242030116,-0.07813242029726221,4.988690811852323e-11,5e-05,pass
N4,S1@-0.2,dt/de_CO2:hydronium-cation,0.7551562052990938,0.7551562052970672,2.6836846402501417e-12,5e-05,pass
N4,S1@-0.2,dt/de_CO2:hydroxide-anion,-0.7430045276683998,-0.7430045276674567,1.2692028137108148e-12,5e-05,pass
N4,S1@-0.2,control: dt/de_CO2:carbon-dioxide set to zero,0.0,1.4139524738523672,1.0,5e-05,control-fails
N4,S1@-0.2,control: chain term D ln a[e_CO2] omitted,,,1.888332430900173,5e-05,control-fails
N4,S1@-0.2,dt/de_MEA:carbon-dioxide,-0.24670924307520162,-0.24670924291814766,6.365953347277574e-10,5e-05,pass
N4,S1@-0.2,dt/de_MEA:monoethanolamine,0.12469913120497207,0.12469913111125319,7.515600066596137e-10,5e-05,pass
N4,S1@-0.2,dt/de_MEA:water,0.002416702040597274,0.0024167020403008713,1.2264758103476628e-10,5e-05,pass
N4,S1@-0.2,dt/de_MEA:protonated-monoethanolamine,-0.004820090853262272,-0.004820090857266908,8.308216901075282e-10,5e-05,pass
N4,S1@-0.2,dt/de_MEA:carbamate-anion,0.007509110188005312,0.007509110161692974,3.5040553496405658e-09,5e-05,pass
N4,S1@-0.2,dt/de_MEA:bicarbonate-anion,-0.1147733189763695,-0.11477331890925761,5.847342055793599e-10,5e-05,pass
N4,S1@-0.2,dt/de_MEA:carbonate-anion,0.014745903081864777,0.01474590305925451,1.5333252880095936e-09,5e-05,pass
N4,S1@-0.2,dt/de_MEA:hydronium-cation,-0.12710252001763706,-0.12710251992824448,7.033108128924668e-10,5e-05,pass
