legacy_case_id,appendix_style_case_id,appendix_case_source,case_group,lean_solvent_flow_kg_hr,lean_solvent_flow_kg_s,lean_solvent_temperature_C,lean_solvent_temperature_K,lean_loading_mol_co2_per_mol_mea,lean_mea_weight_fraction,gas_flow_kg_hr,gas_flow_kg_s,gas_temperature_C,gas_temperature_K,inlet_co2_mol_percent,inlet_co2_mole_fraction,pressure_kPa,pressure_Pa,beds,intercoolers,source_table,capture_liquid_side_pct,capture_gas_side_pct,morgan_original_model_capture_pct,morgan_uncertainty_model_capture_pct,capture_source_table,L,G,alpha,w_MEA,y_CO2,Tl,Tv,P,package_capture_gas_side_pct
K14,13A,mapped from 2018 K-row by bed/intercooler group and Appendix-C ordering,A: three beds with two intercoolers,8845.0,2.4569444444444444,40.41,313.55999999999995,0.224,0.303,2895.0,0.8041666666666667,47.67,320.82,9.01,0.0901,107.86,107860.0,3,2,Morgan et al. 2018 Supporting Information Table S1,92.89,98.27,99.32,98.88,Morgan et al. 2018 Supporting Information Table S3,2.457,0.8042,0.224,0.303,0.0901,313.56,320.82,107860,97.98
K15,14A,mapped from 2018 K-row by bed/intercooler group and Appendix-C ordering,A: three beds with two intercoolers,8845.0,2.4569444444444444,40.6,313.75,0.224,0.313,2908.0,0.8077777777777778,42.83,315.97999999999996,9.07,0.0907,108.08,108080.0,3,2,Morgan et al. 2018 Supporting Information Table S1,91.72,99.42,99.44,99.11,Morgan et al. 2018 Supporting Information Table S3,2.457,0.8078,0.224,0.313,0.0907,313.75,315.98,108080,98.27
K16,15A,mapped from 2018 K-row by bed/intercooler group and Appendix-C ordering,A: three beds with two intercoolers,4128.0,1.1466666666666667,44.45,317.59999999999997,0.124,0.329,2903.0,0.8063888888888889,45.42,318.57,9.21,0.09210000000000002,108.7,108700.0,3,2,Morgan et al. 2018 Supporting Information Table S1,84.74,93.54,87.54,86.06,Morgan et al. 2018 Supporting Information Table S3,1.147,0.8064,0.124,0.329,0.0921,317.6,318.57,108700,99.42
K17,1D,mapped from 2018 K-row by bed/intercooler group and Appendix-C ordering,D: two beds with 0 intercooler(s),6804.0,1.89,42.03,315.17999999999995,0.168,0.307,2240.0,0.6222222222222222,41.03,314.17999999999995,9.19,0.0919,108.12,108120.0,2,0,Morgan et al. 2018 Supporting Information Table S1,88.92,97.61,98.18,97.88,Morgan et al. 2018 Supporting Information Table S3,1.89,0.6222,0.168,0.307,0.0919,315.18,314.18,108120,97.61
K18,1C,mapped from 2018 K-row by bed/intercooler group and Appendix-C ordering,C: one bed without intercoolers,6804.0,1.89,42.24,315.39,0.141,0.302,2271.0,0.6308333333333334,46.07,319.21999999999997,10.19,0.10189999999999999,109.18,109180.0,1,0,Morgan et al. 2018 Supporting Information Table S1,85.72,92.85,94.36,93.71,Morgan et al. 2018 Supporting Information Table S3,1.89,0.6308,0.141,0.302,0.1019,315.39,319.22,109180,92.85
K19,2C,mapped from 2018 K-row by bed/intercooler group and Appendix-C ordering,C: one bed without intercoolers,11793.0,3.2758333333333334,40.9,314.04999999999995,0.184,0.278,1440.0,0.4,46.18,319.33,11.0,0.11,108.02,108020.0,1,0,Morgan et al. 2018 Supporting Information Table S1,93.18,98.21,98.91,98.73,Morgan et al. 2018 Supporting Information Table S3,3.276,0.4,0.184,0.278,0.11,314.05,319.33,108020,98.21
K20,3C,mapped from 2018 K-row by bed/intercooler group and Appendix-C ordering,C: one bed without intercoolers,3175.0,0.8819444444444444,45.3,318.45,0.075,0.276,1324.0,0.36777777777777776,46.09,319.24,10.98,0.10980000000000001,108.12,108120.0,1,0,Morgan et al. 2018 Supporting Information Table S1,89.92,95.55,98.02,97.81,Morgan et al. 2018 Supporting Information Table S3,0.882,0.3678,0.075,0.276,0.1098,318.45,319.24,108120,95.55
K21,2D,mapped from 2018 K-row by bed/intercooler group and Appendix-C ordering,D: two beds with 0 intercooler(s),3175.0,0.8819444444444444,45.18,318.33,0.074,0.271,1366.0,0.3794444444444444,46.11,319.26,10.18,0.1018,107.76,107760.0,2,0,Morgan et al. 2018 Supporting Information Table S1,90.05,96.32,99.72,99.69,Morgan et al. 2018 Supporting Information Table S3,0.882,0.3794,0.074,0.271,0.1018,318.33,319.26,107760,96.32
K22,3D,mapped from 2018 K-row by bed/intercooler group and Appendix-C ordering,D: two beds with 1 intercooler(s),6804.0,1.89,41.24,314.39,0.13,0.281,1379.0,0.38305555555555554,46.06,319.21,10.92,0.1092,107.51,107510.0,2,1,Morgan et al. 2018 Supporting Information Table S1,94.58,99.49,99.97,99.97,Morgan et al. 2018 Supporting Information Table S3,1.89,0.3831,0.13,0.281,0.1092,314.39,319.21,107510,99.49
K23,4D,mapped from 2018 K-row by bed/intercooler group and Appendix-C ordering,D: two beds with 1 intercooler(s),6804.0,1.89,41.23,314.38,0.138,0.281,1418.0,0.3938888888888889,46.11,319.26,10.13,0.1013,107.37,107370.0,2,1,Morgan et al. 2018 Supporting Information Table S1,92.61,99.58,99.96,99.96,Morgan et al. 2018 Supporting Information Table S3,1.89,0.3939,0.138,0.281,0.1013,314.38,319.26,107370,99.58
