Position,x_CO2,x_MEA,x_H2O,x_CO2_true,x_MEA_true,x_H2O_true,x_MEAH_true,x_MEACOO_true,x_HCO3_true,x_CO3_true,x_H3O_true,x_OH_true
0.0,0.04525104074565675,0.10933431313059565,0.8454146461237475,1.103550824352526e-05,0.0254660126270985,0.876488542055159,0.050649366323900255,0.038399651949134986,0.005720213702534205,0.003264323457838261,3.0976836046681834e-10,8.540663228991267e-07
0.01,0.044676184585396204,0.1089916505078302,0.8463321649067735,1.1941882390519183e-05,0.026168430001360373,0.8773951965986841,0.04967056922504868,0.03824833658972689,0.005587943632736845,0.0029167075941560466,3.3081178424809154e-10,8.741450846383793e-07
0.02,0.04415831868361604,0.10870624853827149,0.8471354327781124,1.2601184118631884e-05,0.02681089786918277,0.8781465937707003,0.04884383583260514,0.03807213219624461,0.005455279896706617,0.0026577651831642003,3.4697614788316953e-10,8.937203016604049e-07
0.03,0.0436817008440647,0.10846138307934668,0.8478569160765886,1.3076539888907193e-05,0.027411659058237302,0.8787921557732638,0.04811892157502277,0.037883504274947875,0.005325034252967919,0.002454735240575886,3.5957015748174713e-10,9.129255253580274e-07
0.04,0.04323656291051219,0.10824673799372309,0.8485166990957647,1.3410503887548415e-05,0.027981511241993325,0.8793606765212855,0.04746704372926814,0.03768838374758094,0.005198355569863795,0.00228968646457638,3.694368876325348e-10,9.318521075262328e-07
0.05,0.04281661634127923,0.10805607107131326,0.8491273125874075,1.3629775414871101e-05,0.028527394085916365,0.8798695815890571,0.046870798782950654,0.03748989120774902,0.0050755498290480355,0.002152203770465431,3.770879042428177e-10,9.505823106377537e-07
0.06,0.042416424556515085,0.10788393213940362,0.8496996433040813,1.3761719900664947e-05,0.029055088080543398,0.8803327008722168,0.04631657946330979,0.037289462238892075,0.004956727699383656,0.0020347103653624945,3.8304104673605354e-10,9.691773501157055e-07
0.07,0.04203266207655409,0.10772704270467699,0.850240295218769,1.3821845173906706e-05,0.029568018399436746,0.8807584690173494,0.04579620488758906,0.037087996588951164,0.004841781377084043,0.001932719812295128,3.875784501240333e-10,9.876845420419679e-07
0.08,0.04166240252882904,0.10758258585732466,0.8507550116138463,1.382478694776291e-05,0.030069198598442183,0.8811537914603501,0.04530298652124098,0.03688585300266253,0.0047305504237657395,0.0018427886701586683,3.909683346754324e-10,1.0061454637030577e-06
0.09,0.0413034725885225,0.1074484475789407,0.8512480798325368,1.3781566324351302e-05,0.03056078999568922,0.8815237367386651,0.04483209408333815,0.03668321476858755,0.004622860608540042,0.0017624972541743199,3.934096616397854e-10,1.0245912715802185e-06
0.1,0.040954249144054336,0.10732310013766265,0.851722650718283,1.370021323187521e-05,0.031044403274264398,0.8818720129209742,0.04438000189957488,0.03648019342580081,0.004518523824594898,0.0016901209977099093,3.950448606068765e-10,1.0430488042044325e-06
0.11,0.04061328040073087,0.10720516680612342,0.8521815527931458,1.3588183353635295e-05,0.03152145732809241,0.8822018139914879,0.043943698090949224,0.036276760424185865,0.0044173635684540335,0.0016242564768495023,3.96008544210072e-10,1.061540618861118e-06
0.12,0.04027954929042932,0.10709369052529749,0.8526267601842732,1.3450679546710037e-05,0.03199292023818507,0.8825154210322083,0.04352105736081671,0.03607294332490468,0.004319219419632317,0.0015639074643574828,3.963919561012089e-10,1.0800839567116109e-06
0.13,0.039952139572800784,0.10698781861772204,0.8530600418094773,1.3292407681531665e-05,0.032459664359130704,0.8828148159228775,0.04311023641893057,0.035868706505562495,0.004223938975021718,0.001508246320109353,3.9627926869722265e-10,1.0986944069127316e-06
0.14,0.039630329039801855,0.10688686629123355,0.8534828046689645,1.3117197806669751e-05,0.03292235215163524,0.883101584093834,0.042709784861330216,0.035664030980154755,0.004131388978380078,0.0014566239574138073,3.9573876465713875e-10,1.117383706519453e-06
0.15,0.039313551696413915,0.10679030020910231,0.8538961480944837,1.2928088153241335e-05,0.03338149093162801,0.8833769830627881,0.04231856368949854,0.0354589190514806,0.004041448369025566,0.0014085302512149877,3.948242260570841e-10,1.1361613866142845e-06
0.16,0.03900129517227704,0.10669762909703168,0.8543010757306914,1.2727871002225657e-05,0.03383752933624672,0.8836421374300117,0.041935565597130395,0.03525335133266048,0.003954006385335748,0.0013635266186941529,3.9358635864846867e-10,1.1550353322169614e-06
0.17,0.038693190716660074,0.10660848537873303,0.854698323904607,1.2518714615444755e-05,0.034290762785936964,0.883897913353725,0.041560037886747565,0.035047353535379765,0.0038689679091370743,0.0013212714119004362,3.920639482724766e-10,1.174010493788743e-06
0.18,0.03838890635430155,0.10652253474350809,0.8550885589021903,1.2302577770127487e-05,0.03474145030206892,0.8841450860496952,0.04119131425724312,0.034840941094950825,0.003786244012463377,0.001281468224606445,3.9029295175390245e-10,1.1930909089788917e-06
0.19,0.03808818363904772,0.10643949800223577,0.8554723183587165,1.2081132348093536e-05,0.035189767202059914,0.8843843034410115,0.04082885889656407,0.034634149220106304,0.003705757096039701,0.0012438703451563477,3.8830432871445746e-10,1.2122784096887034e-06
0.2,0.03779082736102619,0.10635914889699839,0.8558500237419754,1.1855774567823496e-05,0.03563582106244055,0.8846161009233895,0.0404722471462969,0.03442703263127265,0.0036274376774414457,0.0012082728252398671,3.8612411431653166e-10,1.2315732271910533e-06
0.21,0.037496665153479346,0.10628127644415902,0.8562220584023617,1.1627785560091493e-05,0.03607969273372944,0.8848409669209708,0.04012110276906573,0.0342196433470429,0.0035512213393501784,0.0011744937459458023,3.837769971955214e-10,1.250974558038503e-06
0.22,0.037205589165892214,0.10620571663580551,0.8565886941983023,1.1398223397244603e-05,0.03652138813096074,0.8850592920405577,0.039775152135766885,0.03401206236316363,0.003477052816408861,0.0011423834290163353,3.8128346749209597e-10,1.2704794451961589e-06
0.23,0.03691750883678602,0.10613231883263666,0.8569501723305774,1.1168043994782242e-05,0.03696089414920804,0.8852714315825949,0.0394341569409513,0.03380437057486034,0.0034048798305434122,0.0011118084150257231,3.786627045705245e-10,1.2900841588107806e-06
0.24,0.036632369487973875,0.1060609548759524,0.8573066756360738,1.0938084395038586e-05,0.03739815317565151,0.8854776890875098,0.03909793617325265,0.0335966638356424,0.003334656038372928,0.001082653445925564,3.759319326242363e-10,1.3097833181198333e-06
0.25,0.036350148387827824,0.10599151915047873,0.8576583324616934,1.0709062985062558e-05,0.03783306982424001,0.8856783205253013,0.03876635955035132,0.0333890523371355,0.0032663394972630793,0.0010548192594415854,3.731063417789846e-10,1.32957017590734e-06
0.26,0.03607083448739691,0.10592391267812483,0.8580052528344783,1.0481634563184857e-05,0.03826553372238192,0.8858735621443048,0.03843931879768413,0.03318164766272808,0.0031998903940022847,0.00102821583701904,3.7020040995587264e-10,1.3494371160872648e-06
0.27,0.03579445083888369,0.10585805748428549,0.8583474916768308,1.025635628625623e-05,0.03869539147217932,0.886063606448348,0.038116755634049614,0.03297458027615376,0.0031352737915941904,0.0010027662793664427,3.6722684614787036e-10,1.3693747956160753e-06
0.28,0.03552102958635803,0.10579388176535999,0.858685088648282,1.0033727314305047e-05,0.03912247866596483,0.8862486303683655,0.03779862857516388,0.03276798241629194,0.003072455869204917,0.000978400640367803,3.6419763725391833e-10,1.3893731290536663e-06
0.29,0.03525062197694284,0.10573132410087654,0.8590180539221806,9.814186440182486e-06,0.03954660558302723,0.8864287871961037,0.03748492457379376,0.03256199624752797,0.0030114055958547627,0.0009550568354062497,3.61123839149526e-10,1.4094207223525512e-06
