Position,Tl,Hl_CO2,Hl_MEA,Hl_H2O,Hl_T,Fl_T,Hlf,Hl_CO2_trn,Hl_H2O_trn,Hl_trn,ql,Hl_flux,dHlf_dz,dTl_dz,dHl_dT
0.0,323.83607974181075,-83999.99999,-53666.717043002005,-48055.76117367203,-50295.74539535309,88.99196402057945,-4475917.164611487,-56415.10865050469,278138.97111183073,-3146.7454088354707,-50310.879987386346,-53457.62539622182,53457.62539622182,225.0343036893879,82.44625767222094
0.01,325.84790842007385,-83999.99999,-53320.459864063414,-47904.27019600905,-50107.209134861434,89.2717489367107,-4473158.193806606,-51976.85228527599,232772.44518734422,-3177.772188067488,-35872.01723098513,-39049.78941905262,39049.78941905262,179.06089805647545,82.5189697093231
0.02,327.4678754157632,-83999.99999,-53040.90883392468,-47782.27200953318,-49953.23266573754,89.50612675137255,-4471120.374620307,-48690.39937331833,200380.09697062397,-3050.071212844567,-26795.632570109523,-29845.70378295409,29845.70378295409,147.3585009598484,82.58185256773007
0.03,328.81987305911593,-83999.99999,-52807.094997240376,-47680.442869917344,-49822.986679558664,89.70819829224091,-4469530.368561526,-46165.64152414819,176333.48588719085,-2879.5126882921195,-20798.62686286058,-23678.1395511527,23678.1395511527,124.5164354456677,82.63777209881275
0.04,329.976996499058,-83999.99999,-52606.61666448573,-47593.281940349225,-49710.06042645903,89.88608285726764,-4468242.610332478,-44174.32508211903,157913.98089255483,-2706.404462543139,-16731.13820819284,-19437.542670735977,19437.542670735977,107.50873020107953,82.68846656489272
0.05,330.9826225476317,-83999.99999,-52432.1114086187,-47517.52511643582,-49610.63213237996,90.04468850168867,-4467173.91673202,-42584.23753894374,143359.7054148607,-2542.490581063502,-13949.527704646334,-16492.018285709837,16492.018285709837,94.44554726003696,82.7350013517183
0.06,331.8744633972361,-83999.99999,-52277.13702919939,-47450.33382667588,-49521.37449363379,90.18836324727347,-4466251.711336108,-41282.74709526515,131734.30127270106,-2397.3503039012708,-11915.493908321898,-14312.844212223168,14312.844212223168,84.1971982383459,82.7783619958566
0.07,332.673552415238,-83999.99999,-52138.10877646793,-47390.12519410328,-49440.42192062299,90.3197100379542,-4465444.572024783,-40208.35851856653,122214.73719276737,-2268.2057392968973,-10425.002119916646,-12693.207859213544,12693.207859213544,75.9602465279328,82.81908595884858
0.08,333.39828056023634,-83999.99999,-52011.87789300143,-47335.51489346423,-49366.1406543827,90.44098710581686,-4464722.490386968,-39308.42037849507,114330.2301635526,-2154.99245469767,-9281.908813598018,-11436.901268295689,11436.901268295689,69.22484490487575,82.85767103634795
0.09,334.06189179465326,-83999.99999,-51896.175050989776,-47285.506012335405,-49297.351338860084,90.55389332809436,-4464067.094496726,-38545.51682895645,107717.80759098208,-2055.9031748567304,-8382.430393813966,-10438.333568670696,10438.333568670696,63.634050152829474,82.89447531159168
