Position,Tl,Tv
0.0,323.83607974181075,316.75
0.01,325.84790842007385,320.86201807854246
0.02,327.4678754157632,323.7823441469669
0.03,328.81987305911593,325.9838008613219
0.04,329.976996499058,327.71224416542526
0.05,330.9826225476317,329.1063400421893
0.06,331.8744633972361,330.2807496664765
0.07,332.673552415238,331.2861935860781
0.08,333.39828056023634,332.1686753726463
0.09,334.06189179465326,332.9560877655803
0.1,334.6737785027796,333.6668688854987
0.11,335.2424068172859,334.3170332266907
0.12,335.7734790144369,334.91596664278205
0.13,336.2721173787627,335.47225835068105
0.14,336.74237880255396,335.99211914207507
0.15,337.1874070250836,336.4802618404926
0.16,337.61010706674597,336.94094510670374
0.17,338.0126324134357,337.37715314897343
0.18,338.39695575712415,337.7916538762993
0.19,338.7647220222247,338.1866485053255
0.2,339.1172701754293,338.5639296631129
0.21,339.455856161373,338.9251538624237
0.22,339.78146241673215,339.271583249787
0.23,340.0950003201005,339.60440141992035
0.24,340.3972529460445,339.92459408906933
0.25,340.68887700824257,340.2329936648817
0.26,340.9704943768559,340.53037916977814
0.27,341.24260849581697,340.81737120563736
0.28,341.5056906777873,341.0945563911049
0.29,341.760154685506,341.3624368093598
0.3,342.006355679194,341.62144668593027
0.31,342.24463280204446,341.8719961295073
0.32,342.4752695534984,342.11442295058583
0.33,342.6985339455031,342.34904897874276
0.34,342.914667228855,342.5761566000589
0.35000000000000003,343.1238824723608,342.79599627825803
0.36,343.32638556365566,343.0088070874547
0.37,343.52235654251706,343.2147941996654
0.38,343.71196801281417,343.41415533922043
0.39,343.89538126207145,343.6070700206175
0.4,344.07274453180355,343.79370332049047
0.41000000000000003,344.2442035114452,343.97421523432183
0.42,344.4098933276771,344.1487510700584
0.43,344.5699457112942,344.3174530710969
0.44,344.7244891532154,344.4804560831378
0.45,344.87364664462274,344.63788944220664
0.46,345.0175410064138,344.7898806257952
0.47000000000000003,345.15629198351223,344.93655208011506
0.48,345.2900177757573,345.07802534627086
0.49,345.4188370827348,345.2144198047523
0.5,345.54286633268987,345.34585347109015
0.51,345.6622227398185,345.47244395652643
0.52,345.7770232314337,345.59430793199255
0.53,345.8873837899767,345.71156198199316
0.54,345.9934218916219,345.8243224371484
0.55,346.0952535009714,345.93270553319917
0.56,346.19299542219085,346.03682749146793
0.5700000000000001,346.2867642499182,346.1368043920499
0.58,346.37667559847995,346.2327522685215
0.59,346.46284600972075,346.3247869102309
0.6,346.5453900830154,346.4130237092652
0.61,346.6244228422932,346.49757786660484
0.62,346.70005795237864,346.57856358682847
0.63,346.77240784487793,346.6560947101871
0.64,346.8415846943329,346.73028400295266
0.65,346.9076979760293,346.801242918337
0.66,346.9708570444106,346.86908234036235
0.67,347.0311685371327,346.93391081469315
0.68,347.0887376309133,346.99583613831663
0.6900000000000001,347.1436680795771,347.0549640793571
0.7000000000000001,347.19606033616844,347.11139818127765
0.71,347.24601426614277,347.1652410667359
0.72,347.2936260004828,347.21659188051393
0.73,347.3389901054519,347.2655487265317
0.74,347.38219889547634,347.3122069770083
0.75,347.42334111305206,347.356659169125
0.76,347.46250461188674,347.39899669694097
0.77,347.4997730036826,347.439306816415
0.78,347.5352283630421,347.4776755949239
0.79,347.5689500865898,347.51418602883575
0.8,347.6010139964645,347.5489180151743
0.81,347.63149497067946,347.5819502590279
0.8200000000000001,347.66046312890273,347.6133569797141
0.8300000000000001,347.6879872823537,347.64321123099177
0.84,347.7141324695596,347.6715826071401
0.85,347.7389533604365,347.69853503528026
0.86,347.7625150006017,347.7241354896936
0.87,347.78481113367235,347.748421913187
0.88,347.8058500257115,347.7714369313919
0.89,347.825494440606,347.7931676192584
0.9,347.84259476570145,347.81322503255524
0.91,347.85763705939,347.8318245939076
0.92,347.86154519943995,347.84564749162314
0.93,347.84711084864745,347.8520972142813
0.9400000000000001,347.7864051612296,347.8408278718876
0.9500000000000001,347.5119799906722,347.74937792940375
0.96,346.7164926564541,347.460358853336
0.97,344.47645996335257,346.5973461850694
0.98,338.95679361336977,344.2142085167184
0.99,329.2151940125173,339.07807688034023
1.0,318.1499999999999,331.2809294295172
