Position,Fv_CO2,Fv_H2O,Fv_N2,Fv_O2,Fv_T
0.0,1.7417130263823344,1.6681384637478156,15.300855296283519,1.6855287352087107,20.39623552162238
0.01,1.7030551702087087,1.9865812360527004,15.300855296283519,1.6855287352087107,20.67602043775364
0.02,1.6671741056743148,2.2568401152489344,15.300855296283519,1.6855287352087107,20.91039825241548
0.03,1.633340717512777,2.4927450442788355,15.300855296283519,1.6855287352087107,21.11246979328384
0.04,1.6010993126888382,2.702871014129505,15.300855296283519,1.6855287352087107,21.290354358310573
0.05,1.5701429175978752,2.8924330536415104,15.300855296283519,1.6855287352087107,21.448960002731614
0.06,1.5402019420046271,3.0660487748195604,15.300855296283519,1.6855287352087107,21.592634748316417
0.07,1.5111118873287532,3.2264856201761534,15.300855296283519,1.6855287352087107,21.723981538997133
0.08,1.4827228463582527,3.3761517290093153,15.300855296283519,1.6855287352087107,21.845258606859797
0.09,1.4549242873120103,3.5168565103330596,15.300855296283519,1.6855287352087107,21.9581648291373
0.1,1.4276321454426144,3.6499105880008162,15.300855296283519,1.6855287352087107,22.06392676493566
0.11,1.4007704839915525,3.7765043379323378,15.300855296283519,1.6855287352087107,22.16365885341612
0.12,1.374286604076183,3.897461747543584,15.300855296283519,1.6855287352087107,22.258132383111995
0.13,1.3481321134389106,4.01352246943648,15.300855296283519,1.6855287352087107,22.34803861436762
0.14,1.3222694752072137,4.125279522840758,15.300855296283519,1.6855287352087107,22.4339330295402
0.15,1.2966694116467505,4.233193970332423,15.300855296283519,1.6855287352087107,22.5162474134714
0.16,1.271305445105083,4.337692292550151,15.300855296283519,1.6855287352087107,22.595381769147462
0.17,1.2461594925008403,4.439090286595595,15.300855296283519,1.6855287352087107,22.671633810588663
0.18,1.2212152810753478,4.5376760780369665,15.300855296283519,1.6855287352087107,22.745275390604544
0.19,1.196461051856541,4.633688246741473,15.300855296283519,1.6855287352087107,22.81653333009024
0.2,1.1718887807377796,4.727317985147799,15.300855296283519,1.6855287352087107,22.885590797377805
0.21,1.1474917791895876,4.8187434884314975,15.300855296283519,1.6855287352087107,22.952619299113312
0.22,1.123267522578637,4.908099602665741,15.300855296283519,1.6855287352087107,23.017751156736605
0.23,1.0992144647982331,4.99550968704599,15.300855296283519,1.6855287352087107,23.08110818333645
0.24,1.0753334768886884,5.081076163357895,15.300855296283519,1.6855287352087107,23.14279367173881
0.25,1.051627519466619,5.1648806163186505,15.300855296283519,1.6855287352087107,23.202892167277497
0.26,1.028100312534269,5.246998756622751,15.300855296283519,1.6855287352087107,23.261483100649247
0.27,1.0047579604792647,5.327486257749954,15.300855296283519,1.6855287352087107,23.318628249721446
0.28,0.9816071412719293,5.406393325102189,15.300855296283519,1.6855287352087107,23.374384497866348
0.29,0.9586559073013995,5.483760178287624,15.300855296283519,1.6855287352087107,23.428800117081252
0.3,0.9359134834469246,5.559616938951286,15.300855296283519,1.6855287352087107,23.48191445389044
0.31,0.9133895074611922,5.633990908075415,15.300855296283519,1.6855287352087107,23.533764447028833
0.32,0.8910948412560962,5.706899749518764,15.300855296283519,1.6855287352087107,23.58437862226709
