Position,Cv_CO2,Cv_H2O,Cv_N2,Cv_O2
0.0,3.5505030681365626,3.400520432413127,31.190978566317977,3.435970711099899
0.01,3.380830422499074,3.9436739320604066,30.37458679015781,3.3460377125020844
0.02,3.24298860800752,4.390007473686395,29.763237834448724,3.2786920503064687
0.03,3.125515539316458,4.770047846056128,29.279292728458277,3.225381083918292
0.04,3.0221961448314834,5.101873627789422,28.881522540531662,3.1815630705604034
0.05,2.929386194665543,5.396358103053744,28.54651877173092,3.144659350619073
0.06,2.8442561158882738,5.66200297607863,28.25574365796063,3.11262782033838
0.07,2.7652461358989617,5.90427947032927,27.999667886135942,3.084418738986823
0.08,2.691064137127498,6.127538171919931,27.770249211670375,3.059146179988168
0.09,2.620820801433432,6.335072400891789,27.562121403794453,3.036219004089964
0.1,2.5538792473422935,6.529294633149516,27.37157252483331,3.0152283075091773
0.11,2.4896996323890344,6.712278399151675,27.195414410677014,2.995822884897101
0.12,2.427910502830859,6.885527577126862,27.03155743929713,2.9777725453326087
0.13,2.3681890175057543,7.050332633488407,26.878165062526232,2.9608749762880797
0.14,2.310284138496292,7.207734903650418,26.733826923510566,2.9449748140954113
0.15,2.253998354549543,7.358554275989765,26.597452173429726,2.929951891809884
0.16,2.19915767257347,7.503522716081796,26.46806355728066,2.9156985558815904
0.17,2.1456312044582564,7.643203535056832,26.34493640354319,2.9021349771345006
0.18,2.093302777984954,7.778096202158961,26.22741738790927,2.889189185938598
0.19,2.0420782616848236,7.908618525786987,26.114969590729398,2.8768020356984647
0.2,1.9918815798435305,8.035112010160889,26.00715385408069,2.8649251491643355
0.21,1.9426450764736969,8.157887038809452,25.903567891487846,2.8535142108126146
0.22,1.894317451199881,8.277190021672707,25.80389499688829,2.8425343325825536
0.23,1.8468533096169235,8.393242532918967,25.707845146577323,2.831953565718432
0.24,1.8002164644891478,8.506232869328848,25.61517168128379,2.821744738452315
0.25,1.75437862902286,8.616317096113688,25.52566668394714,2.8118849468240428
0.26,1.709315230733471,8.723637937845586,25.439137292660384,2.802352945335905
0.27,1.6650093191775635,8.82830951915323,25.355426542276387,2.7931314428456235
0.28,1.621446677784969,8.930434719970451,25.27438925849727,2.7842044470804823
0.29,1.5786174879488923,9.030101052139983,25.19589934962406,2.775558067890043
0.3,1.5365157246075982,9.127380896396554,25.119848339078153,2.7671803555900043
0.31,1.4951371151295416,9.22234035332822,25.04613471013832,2.7590601271878192
0.32,1.4544809635822473,9.315032095850498,24.974673541595635,2.751188027837953
0.33,1.41454783523446,9.405503386320458,24.905385598477334,2.7435553290856305
0.34,1.3753402053887678,9.49379449554941,24.83820051442129,2.736154279434414
0.35000000000000003,1.3368620901864199,9.579938775629316,24.77305625717477,2.728978045466008
0.36,1.2991182279007132,9.66396668823244,24.709894133125783,2.722020161543844
0.37,1.2621144201730865,9.745903315230608,24.64866297049112,2.7152749906293767
0.38,1.225856902494006,9.825771232526664,24.589314405708347,2.708737205035191
0.39,1.1903521998831041,9.903590741291426,24.53180387299463,2.702401895433925
0.4,1.1556068792603476,9.979379810877715,24.47609048165002,2.6962645573421073
0.41000000000000003,1.121627613353349,10.053155352483286,24.422134857824197,2.690320853371086
0.42,1.0884203758144742,10.124933693230048,24.369900395257897,2.684566751007602
0.43,1.055991079800356,10.19473019189835,24.319351849528076,2.6789983677570706
0.44,1.0243448340882604,10.262560741875829,24.270455080328258,2.673611942753419
0.45,0.9934858023065806,10.328441521222443,24.22317720603869,2.668403853786392
0.46,0.9634179011532684,10.392388631305215,24.177485928527453,2.6633705429222405
0.47000000000000003,0.9341432394912313,10.454420287244353,24.133349276960697,2.658508488282084
0.48,0.9056636107479336,10.514554488791166,24.09073594391616,2.653814241067876
0.49,0.8779794050969094,10.572811207128561,24.049614415900116,2.6492843297809188
0.5,0.8510895749526651,10.629211928336959,24.00995333168021,2.6449152996954948
0.51,0.8249926850331094,10.683778477200516,23.971721496081628,2.6407037143786374
0.52,0.7996850580965271,10.73653583222489,23.9348870639848,2.636646065800039
0.53,0.7751626394104851,10.787509009546813,23.8994185791217,2.632738888764936
0.54,0.7514198472583825,10.836725343555488,23.8652839683474,2.6289786501239485
0.55,0.7284496265788603,10.884213886398168,23.8324510150754,2.625361800926299
0.56,0.7062445584419066,10.930004061856774,23.80088756123833,2.6218847986676246
0.5700000000000001,0.6847951401445199,10.974128243695898,23.77056074347685,2.6185440231492247
0.58,0.6640915660856734,11.016618798938119,23.741438039899872,2.6153358917882357
0.59,0.6441227488555983,11.05751000246124,23.713486443887234,2.612256768604469
0.6,0.624876424614994,11.096837398584368,23.68667295649639,2.609303018463495
0.61,0.6063400900914634,11.13463672121765,23.660964691972573,2.6064710186995486
0.62,0.5884997014528742,11.170945720465232,23.636328481301298,2.6037571154432277
0.63,0.5713410554658365,11.205801963243545,23.612731544116464,2.601157697638288
0.64,0.5548491106118393,11.239244138681574,23.59014099190206,2.5986691423147925
0.65,0.5390081042751882,11.271311481181726,23.568524263183463,2.5962878625293904
0.66,0.5238021928484328,11.302043162204747,23.547849019004648,2.5940102958511853
0.67,0.5092146735909853,11.331479205598628,23.52808319152363,2.591832909714965
0.68,0.4952288363277111,11.359659262393771,23.509195161416965,2.589752220963925
0.6900000000000001,0.48182760792075924,11.386623274324155,23.491153604521205,2.5877647789558247
0.7000000000000001,0.4689936519426308,11.412411018453597,23.473927829388714,2.5858672027478384
0.71,0.45670969342515294,11.437061984125585,23.45748746522709,2.5840561467202425
0.72,0.44495822319269857,11.460615476405051,23.441802884932972,2.5823283471774388
0.73,0.43372184667904856,11.483110289577672,23.42684494325525,2.58068059350425
0.74,0.42298320189210636,11.50458483585656,23.41258509949515,2.5791097416824527
0.75,0.4127250279927396,11.525076827387506,23.398995650654303,2.577612739974158
0.76,0.4029302268064445,11.544623537639934,23.386049272680484,2.5761865783858546
0.77,0.39358193178714085,11.563261317640725,23.373719687150786,2.5748283621096335
0.78,0.3846634686423271,11.581025940877312,23.361981094723934,2.573535249112796
0.79,0.3761584656762552,11.597952359502669,23.3508084791422,2.5723044836264357
0.8,0.3680508906456009,11.614074502019374,23.340177757814235,2.571133412733514
0.81,0.3603249295433392,11.629425799015477,23.330065228984772,2.570019425469559
0.8200000000000001,0.35296528606584354,11.644038271279854,23.320448445852588,2.5689600491147284
0.8300000000000001,0.3459568915914238,11.657943374515359,23.31130538988587,2.5679528581269624
0.84,0.33928512858269116,11.671171371406832,23.30261505957286,2.566995538998234
0.85,0.33293584822577327,11.683750304626711,23.294358595356755,2.5660860141763866
0.86,0.3268951246921788,11.69570943653385,23.286515546635442,2.5652220308411136
0.87,0.3211497505856513,11.707066321435862,23.279078217000794,2.564402741162878
0.88,0.3156867233565437,11.717840401831532,23.27203657046019,2.563627039585578
0.89,0.31049367695584845,11.72802836192947,23.265405950798314,2.5628966163670115
0.9,0.3055596494578722,11.737472853888267,23.25937606018983,2.56223236893156
0.91,0.3008722652893753,11.74626441382162,23.253855314393643,2.561624208439936
0.92,0.2964283613733522,11.75304439865325,23.25039573092849,2.561243103774252
